N	2gram	Bakhtin_Fr	Psycholo
1	то что	7	193
2	и в	105	190
3	в том	17	163
4	что в	4	123
5	потому что	6	114
6	том что	9	113
7	может быть	11	107
8	таким образом	5	102
9	в этом	22	100
10	то есть	71	97
11	в самом	7	82
12	как бы	33	80
13	для того	2	78
14	того чтобы	3	78
15	что он	5	76
16	не только	24	75
17	на то	2	73
18	и не	34	73
19	самом деле	3	70
20	точки зрения	10	69
21	не может	9	68
22	так же	2	63
23	так как	11	63
24	было бы	4	56
25	если бы	1	55
26	то же	6	54
27	о том	5	54
28	при этом	10	52
29	как и	15	51
30	что и	2	50
31	а не	1	50
32	сказать что	12	46
33	по себе	1	46
34	только в	16	46
35	в сущности	20	46
36	говорит что	1	45
37	к тому	3	45
38	в искусстве	3	45
39	не в	4	45
40	ясно что	1	43
41	искусства и	6	43
42	в этой	11	43
43	никогда не	11	42
44	и все	7	42
45	вместе с	1	41
46	как это	1	40
47	но и	20	40
48	как раз	3	39
49	того что	3	39
50	и это	3	37
51	мы видим	2	37
52	и как	2	36
53	с тем	1	35
54	вовсе не	25	34
55	как на	4	34
56	и если	1	34
57	и его	24	34
58	все же	10	33
59	что все	1	33
60	в себе	7	32
61	все это	16	32
62	он не	3	31
63	мы не	1	31
64	в его	24	31
65	для нас	5	31
66	в ней	7	31
67	как в	6	30
68	с одной	2	29
69	и для	3	29
70	одной стороны	2	29
71	с точки	6	29
72	в нем	16	29
73	что они	2	28
74	и когда	1	28
75	мы можем	2	28
76	что мы	2	28
77	в своих	8	27
78	в основе	8	27
79	на деле	1	27
80	и на	25	27
81	а в	4	27
82	с другой	3	27
83	все то	1	27
84	так что	1	26
85	совершенно не	5	26
86	и здесь	4	25
87	жизни и	14	25
88	до сих	7	24
89	до конца	4	24
90	тем что	5	24
91	в целом	3	24
92	в своем	11	23
93	сих пор	7	23
94	один из	5	23
95	целый ряд	2	23
96	для этого	1	23
97	могут быть	4	23
98	с этим	1	22
99	из них	7	22
100	между тем	5	22
101	и даже	10	22
102	как она	1	22
103	в котором	1	21
104	том чтобы	1	21
105	в которых	1	21
106	той же	1	21
107	в своей	8	21
108	ни в	1	21
109	в конце	3	21
110	как мы	12	21
111	и вот	5	21
112	и только	1	21
113	другой стороны	1	20
114	в то	5	20
115	тот же	4	20
116	мы имеем	1	20
117	она не	2	20
118	несмотря на	5	20
119	на этом	2	20
120	там где	3	20
121	это не	4	20
122	все эти	15	20
123	в одном	8	19
124	что при	1	19
125	мы уже	18	19
126	в какой	2	19
127	мы должны	2	19
128	в ее	5	19
129	у него	2	19
130	он говорит	1	19
131	с этой	1	18
132	в которой	1	18
133	можно было	4	18
134	но в	16	18
135	что с	1	18
136	на самом	6	18
137	но не	7	18
138	был бы	1	18
139	перед нами	1	18
140	видим что	1	18
141	есть не	1	18
142	в виду	5	17
143	во всяком	2	17
144	что для	3	17
145	из этих	7	17
146	но это	5	17
147	одна из	5	17
148	только не	1	17
149	у нас	1	17
150	и о	4	17
151	и к	7	16
152	из которых	2	16
153	к этому	2	16
154	та же	2	16
155	сводится к	1	16
156	говорит о	2	16
157	с самого	1	16
158	в таком	2	16
159	совершенно прав	1	16
160	формы и	7	16
161	так и	16	16
162	тому как	2	16
163	от того	2	16
164	в результате	1	15
165	в них	13	15
166	только на	3	15
167	во всех	13	15
168	мы знаем	1	15
169	о которых	2	15
170	не могут	4	15
171	и так	2	15
172	на примере	1	15
173	искусства как	1	15
174	и потому	14	15
175	не просто	3	15
176	которых мы	1	15
177	утверждает что	1	15
178	далеко не	6	15
179	еще не	8	15
180	для него	12	15
181	в частности	6	15
182	в совершенно	2	14
183	хотя бы	2	14
184	одной и	1	14
185	но он	5	14
186	и той	1	14
187	главным образом	6	14
188	это и	3	14
189	это только	1	14
190	того как	1	14
191	прежде всего	26	14
192	такой же	1	14
193	что на	1	14
194	те же	1	14
195	в жизни	7	14
196	при таком	2	14
197	этих двух	2	14
