N	3gram	Tiupa_Vved	Poddanst
1	то же время	4	7
2	в то же	5	7
3	в том что	10	4
4	не только в	3	4
5	сами по себе	1	3
6	с одной стороны	9	3
7	в полной мере	1	2
8	но и в	3	2
9	заключает в себе	4	2
10	и в то	1	2
11	в том числе	1	2
12	одной стороны и	3	2
13	не было бы	1	1
14	в последние годы	1	1
15	но где в	1	1
16	но в то	1	1
17	и вот как	1	1
18	и тем самым	2	1
19	не связаны с	1	1
20	том числе и	1	1
21	само по себе	1	1
22	если бы мы	1	1
23	не может быть	6	1
24	в этом мире	1	1
25	на пути к	1	1
26	как одна из	1	1
27	между тем при	1	1
28	в отличие от	11	1
29	в этом смысле	1	1
30	по сравнению с	1	1
31	но в этом	1	1
32	что происходит и	1	1
33	к единению с	1	1
34	во всяком случае	3	1
35	для того чтобы	1	1
36	и не столько	1	1
37	и тем более	1	1
38	с другой стороны	2	1
39	в известном смысле	1	1
40	и не может	1	1
41	не в том	3	1
42	в настоящее время	1	1
43	более или менее	2	1
44	так же как	1	1
45	в частности в	2	1
46	начала и конца	1	1
47	и в этом	1	1
