N	2gram	Bakhtin_Fr	UchenyiS
1	и в	105	14
2	не только	24	10
3	а не	1	10
4	и не	34	8
5	прежде всего	26	8
6	то что	7	7
7	вот почему	1	7
8	в этом	22	7
9	не может	9	7
10	может быть	11	6
11	в искусстве	3	6
12	перестает быть	3	5
13	хотя бы	2	5
14	то же	6	5
15	и только	1	5
16	все это	16	5
17	с другой	3	4
18	в этой	11	4
19	конечно не	2	4
20	что такое	1	4
21	но и	20	4
22	в их	6	4
23	было бы	4	3
24	не о	2	3
25	и формы	1	3
26	по нашему	1	3
27	только к	1	3
28	и т.д	2	3
29	для этого	1	3
30	это не	4	3
31	как и	15	3
32	вряд ли	1	3
33	для него	12	3
34	в своей	8	3
35	все же	10	3
36	в области	10	3
37	в частности	6	3
38	в то	5	3
39	у нас	1	3
40	другой стороны	1	3
41	но в	16	3
42	же время	5	3
43	нашему мнению	1	3
44	этого термина	1	2
45	литературы и	7	2
46	все они	1	2
47	таким образом	5	2
48	в самом	7	2
49	если не	1	2
50	материал для	1	2
51	ее нельзя	1	2
52	его и	1	2
53	если бы	1	2
54	самом деле	3	2
55	могут быть	4	2
56	не в	4	2
57	это было	2	2
58	для всех	1	2
59	и с	8	2
60	в противовес	1	2
61	до сих	7	2
62	их и	1	2
63	одним из	4	2
64	но не	7	2
65	по существу	2	2
66	мы и	4	2
67	тем что	5	2
68	в себе	7	2
69	в его	24	2
70	искусства как	1	2
71	в конце	3	2
72	т.е в	1	2
73	даже и	5	2
74	должна быть	1	2
75	мы не	1	2
76	именно как	1	2
77	ничего не	3	2
78	всех этих	10	2
79	между тем	5	2
80	не есть	1	2
81	что он	5	2
82	конце концов	1	2
83	на эту	2	2
84	при таком	2	2
85	этом отношении	5	2
86	о чем	3	2
87	как раз	3	2
88	а его	2	2
89	в некоторых	2	2
90	тех или	1	2
91	не могут	4	2
92	а как	1	2
93	что мы	2	2
94	сводится к	1	2
95	в том	17	2
96	это уже	4	2
97	том что	9	2
98	или иных	1	2
99	нас в	1	2
100	но это	5	2
101	работы по	1	2
102	но даже	2	2
103	а о	2	2
104	и для	3	2
105	в системе	3	2
106	в итоге	1	2
107	что и	2	2
108	не столько	1	2
109	меньшей степени	8	2
110	а между	1	2
111	с его	9	2
112	и у	7	2
113	превращается в	6	2
114	на первый	1	2
115	сих пор	7	2
116	только в	16	2
117	формы и	7	2
118	по себе	1	2
119	что все	1	2
120	но конечно	1	2
121	на большую	1	1
122	в той	5	1
123	первых мест	1	1
124	литературы в	4	1
125	в г	3	1
126	и материал	1	1
127	даны к	1	1
128	что было	1	1
129	и эстетики	1	1
130	таков прежде	1	1
131	что в	4	1
132	была уже	1	1
133	этой тенденции	1	1
134	с которыми	1	1
135	не было	3	1
136	остается в	1	1
137	вне его	2	1
138	и даже	10	1
139	связанных с	4	1
140	первый план	1	1
141	и содержательность	1	1
142	всего что	2	1
143	первую очередь	1	1
144	о необходимости	2	1
145	и потому	14	1
146	конечно это	1	1
147	но он	5	1
148	этом случае	1	1
149	образом на	2	1
150	наша задача	1	1
151	в свое	6	1
152	в которой	1	1
153	такое понимание	1	1
154	не самый	1	1
155	сводить к	1	1
156	все и	1	1
157	имеем в	2	1
158	можно сказать	4	1
159	единственным героем	1	1
160	или меньшей	7	1
161	мы можем	2	1
162	иначе в	1	1
163	у стерна	3	1
164	и единого	1	1
165	все его	1	1
166	главное же	1	1
167	художественное творчество	2	1
168	на положение	1	1
169	еще раз	4	1
170	нет и	2	1
171	как на	4	1
172	вообще в	1	1
173	сервантеса у	1	1
174	он в	2	1
175	и все	7	1
176	но по-разному	1	1
177	что этот	1	1
178	и барокко	1	1
179	из самых	1	1
180	состоит из	1	1
181	как таковое	1	1
