N	3gram	Losev_Vlad	Sovremen
1	не может быть	4	4
2	не может не	1	3
3	что же это	1	3
4	в свою очередь	2	2
5	во всяком случае	8	2
6	тем не менее	8	2
7	так как он	2	2
8	же это за	1	2
9	в настоящее время	2	2
10	может быть и	1	2
11	не будет ли	1	1
12	есть не что	1	1
13	в науке и	1	1
14	в течение нескольких	1	1
15	не было бы	1	1
16	то ни было	1	1
17	и ни в	1	1
18	мы знаем что	2	1
19	в том что	13	1
20	один и тот	2	1
21	в которой он	2	1
22	а может быть	1	1
23	в свое время	6	1
24	и тот же	2	1
25	не что иное	2	1
26	в связи с	7	1
27	и все же	2	1
28	в самом деле	1	1
29	в дальнейшем мы	1	1
30	дело в том	7	1
31	на другой день	1	1
32	а в конце	2	1
33	вместе с ним	1	1
34	что иное как	2	1
35	но все же	1	1
36	мы уже знаем	1	1
37	равно как и	1	1
38	и что она	1	1
39	заключать в себе	1	1
40	этот раз из	2	1
41	и той же	1	1
42	через несколько времени	1	1
43	с одной стороны	1	1
44	одной и той	1	1
45	они не могут	1	1
46	в этой области	1	1
47	со всеми его	1	1
48	ничего не имеют	1	1
49	не имеют против	1	1
50	то же время	7	1
51	не в том	3	1
52	не только своей	1	1
53	в том как	1	1
54	в то же	7	1
55	оно может быть	1	1
56	это не важно	1	1
57	бы то ни	2	1
58	на этот раз	7	1
59	но отнюдь не	1	1
60	он уже не	2	1
61	и в этом	1	1
62	по крайней мере	1	1
63	в этом случае	1	1
64	и ничего не	1	1
65	в этом смысле	4	1
66	и в то	3	1
67	и не может	1	1
68	но тем не	1	1
69	раз и навсегда	2	1
