N	4gram	Tiupa_Hudo	Problemy
1	в то же время	11	26
2	но в то же	3	11
3	и в то же	2	7
4	то же время не	1	6
5	к себе самому и	1	5
6	в том что он	1	5
7	себе самому и к	1	4
8	самому и к другому	1	3
9	и в этом смысле	1	3
10	одна и та же	1	2
11	по отношению к чужому	1	2
12	но тем не менее	2	2
13	но все же не	1	2
14	дело в том что	1	2
15	но с другой стороны	1	2
16	приходит в столкновение с	1	2
17	ни в чем не	1	2
18	и по отношению к	1	2
19	и в этом отношении	1	2
20	и т п все	1	2
21	она не может быть	1	1
22	по отношению к другому	2	1
23	на самом же деле	1	1
24	но в этом он	1	1
25	до сих пор еще	1	1
26	во что бы то	1	1
27	и т д он	1	1
28	с одной стороны и	1	1
29	с самим собою в	1	1
30	такой же как и	1	1
31	все более и более	1	1
32	смысле можно сказать что	1	1
33	это в высшей степени	1	1
34	что бы то ни	1	1
35	бы то ни стало	1	1
36	подобно тому как он	1	1
37	одних и тех же	2	1
38	можно было бы дать	1	1
39	ни одного слова и	1	1
40	и в самом деле	4	1
41	в самом деле не	1	1
42	заключается в том что	1	1
43	в том числе и	1	1
44	не чем иным как	1	1
45	и так или иначе	1	1
46	в самом деле в	1	1
47	точкой зрения на мир	1	1
48	несмотря на то что	1	1
49	позиции по отношению к	1	1
50	что в центре художественного	1	1
51	если бы не было	1	1
52	так же как и	1	1
53	не в том что	1	1
54	в столкновение с внешней	1	1
55	нельзя не согласиться с	1	1
56	и каждый из них	1	1
