N	2gram	Bakhtin_Fr	Poddanst
1	не только	21	17
2	и в	68	14
3	и не	25	12
4	в области	5	11
5	в этом	28	10
6	в отношении	3	10
7	в том	12	9
8	то же	14	9
9	в качестве	2	9
10	но в	20	9
11	хотя бы	2	8
12	в пределах	1	8
13	только в	9	7
14	же время	13	7
15	в то	14	7
16	в ней	6	6
17	xix века	5	6
18	быть может	2	6
19	было бы	4	6
20	но и	17	6
21	в смысле	1	6
22	может быть	10	5
23	с другой	8	5
24	не в	2	5
25	и о	5	5
26	и к	4	4
27	что в	14	4
28	в котором	3	4
29	по себе	1	4
30	тех кто	2	4
31	и если	2	4
32	и потому	6	4
33	но также	1	4
34	не может	5	4
35	а в	3	4
36	то что	11	4
37	как бы	7	4
38	если бы	3	4
39	а также	6	4
40	первой половины	1	4
41	в своем	11	4
42	же в	2	4
43	том что	6	4
44	в себе	5	3
45	что мы	1	3
46	с одной	5	3
47	мы не	3	3
48	это не	5	3
49	одной стороны	4	3
50	для того	5	3
51	между тем	3	3
52	с точки	4	3
53	хотя и	2	3
54	с тем	1	3
55	потому что	3	3
56	она есть	1	3
57	прежде всего	23	3
58	тем самым	1	3
59	заключается в	1	3
60	но не	4	3
61	и т	1	3
62	и как	5	3
63	с ними	4	3
64	в нем	12	3
65	тот же	4	3
66	точки зрения	8	3
67	с этим	2	2
68	во всех	8	2
69	и резко	1	2
70	именно как	1	2
71	и это	5	2
72	и других	7	2
73	в полной	1	2
74	и мы	2	2
75	было в	2	2
76	если в	1	2
77	пути в	1	2
78	народа его	1	2
79	и вот	4	2
80	в значительной	3	2
81	том числе	4	2
82	церкви и	1	2
83	теперь в	1	2
84	еще более	5	2
85	начала и	8	2
86	по сравнению	2	2
87	так называемые	2	2
88	для тех	1	2
89	в ее	5	2
90	и тем	1	2
91	того что	3	2
92	никак не	3	2
93	как раз	8	2
94	в частности	4	2
95	в его	21	2
96	xix веке	3	2
97	а не	6	2
98	для нас	1	2
99	все это	6	2
100	в русскую	1	2
