N	4gram	Propp_Russ	StatiiOP
1	говорит о том что	1	5
2	в то время как	1	5
3	в том что в	6	4
4	это не значит что	2	3
5	обращает на себя внимание	1	3
6	во всяком случае не	1	3
7	еще до того как	1	3
8	не имеет ничего общего	1	3
9	имеет ничего общего с	1	3
10	сомнений в том что	1	2
11	и в этом случае	2	2
12	состоит в том что	16	2
13	сомнения в том что	1	2
14	о том что в	1	2
15	и т д и	1	2
16	вопрос о том кто	1	2
17	но вместе с тем	3	2
18	в том что этот	2	2
19	одни и те же	1	1
20	себе дело так что	1	1
21	т е как бы	1	1
22	пришел к выводу что	1	1
23	не только потому что	1	1
24	в отличие от других	1	1
25	в том что один	1	1
26	ничего не говорится о	1	1
27	иметь в виду что	1	1
28	была вместе с тем	1	1
29	вместе с тем он	1	1
30	по этому поводу с	1	1
31	также в том что	1	1
32	такое же значение как	1	1
33	приводит к тому что	1	1
34	в другом месте своей	1	1
35	не все в этой	1	1
36	так же как и	3	1
37	к тому что в	1	1
