N	4gram	Potebnia_M	Dialekti
1	не что иное как	1	18
2	в то же время	8	14
3	одно и то же	7	12
4	есть не что иное	1	11
5	одна и та же	2	8
6	в то время как	3	8
7	или по крайней мере	2	8
8	не говоря уже о	1	7
9	сама по себе не	1	6
10	одной и той же	4	5
11	не в том что	4	5
12	и то и другое	1	4
13	в том смысле что	2	4
14	с одной стороны и	1	4
15	вовсе не в том	1	3
16	есть то что мы	1	3
17	и т д не	1	3
18	того что не есть	1	2
19	возможно только тогда когда	1	2
20	дело вовсе не в	1	2
21	когда мы говорим что	1	2
22	дело в том что	1	2
23	тем не менее в	1	2
24	то же время и	1	2
25	именно в том что	1	1
26	но тем не менее	4	1
27	возможна только потому что	1	1
28	и может быть только	1	1
29	как мы уже сказали	1	1
30	как одно и то	1	1
31	сказать несколько слов об	2	1
32	в том смысле как	1	1
33	потому что он не	2	1
34	до тех пор пока	2	1
35	и сам по себе	1	1
36	между тем и другим	2	1
37	это значит что я	1	1
38	все более и более	1	1
39	может быть только в	1	1
40	на самом деле есть	1	1
41	по самой своей природе	1	1
42	со своей точки зрения	1	1
43	заключается в том что	1	1
44	само по себе независимо	1	1
45	бы то ни было	1	1
46	вопрос о том что	1	1
47	самой по себе и	1	1
48	по себе независимо от	3	1
49	если бы не было	1	1
50	и в том что	2	1
51	и в некотором смысле	1	1
52	с точки зрения той	1	1
53	сам по себе а	1	1
54	в том случае если	1	1
55	на наших глазах совершается	1	1
56	в том что она	1	1
57	и о том что	1	1
58	мы не в силах	1	1
59	иначе не было бы	1	1
60	и не может быть	1	1
61	а в том что	1	1
62	как бы она ни	1	1
63	бы она ни была	1	1
64	то время как в	1	1
65	отчет в том что	1	1
66	а между тем в	1	1
67	можно только сказать что	1	1
68	никто не имеет права	1	1
69	в том что он	2	1
70	как показывает самое слово	1	1
71	то что мы называем	2	1
72	по мере того как	8	1
