N	3gram	Propp_Isto	UchenyiS
1	не может быть	6	4
2	с другой стороны	10	3
3	в то же	1	3
4	то же время	1	3
5	и то что	3	2
6	в том что	4	2
7	в самом деле	1	2
8	не могут быть	1	2
9	до сих пор	7	2
10	то же самое	1	2
11	еще ничего не	1	2
12	он может быть	1	1
13	друг с другом	2	1
14	сам по себе	1	1
15	другой стороны в	1	1
16	в широком смысле	1	1
17	тем что он	3	1
18	в своей работе	1	1
19	может быть в	1	1
20	с тем что	1	1
21	сводится к следующему	1	1
22	с одной стороны	7	1
23	она все же	1	1
24	в ней не	1	1
25	и с другой	1	1
26	можно сказать что	1	1
27	это верно но	1	1
28	в изобразительном искусстве	2	1
29	на первый план	1	1
30	имеются не только	1	1
31	этого не было	1	1
32	не в том	2	1
33	и не только	1	1
34	а не только	1	1
35	на то что	3	1
36	не только в	2	1
37	но это не	2	1
38	в данном случае	2	1
39	само по себе	1	1
40	мы имеем в	2	1
41	для тех кто	1	1
42	в этом случае	13	1
43	том что она	1	1
44	все же не	1	1
45	в частности с	1	1
46	это было бы	1	1
