N	2gram	Nazirov_Tv	Sovremen
1	не может	9	17
2	может быть	11	12
3	таким образом	14	11
4	мы не	3	9
5	в каждом	4	8
6	в этом	11	7
7	и в	40	7
8	в результате	1	6
9	каждый раз	1	6
10	как и	16	6
11	ничего не	3	6
12	и не	12	6
13	прежде всего	10	5
14	что же	1	5
15	все эти	3	5
16	и наконец	3	5
17	в дальнейшем	7	4
18	а в	10	4
19	так как	6	4
20	это не	9	4
21	не только	16	4
22	мы должны	1	4
23	в развитии	1	4
24	с помощью	1	4
25	как бы	26	4
26	нет и	1	4
27	если мы	1	4
28	их в	1	4
29	жизни и	3	4
30	вместе с	4	4
31	в целом	7	4
32	же это	1	4
33	в том	13	4
34	из них	4	4
35	точку зрения	1	4
36	мы видели	1	4
37	и к	1	3
38	и потому	4	3
39	на этой	1	3
40	и мы	1	3
41	с самого	3	3
42	уже в	5	3
43	то же	19	3
44	при этом	14	3
45	мы получаем	1	3
46	поэтому мы	1	3
47	не в	3	3
48	а не	9	3
49	все это	14	3
50	как он	1	3
51	в одном	3	3
52	к действию	1	3
53	у нас	2	3
54	а все	1	3
55	самого начала	3	3
56	в конце	5	3
57	ведь это	1	3
58	было бы	2	3
59	в первом	3	3
60	в этой	7	3
61	он в	1	3
62	и все	6	3
63	в себе	3	3
64	ясно что	1	3
65	что она	5	3
66	одна из	5	3
67	все же	9	3
68	при таком	1	3
69	в области	1	3
70	может не	2	3
71	отличается от	1	3
72	между собой	2	3
73	отнюдь не	9	3
74	в нем	4	3
75	но мы	1	3
76	но в	11	3
77	еще не	5	3
78	с этим	2	2
79	о принципиальной	1	2
80	что в	17	2
81	тем не	2	2
82	в самом	6	2
83	дает нам	1	2
84	мы видим	3	2
85	значение в	2	2
86	и что	2	2
87	для развития	1	2
88	отличие от	3	2
89	такие же	1	2
90	которой он	2	2
91	то и	1	2
92	о значении	1	2
93	с одной	2	2
94	теперь же	1	2
95	в отличие	3	2
96	такого рода	1	2
97	в свою	8	2
98	из этих	1	2
99	в его	19	2
100	во всяком	2	2
101	мы знаем	2	2
102	не дает	1	2
103	в которую	2	2
104	еще более	3	2
105	то ни	1	2
106	что это	1	2
107	или же	1	2
108	конце развития	1	2
109	по мнению	4	2
110	что такое	1	2
111	если же	1	2
112	говорить о	1	2
113	на его	4	2
114	у него	11	2
115	не могут	2	2
116	в новых	2	2
117	в виде	4	2
118	со всеми	3	2
119	а на	1	2
120	свою очередь	2	2
121	и даже	8	2
122	как известно	3	2
123	говорим о	1	2
124	самом деле	4	2
125	в которой	5	2
126	но все	1	2
127	к чему	1	2
128	же самое	1	2
129	как мы	1	2
130	наконец не	1	2
131	настоящее время	2	2
132	развития в	2	2
133	той же	4	2
134	о жизни	4	2
135	могут быть	4	2
136	и будет	2	2
137	в таком	4	2
138	уже не	6	2
139	и есть	2	2
140	что все	4	2
141	или иной	1	2
142	на этот	3	2
143	такой же	4	2
144	на этом	1	2
145	роль в	2	2
146	не менее	8	2
147	так сказать	4	2
148	приводит к	4	2
149	и по	5	2
150	времени и	4	2
151	свою собственную	1	2
152	в настоящее	1	2
153	в один	3	2
154	каждого из	1	2
155	знаем что	1	2
156	тот же	3	2
157	всяком случае	2	2
158	№ с	2	2
159	жизни но	2	1
160	во всех	2	1
161	все они	1	1
162	какая-нибудь одна	1	1
163	бы то	1	1
164	к которому	3	1
165	в социальном	1	1
166	это и	4	1
167	его и	2	1
168	необходимо сказать	1	1
169	только не	1	1
170	но можно	1	1
171	влечет за	2	1
172	а потому	1	1
173	то он	1	1
174	человека в	9	1
175	и снова	1	1
176	в окончательном	2	1
177	чем же	1	1
178	не является	3	1
179	из многих	1	1
180	в данном	2	1
181	до сих	1	1
182	все его	1	1
183	еще одним	1	1
184	схема его	1	1
185	и сильным	1	1
186	еще раз	1	1
187	и более	2	1
188	еще за	1	1
189	та же	4	1
190	по преимуществу	4	1
191	века с	2	1
192	точно такие	1	1
193	в действительности	1	1
194	быть действительно	1	1
195	действия в	1	1
196	что иное	1	1
197	видим что	1	1
198	в процессе	3	1
199	данном случае	2	1
200	и красота	2	1
201	ведь в	1	1
202	ли это	2	1
203	не имеют	4	1
204	связи с	2	1
205	здесь нет	2	1
206	если в	3	1
207	должно быть	1	1
208	мы уже	2	1
209	это как	4	1
210	такую же	1	1
211	человек и	2	1
212	в первый	1	1
213	для ее	2	1
214	его с	1	1
215	она не	2	1
216	в течение	1	1
217	но затем	1	1
218	что уже	1	1
219	одной стороны	1	1
220	все свои	1	1
221	и ни	1	1
222	на другой	1	1
223	на друга	1	1
224	она всегда	1	1
225	одна и	1	1
226	мы имеем	1	1
227	и у	3	1
228	быть в	1	1
229	если у	2	1
230	затем из	2	1
231	в другом	1	1
232	совсем не	1	1
233	том как	1	1
234	не быть	1	1
235	построения в	1	1
236	в ней	2	1
237	из всех	5	1
238	на ней	2	1
239	поэтому совершенно	1	1
240	друг на	1	1
241	ни было	1	1
242	элементов и	1	1
243	что эта	1	1
244	положение в	1	1
245	человека как	2	1
246	а может	2	1
247	это значит	1	1
248	хотя и	5	1
249	человек с	2	1
250	он называет	1	1
251	с другой	4	1
252	и тогда	2	1
253	а это	1	1
254	в этот	3	1
255	с ним	4	1
256	это уже	7	1
257	на которых	1	1
