N	3gram	Voloshinov	Sotsiolo
1	по отношению к	9	2
2	только в этом	1	2
3	в том что	9	2
4	но ведь это	1	2
5	в конце концов	3	2
6	это и есть	2	1
7	конечно не в	1	1
8	в то же	7	1
9	в марксистской литературе	2	1
10	друг от друга	1	1
11	мы переходим к	1	1
12	а между тем	1	1
13	в конечном счете	1	1
14	выходит за пределы	1	1
15	между собой не	1	1
16	с одной стороны	2	1
17	в связи с	12	1
18	то же самое	8	1
19	на первый план	2	1
20	применения социологического метода	1	1
21	чуть ли не	2	1
22	по крайней мере	1	1
23	то же время	7	1
24	в противном случае	2	1
25	бы они ни	1	1
26	в наше время	1	1
27	между тем именно	1	1
28	марксизма в его	1	1
29	сама по себе	2	1
30	не должна быть	1	1
31	это вовсе не	1	1
32	во всяком случае	4	1
33	а в том	1	1
34	том что это	1	1
35	не дает никаких	1	1
36	именно в том	1	1
37	как бы они	1	1
38	в настоящее время	6	1
39	не выходит за	1	1
40	не было бы	3	1
41	они ни были	1	1
