N	2gram	Vygotskiy_	Komedia
1	и в	47	77
2	и не	27	47
3	в том	38	44
4	том что	28	42
5	о том	5	33
6	едва ли	5	32
7	но и	19	32
8	может быть	20	30
9	из них	2	29
10	таким образом	38	29
11	в то	10	28
12	и его	14	28
13	в этом	47	27
14	потому что	26	27
15	что он	13	26
16	к тому	13	26
17	тому же	2	25
18	не только	36	25
19	вместе с	19	25
20	так как	25	24
21	как и	19	23
22	ни в	3	23
23	что в	23	23
24	в самом	15	22
25	что и	4	22
26	если бы	8	22
27	то же	16	21
28	ясно что	4	21
29	в конце	5	21
30	так и	8	21
31	а в	3	21
32	в его	7	20
33	к этому	2	19
34	во время	2	19
35	в этой	7	18
36	тем что	14	17
37	же время	1	17
38	в нем	6	17
39	и здесь	5	17
40	и т	1	17
41	еще не	5	17
42	при этом	4	16
43	все же	7	16
44	не менее	6	16
45	у него	2	16
46	сих пор	6	16
47	он не	5	16
48	до сих	6	16
49	не в	7	15
50	в своем	3	15
51	точки зрения	39	15
52	его в	7	15
53	в которой	16	15
54	между тем	2	15
55	один из	3	15
56	и на	4	15
57	было бы	12	15
58	прежде всего	9	15
59	и с	5	14
60	столь же	2	14
61	к нему	5	14
62	в свою	3	14
63	все это	5	14
64	ли не	3	14
65	об этом	4	14
66	только что	7	13
67	самом деле	6	13
68	о чем	8	13
69	в них	3	13
70	в одном	4	13
71	что она	8	13
72	того же	7	13
73	как раз	6	13
74	мы можем	7	13
75	в двух	2	13
76	так что	8	13
77	то что	40	13
78	того чтобы	26	13
79	но в	9	13
80	в котором	6	12
81	для того	24	12
82	так же	26	12
83	с другой	7	12
84	несмотря на	2	12
85	хотя и	4	12
86	в качестве	9	12
87	как это	7	12
88	из которых	3	12
89	как в	7	12
90	уже в	3	12
91	в истории	1	12
92	не по	7	12
93	в начале	6	12
94	не может	23	12
95	но не	13	12
96	и даже	3	11
97	с тем	8	11
98	по отношению	10	11
99	наряду с	2	11
100	что его	2	11
101	с ним	5	11
102	то время	8	11
103	должны были	2	11
104	речь идет	1	11
105	как мы	24	11
106	на этот	2	11
107	и для	5	11
108	в их	4	11
109	в частности	4	11
110	к ней	2	11
111	одного из	2	11
112	с этим	5	10
113	свою очередь	3	10
114	на него	1	10
115	с одной	7	10
116	в чем	5	10
117	как бы	13	10
118	и что	14	10
119	в отношении	9	10
120	и все	5	10
121	на основании	2	10
122	одной из	4	10
123	в глазах	1	10
124	с его	1	10
125	ничего не	2	10
126	мы не	10	10
127	на его	3	10
128	тем более	1	10
129	еще в	3	10
130	отношение к	8	10
131	же в	1	10
132	в целом	7	10
133	все что	7	9
134	но все	2	9
135	в своей	4	9
136	одной стороны	7	9
137	говорить о	1	9
138	и еще	1	9
139	тому что	14	9
140	время как	7	9
141	только в	24	9
142	друг друга	9	9
143	в тех	1	9
144	о его	3	9
145	и по	6	9
146	независимо от	1	9
147	ответ на	3	9
148	того как	6	9
149	вовсе не	3	9
150	отличие от	4	9
151	в ней	5	9
152	и особенно	2	9
153	отношению к	9	9
154	с этой	5	8
155	а затем	2	8
156	другой стороны	3	8
157	по поводу	3	8
158	что у	4	8
159	не было	1	8
160	не знает	3	8
161	бы в	7	8
162	во всех	9	8
163	можно было	7	8
164	что для	3	8
165	первую очередь	3	8
166	в iv	1	8
167	если не	1	8
168	в которых	3	8
169	тех пор	1	8
170	связи с	4	8
171	по своему	11	8
172	и других	5	8
173	с самого	13	8
174	как он	1	8
175	идет о	3	8
176	и ее	3	8
177	место в	1	8
178	и к	11	7
179	мы найдем	1	7
180	дело с	3	7
181	в результате	3	7
182	в этих	2	7
183	если в	6	7
184	себе в	5	7
185	во всяком	2	7
186	в первую	3	7
187	вопрос о	9	7
188	в другом	3	7
189	самого начала	13	7
190	что они	11	7
191	в связи	1	7
192	и это	2	7
193	в других	2	7
194	и тот	1	7
195	в себе	14	7
196	и у	1	7
197	к его	3	7
198	не имеет	6	7
199	не является	4	7
200	из этих	6	7
201	и поэтому	1	7
202	мы знаем	5	7
203	целый ряд	6	7
204	и во	5	7
205	до конца	8	7
206	но если	5	7
207	всяком случае	1	7
208	и вот	1	7
209	для нас	4	7
210	должен был	2	7
211	само собой	2	7
212	отнюдь не	2	7
213	и о	4	7
214	конце концов	1	7
215	еще более	1	6
216	даже в	2	6
217	его от	2	6
218	в виду	5	6
219	с собой	3	6
220	в своих	2	6
221	до того	2	6
222	представляет собой	23	6
223	как правило	2	6
224	не мог	2	6
225	и он	4	6
226	после того	1	6
227	с точки	31	6
228	как видно	1	6
229	что не	2	6
230	о которых	3	6
231	на этом	4	6
