N	2gram	Propp_Morf	Marksizm
1	точки зрения	7	69
2	может быть	61	64
3	и в	17	63
4	и не	16	55
5	как бы	6	53
6	не может	19	47
7	с точки	6	46
8	и пр	45	42
9	и его	3	41
10	в этом	18	39
11	таким образом	26	38
12	как мы	8	32
13	в пределах	3	31
14	не только	8	29
15	то же	10	28
16	но и	9	27
17	связи с	12	25
18	самом деле	4	25
19	как и	4	24
20	прежде всего	14	24
21	только в	3	23
22	так и	10	23
23	в том	10	22
24	то что	10	22
25	а не	11	22
26	при этом	1	20
27	для него	2	20
28	если мы	6	20
29	не в	3	19
30	если бы	3	19
31	том что	7	19
32	в его	1	19
33	в ее	1	18
34	и для	4	18
35	но в	4	18
36	вовсе не	6	18
37	все же	9	17
38	в сущности	3	17
39	по отношению	7	16
40	ни было	2	16
41	и как	6	16
42	в то	4	16
43	с помощью	1	15
44	во всех	6	15
45	в связи	10	15
46	что он	5	15
47	же время	1	15
48	русском языке	1	15
49	отношению к	7	15
50	в данном	2	14
51	хотя бы	5	14
52	в своей	1	13
53	так же	4	13
54	то ни	3	13
55	что в	10	13
56	и здесь	7	13
57	не является	4	13
58	того чтобы	4	13
59	было бы	5	13
60	ничего не	5	13
61	мы не	8	13
62	для того	3	12
63	бы то	3	12
64	в результате	8	12
65	между тем	5	12
66	он не	5	12
67	в основе	2	12
68	высшей степени	1	12
69	а в	8	12
70	в высшей	1	12
71	не столько	1	11
72	к нему	3	11
73	мы уже	4	11
74	и что	3	11
75	до сих	1	11
76	и на	1	11
77	и все	1	11
78	как в	5	11
79	еще не	4	11
80	друг друга	3	11
81	так как	20	11
82	на самом	4	11
83	все эти	5	11
84	сих пор	1	11
85	именно в	1	10
86	во всяком	2	10
87	самого начала	1	10
88	с другой	9	10
89	сказать что	4	10
90	к этому	4	10
91	его в	4	10
92	в таком	1	10
93	одна из	5	10
94	в каждом	1	10
95	здесь мы	3	10
96	в большинстве	3	10
97	совершенно не	1	10
98	с его	3	10
99	с самого	1	10
100	отличие от	1	10
101	быть и	2	9
102	к тому	5	9
103	только на	1	9
104	в нашем	6	9
105	в себе	1	9
106	лишь на	2	9
107	большинстве случаев	3	9
108	и это	1	9
109	что это	3	9
110	ни в	3	9
111	не имеет	2	9
112	и более	2	9
113	как целое	1	9
114	это не	6	9
115	одной из	2	9
116	же самое	1	9
117	кроме того	3	8
118	не как	1	8
119	другой стороны	5	8
120	и даже	2	8
121	и с	1	8
122	настоящее время	3	8
123	в данной	2	8
124	что и	10	8
125	у него	2	8
126	что не	1	8
127	тому что	5	8
128	ясно что	5	8
129	мы можем	5	8
130	или же	7	8
131	не будет	1	8
132	в форме	6	8
133	в каком	2	8
134	к другому	2	8
135	перед нами	14	8
136	чем же	1	8
137	в свою	1	8
138	в настоящее	3	8
139	с этим	14	8
140	у нас	3	8
141	в их	1	8
142	и их	3	8
143	и ее	5	8
144	или иной	1	8
145	на то	3	8
146	от него	2	7
147	в этих	17	7
148	не существует	3	7
149	в котором	1	7
150	и те	1	7
151	свою очередь	1	7
152	он сам	1	7
153	те же	1	7
154	нашей работы	2	7
155	как раз	1	7
156	в качестве	8	7
157	бы в	2	7
158	в этой	3	7
159	могут быть	21	7
160	оно может	4	7
161	там где	5	7
162	как такой	1	7
163	с ними	1	7
164	о том	6	7
165	того что	3	7
166	в формах	1	7
167	конечно в	1	7
168	в начале	3	7
169	далеко не	5	7
170	бы он	1	7
171	в той	1	6
172	является в	2	6
173	точном смысле	1	6
174	от одного	1	6
175	уже не	4	6
176	входит в	4	6
177	одной стороны	2	6
178	в другом	2	6
179	в различных	2	6
180	она может	1	6
181	характерно что	1	6
182	с одной	2	6
183	с другими	2	6
184	из важнейших	1	6
185	здесь же	3	6
186	между ними	1	6
187	не есть	1	6
188	из одного	1	6
189	всяком случае	2	6
190	должны быть	2	6
191	этот вопрос	4	6
192	с ее	1	6
193	должна быть	2	6
194	смысле слова	4	6
195	в точном	1	6
196	ничего общего	1	6
197	что же	2	6
198	тем же	2	6
199	тот же	1	6
200	все это	2	6
201	в какой	3	6
202	лишь с	2	6
203	вопрос о	10	6
204	мы должны	3	6
205	из этих	2	6
206	лишь как	1	6
207	форм передачи	1	6
208	же в	3	6
209	пр и	3	6
210	формы в	1	5
211	о чем	1	5
212	в одном	2	5
213	нами в	4	5
214	в виду	1	5
215	в первом	5	5
216	она является	1	5
217	не менее	7	5
218	как на	1	5
219	от того	4	5
220	себя в	2	5
221	должно быть	1	5
222	что такое	3	5
223	как же	3	5
224	лишь для	1	5
225	и у	3	5
226	той или	1	5
227	но как	3	5
228	и тем	3	5
229	же он	1	5
230	язык есть	1	5
231	то в	3	5
232	дело идет	1	5
233	и вот	1	5
234	ее в	3	5
235	связана с	3	5
236	хотя и	5	5
237	работы мы	1	5
238	точку зрения	1	5
239	этом случае	10	5
240	форм и	1	5
241	этом отношении	2	5
242	то мы	5	5
243	таком случае	1	5
244	или в	6	5
245	но не	8	5
246	она не	2	5
247	в особенности	1	5
248	совершается в	2	5
249	какого бы	1	4
250	и к	4	4
251	мы постараемся	2	4
252	же и	1	4
253	только что	3	4
254	в них	1	4
255	но все	4	4
256	тем что	4	4
257	он является	1	4
258	не прав	1	4
259	к другой	2	4
260	он был	1	4
261	и иных	2	4
262	этой связи	1	4
263	правда и	1	4
264	говорит что	1	4
265	перед ним	1	4
266	следующим образом	4	4
267	во всей	1	4
268	из них	4	4
269	переходим к	1	4
270	что они	5	4
271	несмотря на	4	4
272	не хватает	4	4
273	что все	1	4
274	не знает	2	4
275	в которой	3	4
276	одним из	2	4
277	что она	2	4
278	но для	3	4
279	но ведь	1	4
280	в других	5	4
281	но к	1	4
282	стремится к	1	4
283	не дает	1	4
284	ситуация и	1	4
285	между двумя	1	4
286	так что	1	4
287	если же	5	4
288	всех других	2	4
289	в тех	8	4
290	и тот	2	4
291	из этого	1	4
292	его к	1	4
293	независимо от	4	4
294	имеет свою	1	4
295	к целому	2	4
296	уже знаем	1	4
297	не могут	7	4
298	со всеми	1	4
299	и действительно	1	4
300	можно назвать	3	4
301	может получить	1	4
302	первом случае	3	4
303	именно на	1	4
304	целый ряд	3	4
305	и до	1	4
306	что здесь	1	4
307	мог бы	1	4
308	и то	1	4
309	не будем	5	4
310	это и	3	4
311	можно сказать	2	4
312	войти в	1	4
313	в одной	2	4
314	так называемой	1	4
315	может идти	1	4
316	как он	1	4
317	в каких	2	4
318	и вне	3	4
319	в области	1	4
320	они существуют	1	3
321	с героем	2	3
322	в применении	1	3
323	однако и	1	3
324	даже в	1	3
325	в нашу	1	3
326	в своих	2	3
327	для передачи	1	3
328	с тем	2	3
329	роль в	2	3
330	так в	1	3
331	на первый	3	3
332	нашу задачу	2	3
333	или вернее	1	3
334	применении к	1	3
335	мы увидим	10	3
336	в этот	1	3
337	но они	2	3
338	говорить о	4	3
339	на пути	4	3
340	или если	1	3
341	находится в	1	3
342	момент в	2	3
343	друг с	1	3
344	мы видим	15	3
345	здесь нет	1	3
346	к себе	2	3
347	вопрос мы	1	3
348	тем не	7	3
349	в тот	1	3
350	там и	1	3
351	обстоит дело	1	3
352	прежде чем	5	3
353	которые еще	1	3
354	деле в	1	3
355	между собой	5	3
356	в русской	1	3
357	данный момент	1	3
358	мы говорили	1	3
359	все остальные	1	3
360	более или	2	3
361	формы передачи	3	3
362	все основные	1	3
363	как это	7	3
364	одним словом	1	3
365	что эта	2	3
366	одно и	1	3
367	не приходится	1	3
368	могла бы	4	3
369	значение и	3	3
370	выходят за	1	3
371	в систему	1	3
372	и др	12	3
373	и есть	3	3
374	были бы	1	3
375	не так	2	3
376	во втором	7	3
377	и этот	2	3
378	в последнем	3	3
379	они и	5	3
380	его из	1	3
381	если он	2	3
382	как к	1	3
383	и при	3	3
384	учение о	5	3
385	все формы	1	3
386	в другой	1	3
387	из которых	5	3
388	не на	2	3
389	можно было	4	3
390	одновременно с	1	3
391	еще в	1	3
392	но вот	2	3
393	в которых	2	3
394	приводит к	3	3
395	со стороны	5	3
396	в следующей	1	3
397	еще и	1	3
398	ни к	2	3
399	его и	2	3
400	потому что	7	3
401	этот случай	7	3
402	более и	1	3
403	к двум	1	3
404	самого героя	1	3
405	на этот	2	3
406	он может	2	3
407	здесь не	3	3
408	но если	10	3
409	главным образом	5	3
410	но это	6	3
411	ответ на	2	3
412	они не	3	3
413	того как	2	3
414	и сама	1	3
415	основных проблем	1	3
416	бы на	1	3
417	для данной	1	3
418	этот прием	1	3
419	этой формы	3	3
420	вне этой	1	3
421	на все	1	3
422	один и	1	3
423	только и	1	3
424	с другом	1	3
425	в виде	3	3
426	или менее	2	3
427	и вообще	1	3
428	не все	6	3
429	и по	3	3
430	этих двух	1	3
431	того или	1	3
432	как ни	1	3
433	также и	6	3
434	эти формы	2	3
435	иногда и	2	3
436	а по	3	3
437	не с	2	3
438	в нашей	1	3
439	или как	1	3
440	благодаря этому	3	3
441	по законам	1	3
442	этой школы	4	3
443	все более	1	3
444	и только	3	3
445	само собой	1	3
446	в целом	5	3
447	или точнее	1	3
448	и тогда	3	3
449	еще несколько	1	2
450	во всем	1	2
451	и другие	6	2
452	для всех	1	2
453	свет на	1	2
454	вообще не	2	2
455	форма передачи	1	2
456	к этой	1	2
457	с этой	3	2
458	дело с	1	2
459	вопросу о	2	2
460	это значит	1	2
461	этот момент	5	2
462	тем как	1	2
463	и по-видимому	1	2
464	ощущается как	2	2
465	как они	2	2
466	из нее	1	2
467	небо и	1	2
468	но по	1	2
469	превращается в	2	2
470	исходить из	1	2
471	том или	1	2
472	например в	2	2
473	в собственном	3	2
474	их в	2	2
475	а именно	1	2
476	не ощущается	1	2
477	может существовать	3	2
478	лица в	1	2
479	всех подобных	1	2
480	которые затем	1	2
481	так например	3	2
482	г в	1	2
483	случай когда	1	2
484	пр эта	2	2
485	ответить на	2	2
486	во все	1	2
487	она могла	1	2
488	всего этого	1	2
489	же касается	1	2
490	оно так	1	2
491	для данного	1	2
492	не вполне	1	2
493	то как	2	2
494	не что	2	2
495	момента в	1	2
496	никаких новых	2	2
497	такая же	1	2
498	на него	4	2
499	стороны оно	1	2
500	иные формы	2	2
501	в противном	1	2
502	какой степени	1	2
503	коем случае	1	2
504	лишь при	1	2
505	они могут	1	2
506	мы скажем	1	2
507	всего в	1	2
508	нему в	1	2
509	собой и	1	2
510	которое он	1	2
511	же они	2	2
512	характерен для	1	2
513	это будет	1	2
514	она в	2	2
515	в состоянии	1	2
516	форма является	1	2
517	а ведь	1	2
518	отношения к	1	2
519	и за	2	2
520	дочь в	1	2
521	иными словами	1	2
522	эта форма	14	2
523	этой главе	1	2
524	и притом	1	2
525	как фактор	1	2
526	но он	1	2
527	что его	4	2
528	этим и	1	2
529	лишь постольку	1	2
530	чрезвычайно важно	1	2
531	также в	2	2
532	между прочим	1	2
533	для решения	1	2
534	средство для	2	2
535	в чем	2	2
536	морфологических и	1	2
537	здесь как	1	2
538	могли бы	2	2
539	но можно	1	2
540	о происхождении	2	2
541	а с	2	2
542	превращаясь в	1	2
543	бы к	1	2
544	героя и	3	2
545	ту же	2	2
546	совсем не	3	2
547	бы они	2	2
548	является одним	1	2
549	даже не	3	2
550	также не	1	2
551	в нее	2	2
552	когда мы	1	2
553	ни одной	2	2
554	друг другу	1	2
555	это делает	1	2
556	но прежде	1	2
557	лишь весьма	1	2
558	не значит	3	2
559	в первой	1	2
560	не то	1	2
561	мы перейдем	1	2
562	во время	6	2
563	всех этих	1	2
564	случае это	1	2
565	слушателя и	1	2
566	собственном смысле	3	2
567	в частности	2	2
568	а потому	2	2
569	та же	3	2
570	как с	1	2
571	следует ли	1	2
572	которые он	1	2
573	своих героев	1	2
574	переносится в	1	2
575	всей совокупности	1	2
576	основная задача	1	2
577	героем в	1	2
578	в плоскости	3	2
579	оно не	2	2
580	конечно и	1	2
581	мы понимаем	1	2
582	это положение	2	2
583	превращаются в	1	2
584	не делает	1	2
585	к царю	1	2
586	никто не	4	2
587	явлений и	1	2
588	себя и	2	2
589	бы не	1	2
590	этого материала	1	2
591	нет в	1	2
592	к данной	1	2
593	значения для	1	2
594	иногда очень	1	2
595	он же	1	2
596	где нет	1	2
597	него он	1	2
598	что мы	2	2
599	это явление	5	2
600	явления и	1	2
601	быть не	1	2
602	формы с	1	2
603	оно является	1	2
604	тех пор	1	2
605	для нее	1	2
606	эта мысль	1	2
607	вступает в	1	2
608	мы получим	2	2
609	которую он	1	2
610	мы постарались	1	2
611	ни были	1	2
612	в совершенно	2	2
613	идет об	1	2
614	известной степени	1	2
615	или вообще	2	2
616	не совсем	1	2
617	и небо	1	2
618	то для	1	2
619	жизни языка	1	2
620	до известной	1	2
621	вопрос в	2	2
622	мы еще	1	2
623	он должен	3	2
624	в коем	1	2
625	данном случае	2	2
626	эта ситуация	1	2
627	к истории	1	2
628	о нем	1	2
629	что с	1	2
630	нет это	1	2
631	же не	1	2
632	из форм	1	2
633	два раза	5	2
634	в г	1	2
635	но с	2	2
636	и где	1	2
637	реакция на	1	2
638	между собою	2	2
639	сможет быть	1	2
640	есть в	1	2
641	эти две	1	2
642	противном случае	1	2
643	и могут	1	2
644	остановимся на	1	2
645	по его	1	2
646	это было	3	2
647	пока не	1	2
648	на его	5	2
649	это так	2	2
650	что эти	3	2
651	без всякой	2	2
652	они все	1	2
653	бы во	1	2
654	в эти	1	2
655	то не	1	2
656	его не	1	2
657	и ни	1	2
658	одну из	1	2
659	не по	2	2
660	но здесь	2	2
661	живой язык	1	2
662	то перед	5	2
663	во второй	2	2
664	есть и	4	2
665	мы пока	2	2
666	вторая половина	2	2
667	как их	2	2
668	этом и	1	2
669	ее из	2	2
670	иное как	2	2
671	же может	2	2
672	определить как	1	2
673	быть дано	1	2
674	дело обстоит	1	2
675	и наконец	1	2
676	служит лишь	1	2
677	пр он	3	1
678	от изучения	1	1
679	и землю	1	1
680	было так	1	1
681	можно говорить	1	1
682	отвечает на	1	1
683	в постановке	1	1
684	рассмотрению и	1	1
685	и очень	1	1
686	на эти	1	1
687	с двух	1	1
688	которые не	1	1
689	совершаться в	1	1
690	за исключением	1	1
691	всех случаях	1	1
692	более широкой	1	1
693	по всему	3	1
694	случае не	4	1
695	очень простой	1	1
696	в следующих	1	1
697	о так	1	1
698	или нет	2	1
699	о формах	3	1
700	в некоторых	4	1
701	есть функция	1	1
702	не являются	1	1
703	одно из	1	1
704	форма у	1	1
705	этого момента	3	1
706	двух форм	1	1
707	с собой	3	1
708	это определение	1	1
709	каком это	1	1
710	передачи и	2	1
711	по пути	1	1
712	что вопрос	1	1
713	на которых	1	1
714	именно и	1	1
715	из двух	3	1
716	ни одна	4	1
717	хватает и	1	1
718	если теперь	1	1
719	образом что	1	1
720	равно как	1	1
721	каким образом	1	1
722	знаки и	1	1
723	мысль о	1	1
724	главе мы	1	1
725	приведенной схеме	1	1
726	или на	3	1
727	систему и	1	1
728	обоих случаях	2	1
729	одновременно и	1	1
730	на эту	1	1
731	и конкретно	1	1
732	они ни	1	1
733	только для	2	1
734	может дать	2	1
735	прочим и	1	1
736	за ней	2	1
737	когда в	2	1
738	свою собственную	1	1
739	сделать из	2	1
740	где оно	2	1
741	героем этим	1	1
742	и нет	1	1
743	при анализе	1	1
744	так если	3	1
745	рассказ может	1	1
746	сведения о	1	1
747	в подробности	1	1
748	ситуация всегда	2	1
749	рассказ о	1	1
750	со своей	1	1
751	этим мы	1	1
752	которые мы	1	1
753	то это	5	1
754	чрезвычайно трудно	1	1
755	на части	1	1
756	как та	1	1
757	совершенно особое	1	1
758	чему не	2	1
759	не простое	1	1
760	нашего века	1	1
761	брата и	1	1
762	имеет в	1	1
763	по приведенной	1	1
764	ii и	1	1
765	но во	1	1
766	но то	1	1
767	во многих	1	1
768	не всегда	10	1
769	характер они	1	1
770	уже было	1	1
771	в него	1	1
772	об отношении	1	1
773	увидим что	2	1
774	собственно не	1	1
775	втором случае	1	1
776	и когда	2	1
777	приходит к	1	1
778	укладываются в	1	1
779	двух точек	1	1
780	углом зрения	2	1
781	тем мы	1	1
782	за другом	2	1
783	друг на	2	1
784	так то	1	1
785	известным образом	1	1
786	тех случаях	2	1
787	в основу	2	1
788	образом как	1	1
789	будем говорить	1	1
790	он служит	1	1
791	формы от	1	1
792	от разрешения	1	1
793	форм их	1	1
794	целое то	1	1
795	быть нами	1	1
796	что именно	2	1
797	элементы которые	3	1
798	также является	1	1
799	бы какое	1	1
800	на котором	4	1
801	героя то	1	1
802	уже по	1	1
803	мужа и	1	1
804	следует еще	2	1
805	она есть	1	1
806	он рождается	1	1
807	лишь один	1	1
808	но там	1	1
809	однако же	1	1
810	проходит через	1	1
811	действительно в	1	1
812	и сестры	1	1
813	героя получается	1	1
814	дальний путь	1	1
815	элементы или	1	1
816	того кому	1	1
817	не происходит	3	1
818	при втором	1	1
819	герой и	4	1
820	или наоборот	2	1
821	то оно	1	1
822	и случайные	1	1
823	содержится в	1	1
824	многообразна и	1	1
825	после того	1	1
826	быть названа	1	1
827	где начинается	1	1
828	остановимся лишь	1	1
829	всматриваясь в	1	1
830	следует сказать	1	1
831	или они	1	1
832	увидим дальше	1	1
833	не стремится	1	1
834	формы но	1	1
835	сущности вовсе	1	1
836	а и	3	1
837	и герой	1	1
838	лишь после	2	1
839	что несмотря	1	1
840	дать совершенно	1	1
841	многих отношениях	1	1
842	делает это	1	1
843	на нескольких	1	1
844	к разложению	1	1
845	и развития	1	1
846	каких случаях	1	1
847	работы и	1	1
848	бы только	1	1
849	которых строится	1	1
850	эта история	1	1
851	или не	3	1
852	утверждение что	1	1
853	иногда впрочем	1	1
854	в интересах	2	1
855	от тех	1	1
856	к чему	3	1
857	она создает	1	1
858	это один	1	1
859	во внимание	1	1
860	нет прямого	1	1
861	которое в	1	1
862	как таковое	3	1
863	говорить лишь	1	1
864	на тот	1	1
865	мы дали	1	1
866	будет зависеть	1	1
867	же оно	2	1
868	встречается в	4	1
869	как во	1	1
870	от одной	1	1
871	здесь перед	1	1
872	и намерения	1	1
873	в мире	1	1
874	герой в	2	1
875	этой формой	1	1
876	этот вывод	1	1
877	уже давно	1	1
878	выше мы	1	1
879	о которых	1	1
880	на золотой	1	1
881	к вопросу	2	1
882	точек зрения	1	1
883	играет роль	1	1
884	в эту	1	1
885	могло бы	1	1
886	вводит в	1	1
887	свое место	1	1
888	вопроса о	3	1
889	целом не	1	1
890	я был	1	1
891	последнем случае	3	1
