N	2gram	Vinokur_St	OGranits
1	и в	61	13
2	и его	11	12
3	прежде всего	11	9
4	может быть	16	8
5	и не	23	8
6	не может	10	8
7	и пр	4	7
8	в его	19	7
9	и их	3	7
10	точки зрения	16	7
11	таким образом	16	6
12	не только	36	6
13	только в	11	6
14	то что	27	6
15	как бы	8	6
16	языка и	4	5
17	в поэзии	1	5
18	хотя бы	8	5
19	с точки	10	5
20	художественного произведения	1	5
21	в процессе	3	5
22	но ведь	8	5
23	все же	12	5
24	в каждом	3	4
25	мы можем	1	4
26	не является	5	4
27	только и	1	4
28	мы не	3	4
29	то же	7	4
30	еще и	5	4
31	было бы	21	4
32	все это	13	4
33	в сознании	2	4
34	в школе	1	4
35	лишь в	3	4
36	материала в	1	4
37	в своей	12	4
38	в выборе	2	4
39	в двух	4	4
40	тех пор	1	4
41	но в	16	4
42	вопроса о	3	4
43	г в	10	3
44	с этим	6	3
45	что в	41	3
46	к одному	1	3
47	и то	6	3
48	только путем	1	3
49	со всей	1	3
50	ни один	2	3
51	материала и	2	3
52	и уже	3	3
53	так и	15	3
54	не как	2	3
55	говорить о	3	3
56	одно и	1	3
57	в одном	7	3
58	не столько	6	3
59	за пределы	2	3
60	отношению к	3	3
61	по отношению	3	3
62	превращается в	2	3
63	слово в	1	3
64	в пределах	1	3
65	в их	3	3
66	в ее	6	3
67	самом деле	14	3
68	не в	15	3
69	в которой	13	3
70	что же	6	3
71	и все	3	3
72	общего с	3	3
73	но для	3	3
74	в себе	3	3
75	так как	7	3
76	вряд ли	8	3
77	да и	4	3
78	но и	28	3
79	и для	4	3
80	как и	11	3
81	ничего общего	3	3
82	точку зрения	3	3
83	никогда не	7	3
84	литературного языка	1	2
85	в области	16	2
86	к сожалению	4	2
87	своего рода	7	2
88	истории литературы	2	2
89	в самом	14	2
90	и к	5	2
91	что они	9	2
92	того или	4	2
93	материалом для	1	2
94	в данном	16	2
95	и этот	1	2
96	а как	5	2
97	пределах данной	1	2
98	в своих	2	2
99	в этом	37	2
100	вопросы связанные	2	2
101	в общем	2	2
102	в целях	1	2
103	случае и	2	2
104	данном случае	7	2
105	на язык	1	2
106	которой является	3	2
107	с одной	3	2
108	мог бы	1	2
109	в течение	7	2
110	входит в	1	2
111	для себя	3	2
112	наконец в	2	2
113	и при	1	2
114	одной стороны	2	2
115	роль в	1	2
116	в другом	5	2
117	при этом	4	2
118	несмотря на	4	2
119	между тем	7	2
120	в материал	1	2
121	в полном	1	2
122	для него	10	2
123	и тем	3	2
124	в руках	2	2
125	смысле слова	1	2
126	те же	1	2
127	связанные с	3	2
128	ее в	2	2
129	в том	56	2
130	в которую	2	2
131	с этой	5	2
132	что эта	5	2
133	и является	1	2
134	в тех	5	2
135	в отношении	11	2
136	чем же	1	2
137	конечно в	1	2
138	против такого	1	2
139	ни одно	1	2
140	другой стороны	9	2
141	не на	3	2
142	отношений между	3	2
143	от этого	2	2
144	так же	7	2
145	думать что	2	2
146	в них	2	2
147	самого начала	3	2
148	а в	18	2
149	в г	10	2
150	связанных с	1	2
151	если бы	11	2
152	от всех	1	2
153	о языке	2	2
154	от своего	2	2
155	а также	4	2
156	в книге	1	2
157	соответствии с	1	2
158	но одно	1	2
159	на две	1	2
160	еще в	3	2
161	в ней	9	2
162	с самого	4	2
163	нужно отметить	2	2
164	тем что	6	2
165	и др	1	2
166	могут быть	5	2
167	вовсе не	24	2
168	в зависимости	2	2
169	во всей	1	2
170	с ними	1	2
171	все эти	7	2
172	поэтического языка	2	2
173	с другой	11	2
174	как в	15	2
175	иным как	1	2
176	художественных произведений	1	2
177	разрыв между	1	2
178	грамматики и	1	2
179	не менее	8	2
180	нуждается в	2	2
181	не имеет	5	2
182	с историей	2	2
183	там где	6	2
184	стилистических особенностей	1	2
185	том что	49	2
186	в нем	9	2
187	уже в	3	2
188	или иного	4	2
189	языка но	1	2
190	зависимости от	2	2
191	не мог	3	2
192	а не	19	2
193	в чем	4	2
194	в целом	5	2
195	тот же	2	2
196	к тому	9	2
197	кажется что	5	2
198	бы в	2	2
199	более того	1	2
200	разумеется что	5	2
201	была создана	1	1
202	в особенности	1	1
203	но у	1	1
204	самое слово	1	1
205	в некоторых	3	1
206	только одно	1	1
207	себе в	2	1
208	как к	3	1
209	в каждой	1	1
210	к которому	4	1
211	и наоборот	1	1
212	литературы в	1	1
213	но такой	1	1
214	в строфе	1	1
215	свою историческую	1	1
216	абсолютно точное	1	1
217	не нашел	2	1
218	выражение в	2	1
219	несомненно что	1	1
220	не зная	2	1
221	о системе	2	1
222	эпохи не	3	1
223	еще одну	1	1
224	только к	2	1
225	и других	1	1
226	и он	2	1
227	является для	1	1
228	история литературы	2	1
229	один из	1	1
230	литературы такой	1	1
231	и требование	1	1
232	можно говорить	1	1
233	и здесь	2	1
234	бы несколько	1	1
235	вообще в	1	1
236	образом мы	1	1
237	значение так	1	1
238	то это	3	1
239	отличие от	1	1
240	в последнем	1	1
241	существует лишь	1	1
242	вопрос о	9	1
243	что мы	5	1
244	на этом	1	1
245	и заняться	2	1
246	они не	2	1
247	ведь именно	1	1
248	неполно и	1	1
249	ведь в	1	1
250	на нем	1	1
251	другое дело	3	1
252	не имеют	2	1
253	мысль что	1	1
254	поэт не	2	1
255	само собой	1	1
256	пушкина или	1	1
257	даже и	2	1
258	на врага	2	1
259	которые не	3	1
260	языка что	1	1
261	указать на	1	1
262	того как	8	1
263	там нет	1	1
264	если он	1	1
265	своей статье	4	1
266	отсюда и	1	1
267	слову в	1	1
268	которой он	1	1
269	своего времени	4	1
270	и который	3	1
271	о значении	3	1
272	за исключением	1	1
273	не могу	2	1
274	и вот	1	1
275	на том	1	1
276	такого рода	2	1
277	но при	1	1
278	эти слова	1	1
279	более или	2	1
280	внимание на	5	1
281	потому что	13	1
282	в значительной	2	1
283	на первом	1	1
284	должны быть	4	1
285	но даже	1	1
286	того чтобы	15	1
287	бы по	1	1
288	же как	5	1
289	несомненно и	1	1
290	бы мы	2	1
291	ту или	1	1
292	и более	4	1
293	мы имеем	2	1
294	и у	2	1
295	не должно	1	1
