N	3gram	Losev_Dial	Sovremen
1	с точки зрения	18	5
2	в зависимости от	2	4
3	не может быть	4	4
4	не может не	1	3
5	что же это	1	3
6	с самого начала	2	3
7	вне времени и	1	2
8	друг с другом	2	2
9	то же самое	3	2
10	во всяком случае	3	2
11	тем не менее	3	2
12	времени и пространства	2	2
13	так как он	2	2
14	же это за	1	2
15	может быть и	6	2
16	с ним или	1	1
17	почти не знает	1	1
18	есть не что	3	1
19	все же это	1	1
20	не было бы	2	1
21	ничто не может	1	1
22	значит что она	1	1
23	и ни в	2	1
24	в том что	12	1
25	но все эти	1	1
26	на самом деле	3	1
27	и до сих	1	1
28	не могут быть	1	1
29	до сих пор	4	1
30	одной стороны и	3	1
31	мы говорим о	1	1
32	все более и	1	1
33	сами по себе	4	1
34	в новое время	1	1
35	не что иное	4	1
36	одна и та	5	1
37	и та же	5	1
38	в связи с	3	1
39	и еще более	1	1
40	может быть в	2	1
41	в обоих случаях	1	1
42	в самом деле	3	1
43	но только не	1	1
44	дело в том	1	1
45	но мы уже	2	1
46	той или иной	4	1
47	и это конечно	1	1
48	вместе с ним	1	1
49	что иное как	4	1
50	в данном случае	1	1
51	как мы это	1	1
52	на их основании	1	1
53	но все же	2	1
54	мы уже знаем	4	1
55	равно как и	1	1
56	и что она	1	1
57	ничего общего не	1	1
58	и той же	1	1
59	это значит что	16	1
60	который как известно	1	1
61	но если мы	1	1
62	когда мы говорим	2	1
63	уже знаем что	2	1
64	с одной стороны	3	1
65	одной и той	1	1
66	своего развития наука	1	1
67	со всеми его	1	1
68	совершенно не приходится	1	1
69	более и более	1	1
70	со всеми ее	1	1
71	так же как	1	1
72	точки зрения и	1	1
73	тем же путем	1	1
74	то же время	8	1
75	не в том	2	1
76	прежде всего необходимо	2	1
77	а не только	1	1
78	она не может	1	1
79	и может быть	3	1
80	в том как	1	1
81	в то же	7	1
82	но ведь это	2	1
83	теперь мы должны	1	1
84	своего предмета ни	1	1
85	к одному и	1	1
86	и в этом	4	1
87	по крайней мере	11	1
88	те или иные	1	1
89	и есть то	1	1
90	и не стремится	1	1
91	и ничего не	1	1
92	можно было бы	4	1
93	именно в том	1	1
94	в этом смысле	4	1
95	или иной науки	1	1
96	и в то	3	1
97	и не может	1	1
98	сказать несколько слов	1	1
99	ровно ничего не	3	1
100	может быть только	2	1
