N	3gram	Berdyaev_N	Myslijsy
1	в том что	1	47
2	не может быть	4	19
3	заключает в себе	1	19
4	не в том	1	13
5	в том смысле	1	13
6	с другой стороны	2	12
7	до сих пор	1	12
8	во всяком случае	1	12
9	сами по себе	1	11
10	подобно тому как	3	11
11	в то время	1	10
12	с одной стороны	2	10
13	одного и того	1	9
14	и того же	1	9
15	потому что не	1	9
16	но и в	1	9
17	о том что	1	9
18	не могут быть	1	9
19	смысле в каком	1	8
20	вместе с тем	2	8
21	только потому что	1	8
22	в этом смысле	2	7
23	как и в	1	7
24	не только в	1	7
25	может быть только	1	6
26	том смысле в	1	6
27	в том случае	1	5
28	то что в	1	5
29	быть не может	1	4
30	в том и	2	4
31	в том чтобы	1	4
32	вопрос о том	2	4
33	то время как	1	4
34	лишь в том	1	3
35	и в жизни	1	3
36	в большинстве случаев	1	3
37	это не значит	2	3
38	а не в	1	3
39	в наше время	3	3
40	и это есть	1	3
41	равно как и	2	3
42	когда мы говорим	2	3
43	со всех сторон	3	3
44	можно было бы	1	3
45	которые могут быть	1	3
46	мы говорим о	1	2
47	и во всех	1	2
48	что в нем	2	2
49	есть прежде всего	1	2
50	не было и	1	2
51	а не с	1	2
52	лицом к лицу	3	2
53	это значит что	1	2
54	имея в виду	1	2
55	и не может	1	2
56	и потому что	1	2
57	мы говорим что	1	2
58	и не в	1	2
59	в своем развитии	1	2
60	и до сих	1	2
61	так же как	2	2
62	том случае если	1	2
63	и в истории	1	2
64	то нужно будет	1	1
65	на это не	1	1
66	не только потому	1	1
67	то что он	1	1
68	должно было быть	1	1
69	звезды в ночи	1	1
70	помнить что в	1	1
71	быть может еще	1	1
72	для себя и	1	1
73	в том числе	1	1
74	никогда еще не	1	1
75	и в природе	1	1
76	еще не знает	1	1
77	хотим сказать что	1	1
78	она не может	2	1
79	в жизни народа	1	1
80	том числе и	1	1
81	в отличие от	1	1
82	к вопросу о	1	1
83	многое зависит от	1	1
84	нужно помнить что	1	1
85	в виду эту	1	1
86	о том чтобы	1	1
87	во времени в	1	1
88	истории но и	1	1
89	сказать что все	1	1
90	в мире а	1	1
91	а не для	1	1
92	и вместе с	1	1
93	свободы и счастья	1	1
94	к духу и	1	1
95	но это есть	1	1
96	но и потому	1	1
97	есть такой же	1	1
98	конечно не в	1	1
99	еще не было	1	1
100	но нет и	1	1
101	что совершается в	1	1
102	то что совершается	1	1
103	не в силах	1	1
104	и не во	2	1
105	и быть не	1	1
106	тому как в	1	1
107	мысли но в	1	1
108	есть всегда процесс	1	1
109	большую роль в	2	1
110	в зависимость от	1	1
111	но оно есть	1	1
112	же как и	1	1
113	и не могут	1	1
114	по своему строению	1	1
115	и совсем не	1	1
116	не в смысле	2	1
117	и не менее	1	1
118	было бы сказать	1	1
