N	4gram	Vinokur_Vv	FransuaR
1	в то же время	6	55
2	но в то же	3	20
3	большей или меньшей степени	1	14
4	в большей или меньшей	1	14
5	дело в том что	3	13
6	в той или иной	1	10
7	и до наших дней	1	5
8	мы имеем в виду	1	5
9	с одной стороны и	3	5
10	одной и той же	2	4
11	в связи с этим	1	4
12	то же время в	1	4
13	одного и того же	2	3
14	не что иное как	5	3
15	той или иной степени	1	3
16	есть не что иное	3	3
17	может быть и не	1	2
18	можно сказать что в	1	2
19	заключается в том что	2	2
20	бы то ни было	1	2
21	и в целом ряде	1	2
22	на этот вопрос мы	1	2
23	в тех или иных	1	2
24	в целом ряде других	1	2
25	и прежде всего в	1	2
26	во второй половине xix	1	2
27	имеет дело не с	1	2
28	не может быть и	1	2
29	может быть и речи	1	2
30	какой бы то ни	1	2
31	в том или ином	2	2
32	на вопрос о том	4	1
33	но также и в	2	1
34	во всяком случае не	2	1
35	так как если бы	1	1
36	это в свою очередь	1	1
37	и в разной степени	1	1
38	из дошедших до нас	1	1
39	и прямо заявляет что	1	1
40	в том что в	1	1
41	так как она есть	1	1
42	и в самом деле	3	1
43	то же самое что	2	1
44	литературы в широком смысле	1	1
45	нечего и говорить о	1	1
46	все же в них	1	1
47	в соответствии с этим	1	1
48	степени в зависимости от	1	1
49	одно и то же	2	1
50	в одном и том	1	1
51	одном и том же	1	1
52	тех или иных отношениях	1	1
53	заключается в том чтобы	1	1
54	не может быть никакой	1	1
55	но в известном смысле	1	1
56	с каждым новым поколением	1	1
57	именно для того чтобы	1	1
58	состоит в том что	2	1
59	не может быть в	1	1
60	только после того как	2	1
61	на то или иное	1	1
62	это то же самое	1	1
63	хотя бы и не	1	1
64	имен и названий в	1	1
65	сохраняет свое значение и	1	1
66	в том что он	1	1
67	свое значение и как	1	1
68	и в этом отношении	1	1
69	как она отразилась в	1	1
70	но вместе с тем	1	1
71	в реальной действительности в	1	1
72	говорить о том что	1	1
