N	2gram	Voloshinov	Komedia
1	и в	3	77
2	и не	1	47
3	но и	1	32
4	может быть	1	30
5	в то	1	28
6	к тому	1	26
7	не только	1	25
8	если бы	1	22
9	то же	1	21
10	в его	1	20
11	же время	1	17
12	не менее	1	16
13	точки зрения	1	15
14	один из	2	15
15	и на	1	15
16	несмотря на	1	12
17	не может	4	12
18	и все	1	10
19	тому что	1	9
20	в ней	1	9
21	бы в	1	8
22	связи с	1	8
23	если в	2	7
24	из этих	1	7
25	тех же	1	7
26	его от	1	6
27	с точки	1	6
28	а не	1	6
29	нет и	1	6
30	во второй	1	6
31	в каждом	1	5
32	исходя из	1	3
33	он в	1	3
34	на месте	1	3
35	бы на	1	3
36	в центре	2	2
37	себя от	1	2
38	мы видим	1	2
39	с другими	1	2
40	и можно	1	2
41	вещей и	1	2
42	на примере	1	2
43	лучше всего	1	2
44	что изменилось	1	2
45	для него	1	2
46	и тому	1	2
47	при сравнении	1	2
48	вторая половина	1	2
49	по своим	1	1
50	себе все	1	1
51	общения и	2	1
52	от контекста	1	1
53	именно с	1	1
54	в системе	1	1
55	ситуации и	1	1
56	и больше	1	1
57	и заставляет	1	1
58	вполне понятно	1	1
59	первая часть	1	1
60	аудитории и	1	1
61	в особенности	1	1
62	не оказать	1	1
63	второй части	1	1
64	можно назвать	1	1
65	может не	1	1
66	так называемая	1	1
67	который условно	1	1
68	не из	1	1
69	ничего кроме	1	1
70	ни один	1	1
71	из контекста	1	1
72	речь и	1	1
73	может и	1	1
74	персонажей и	1	1
