N	4gram	Savitsky_E	Marksizm
1	в то же время	14	15
2	бы то ни было	4	12
3	одного и того же	1	9
4	но в то же	2	9
5	каких бы то ни	2	4
6	и до настоящего времени	1	3
7	с одной стороны и	6	3
8	в связи с этим	1	3
9	один и тот же	1	3
10	в том числе и	1	3
11	в той или иной	3	3
12	в ту или иную	1	2
13	одна и та же	1	2
14	ту или иную эпоху	1	2
15	на этот вопрос мы	1	2
16	так же как и	3	2
17	той или иной степени	1	2
18	несмотря на то что	1	2
19	с этой точки зрения	5	1
20	в их отношении к	3	1
21	и прежде всего в	1	1
22	плоти и кровь от	1	1
23	в последнее время в	1	1
24	мы можем сказать что	1	1
25	xviii и xix век	1	1
26	последние в свою очередь	1	1
27	в гораздо большей степени	1	1
28	эти последние в свою	1	1
29	дело в том что	1	1
30	в большей или меньшей	1	1
31	от плоти и кровь	1	1
32	этот вопрос мы должны	1	1
33	во всех этих случаях	1	1
34	может быть сведена к	1	1
35	в тех случаях когда	1	1
36	не говоря уже о	1	1
37	нам кажется что в	1	1
38	к тому или иному	1	1
39	на то или иное	1	1
40	как бы ни была	1	1
41	плоть от плоти и	1	1
42	и кровь от крови	1	1
43	и та и другая	1	1
44	и с точки зрения	1	1
45	одну и ту же	1	1
46	в этом отношении в	1	1
47	их можно было бы	1	1
