N	4gram	Medvedev_V	Literetu
1	в то же время	5	21
2	не говоря уже о	1	6
3	с этой точки зрения	1	5
4	с одной стороны и	2	3
5	в том числе и	2	3
6	но с другой стороны	1	3
7	только в том что	1	2
8	в конечном счете вся	1	2
9	одно и то же	1	2
10	не удивительно поэтому что	1	1
11	именно в том что	1	1
12	для него в конечном	1	1
13	не об отсутствии у	1	1
14	и не может быть	2	1
15	него в конечном счете	1	1
16	и т п это	1	1
17	с другой стороны он	1	1
18	нет и не может	1	1
19	и в то же	3	1
20	и вместе с тем	1	1
21	во всех этих и	2	1
22	чего бы не было	2	1
23	во всей ее полноте	1	1
24	то же время она	1	1
25	той или иной мере	1	1
26	не имеет ничего общего	1	1
27	имеет ничего общего с	1	1
28	в той или иной	1	1
29	но в то же	1	1
30	приводит к тому что	2	1
31	может быть определена как	1	1
32	мы имеем дело с	1	1
