N	2gram	Tiupa_Narr	Marksizm
1	чужой речи	1	85
2	прямой речи	2	77
3	точки зрения	10	69
4	может быть	25	64
5	и в	19	63
6	и не	20	55
7	как бы	4	53
8	косвенной речи	1	51
9	не может	10	47
10	с точки	2	46
11	и пр	1	42
12	и его	5	41
13	в этом	17	39
14	таким образом	1	38
15	в процессе	1	33
16	как мы	3	32
17	языка и	2	31
18	в пределах	2	31
19	лишь в	1	30
20	не только	32	29
21	то же	4	28
22	в нем	4	28
23	но и	23	27
24	связи с	4	25
25	речи и	1	25
26	самом деле	2	25
27	в самом	1	24
28	как и	7	24
29	прежде всего	4	24
30	только в	4	23
31	так и	9	23
32	и т.п	8	23
33	в том	18	22
34	то что	11	22
35	а не	12	22
36	при этом	9	20
37	так сказать	1	20
38	для него	2	20
39	не в	14	19
40	если бы	1	19
41	том что	14	19
42	в его	9	19
43	в ее	3	18
44	внутренней речи	1	18
45	в слове	1	18
46	и для	2	18
47	но в	6	18
48	вовсе не	1	18
49	все же	7	17
50	в сущности	3	17
51	по отношению	7	16
52	ни было	3	16
53	речевого общения	1	16
54	и как	5	16
55	в то	3	16
56	во всех	1	15
57	в связи	2	15
58	отнюдь не	5	15
59	что он	6	15
60	высказывания и	3	15
61	же время	4	15
62	отношению к	6	15
63	в данном	5	14
64	хотя бы	4	14
65	в смысле	1	14
66	так же	2	13
67	то ни	3	13
68	что в	3	13
69	и здесь	1	13
70	не является	8	13
71	было бы	4	13
72	ничего не	2	13
73	мы не	1	13
74	прямую речь	1	13
75	слова в	1	13
76	того же	1	12
77	бы то	3	12
78	в результате	2	12
79	между тем	3	12
80	он не	3	12
81	в основе	5	12
82	а в	11	12
83	не столько	4	11
84	и того	2	11
85	к нему	5	11
86	мы уже	1	11
87	и от	1	11
88	до сих	1	11
89	и на	3	11
90	и все	2	11
91	как в	7	11
92	еще не	7	11
93	на самом	1	11
94	все эти	2	11
95	в ней	3	11
96	высказывания в	6	11
97	сих пор	1	11
98	без исключения	2	10
99	именно в	6	10
