N	3gram	Vygotskiy_	Marksizm
1	с точки зрения	5	46
2	не может быть	4	25
3	в самом деле	8	19
4	по отношению к	2	15
5	то же время	1	15
6	в то же	1	15
7	в том что	30	14
8	в русском языке	1	14
9	то ни было	1	12
10	в высшей степени	1	12
11	бы то ни	1	12
12	для того чтобы	41	11
13	до сих пор	9	11
14	в отличие от	3	10
15	с самого начала	5	10
16	одного и того	2	9
17	как если бы	1	9
18	и того же	2	9
19	то же самое	8	8
20	может быть и	2	8
21	смысле этого слова	1	7
22	с другой стороны	8	7
23	в свою очередь	1	7
24	на то что	25	6
25	на самом деле	8	6
26	во всяком случае	1	6
27	с одной стороны	15	6
28	и как бы	4	5
29	к тому что	8	5
30	той или иной	2	5
31	в тесной связи	1	5
32	в этом случае	2	5
33	объективной точки зрения	1	5
34	в этом отношении	3	5
35	в зависимости от	7	4
36	в нем нет	3	4
37	и прежде всего	1	4
38	о том что	15	4
39	можно сказать что	3	4
40	в узком смысле	1	4
41	и здесь мы	1	4
42	у нас не	1	4
43	том что он	4	4
44	и тот же	2	3
45	не только в	5	3
46	в применении к	1	3
47	тесной связи с	1	3
48	и тем же	3	3
49	одной стороны и	1	3
50	как бы на	1	3
51	более или менее	1	3
52	и то же	4	3
53	друг с другом	6	3
54	в конце концов	6	3
55	не могут быть	1	3
56	лежащая в основе	2	3
57	а не в	1	3
58	и в этом	2	3
59	нет места для	1	3
60	в своей душе	1	3
61	с объективной точки	1	3
62	один и тот	1	3
63	на первый план	2	3
64	какой бы то	1	3
65	и не в	1	3
66	и той же	4	3
67	на этот вопрос	5	3
68	одним и тем	3	3
69	одно и то	3	3
70	можно было бы	4	3
71	именно в том	3	3
72	одной и той	4	3
73	сводится к тому	3	3
74	лежит в основе	1	3
75	он должен был	2	2
76	что он не	3	2
77	тех пор пока	2	2
78	до известной степени	1	2
79	в этом смысле	3	2
80	и в результате	3	2
81	самом деле в	1	2
82	во всех других	1	2
83	ли отсюда что	1	2
84	мы говорили о	1	2
85	в собственном смысле	2	2
86	друг от друга	2	2
87	того чтобы понять	2	2
88	самом деле если	2	2
89	мы видели что	1	2
90	ничего общего с	1	2
91	а между тем	1	2
92	мы перейдем к	1	2
93	мы никогда не	5	2
94	здесь же в	1	2
95	между тем как	1	2
96	само по себе	3	2
97	в данном случае	3	2
98	в том или	1	2
99	не приходится говорить	1	2
100	именно для того	1	2
101	к тому же	1	2
102	в последнее время	1	2
103	следует ли отсюда	1	2
104	сама по себе	3	2
105	с ними в	1	2
106	а не только	1	2
107	не то что	3	2
108	и в том	2	2
109	мы убедимся что	1	2
110	собственном смысле слова	2	2
111	сами по себе	2	2
112	того или иного	1	2
113	чуть ли не	1	2
114	от того что	1	2
115	по крайней мере	1	2
116	том или ином	1	2
117	если мы возьмем	1	2
118	необходимо прежде всего	1	2
119	несмотря на то	1	2
120	таким образом в	2	2
121	до тех пор	2	2
122	и та же	3	2
123	так же как	3	2
124	же как и	1	2
125	с тем что	3	2
126	одна и та	2	2
127	и в самом	3	2
128	вопрос о том	3	2
129	должен был бы	3	2
130	это и есть	1	2
131	но и здесь	1	2
132	этого вопроса сводится	1	1
133	что у нас	1	1
134	так сказать в	1	1
135	как она есть	2	1
136	если мы примем	1	1
137	быть не может	1	1
138	благодаря тому что	1	1
139	на этом фоне	1	1
140	а может быть	1	1
141	бы и не	1	1
142	все то что	6	1
143	в нашей душе	1	1
144	точки зрения и	1	1
145	они заключены в	1	1
146	этом отношении и	1	1
147	ни в каком	2	1
148	и другую в	1	1
149	и это не	2	1
150	свое разрешение и	1	1
151	в конечном счете	2	1
152	для этого необходимо	2	1
153	указывает что эта	1	1
154	то что он	5	1
155	нас и в	1	1
156	показывает нам что	1	1
157	одной из этих	1	1
158	мы примем это	1	1
159	и поэтому не	1	1
160	о котором говорил	1	1
161	ни о какой	1	1
162	на том что	1	1
163	обстоит дело и	2	1
164	по сравнению с	4	1
165	в одной и	1	1
166	то что не	1	1
167	и в другом	1	1
168	в этом слове	1	1
169	очень далека от	1	1
170	если же мы	1	1
171	то или иное	1	1
172	именно это содержание	1	1
173	о которых мы	2	1
174	и в каких	1	1
175	та и другая	1	1
176	никогда не бывают	1	1
177	заставляет их говорить	1	1
178	и на этом	1	1
179	с этой точки	3	1
180	в жизни и	1	1
181	вовсе не в	2	1
182	может войти в	1	1
183	ни к каким	1	1
184	указывает на то	3	1
185	еще почти не	1	1
186	в результате мы	1	1
187	в учении о	3	1
188	сводится к следующему	1	1
189	правильного понимания и	1	1
190	их говорить как	1	1
191	она и не	1	1
192	то что здесь	1	1
193	дело и в	1	1
194	по отношению ко	1	1
195	что в них	1	1
196	мы тем самым	1	1
197	тот же самый	1	1
198	может быть только	1	1
199	сам по себе	4	1
200	рядом с этим	2	1
201	жизни если бы	1	1
202	видим таким образом	2	1
203	в каком случае	1	1
204	если бы они	1	1
205	если мы прибавим	1	1
206	быть отделен от	1	1
207	мы уже указывали	1	1
208	нечто такое что	3	1
209	не было указано	1	1
210	своего эмоционального тона	1	1
211	зависимости от той	1	1
212	случае у нас	1	1
213	для правильного понимания	1	1
214	чтобы показать что	1	1
215	отсюда понятно что	2	1
216	таким образом что	6	1
217	с тем и	1	1
218	образы и представления	1	1
219	вместо того чтобы	1	1
220	если бы в	1	1
221	это же самое	1	1
222	тесно связаны с	1	1
223	мы все время	3	1
224	как бы он	1	1
225	он исходит из	1	1
226	мы совершенно не	2	1
227	приходится говорить о	1	1
228	а с другой	5	1
229	а в том	1	1
230	ним не только	1	1
231	его так же	1	1
232	не только не	4	1
233	вступить в противоречие	1	1
234	и как он	1	1
235	выражение но и	1	1
236	и остается только	1	1
237	имел в виду	1	1
238	и на все	1	1
239	что вопрос о	1	1
240	должно быть направлено	1	1
241	они не могут	1	1
242	но в этом	1	1
243	и не дает	1	1
244	конце концов к	1	1
245	но и это	2	1
246	него в этом	1	1
247	не так если	1	1
248	что он был	1	1
249	и в этой	4	1
250	того чтобы показать	1	1
251	мы все же	3	1
252	привело бы к	1	1
253	сих пор не	1	1
254	и герой и	1	1
255	что он делает	1	1
256	именно на то	1	1
257	же обстоит дело	2	1
258	себя с этим	1	1
259	но он не	2	1
260	таким образом два	1	1
261	вместе с тем	4	1
262	равно как и	2	1
263	как это делает	3	1
264	эти категории и	1	1
265	его значение и	1	1
266	в какой мере	1	1
267	прежде всего на	1	1
268	и есть та	1	1
269	почти все современные	1	1
270	это положение не	1	1
271	что иное как	2	1
272	бы сказать что	2	1
273	одна из основных	1	1
274	в противоречие с	1	1
275	в русской литературе	1	1
276	в одной из	1	1
277	можно на нескольких	1	1
278	а не как	1	1
279	таким образом по	1	1
280	не находит себе	1	1
281	contradictio in adjecto	1	1
282	и едва ли	1	1
283	так же обстоит	2	1
284	что он является	1	1
285	в другом месте	1	1
286	и вовсе не	1	1
287	этой точки зрения	3	1
288	той же самой	1	1
289	когда он указывает	1	1
290	нет ничего общего	1	1
291	каждый из этих	1	1
292	в себе и	1	1
293	в целом ряде	2	1
294	то что в	4	1
295	может быть в	1	1
296	то что герой	1	1
297	является выражением той	1	1
298	не в их	1	1
299	речь в данном	1	1
300	он мог бы	1	1
301	при этом совершенно	1	1
302	и тем более	1	1
303	именно то что	5	1
304	то о чем	2	1
305	с двух сторон	1	1
306	как только мы	1	1
307	в то время	4	1
308	но к этому	1	1
309	может быть как	1	1
310	между тем мы	1	1
311	во времени и	1	1
312	все же не	1	1
313	не может стать	1	1
314	одно из важнейших	1	1
315	только после этого	1	1
316	в процессе творчества	1	1
317	не что иное	2	1
318	ни одна из	2	1
319	выступает на первый	1	1
320	дело в том	2	1
321	и все другие	1	1
322	и к проблеме	1	1
323	с другом и	1	1
324	в лучшем случае	3	1
325	и в своем	1	1
326	подобно тому как	1	1
327	самом деле как	1	1
328	может быть отделен	1	1
329	по его словам	1	1
330	они никогда не	1	1
331	включать в себя	1	1
332	во всех этих	2	1
333	то есть оно	1	1
334	еще далеко не	1	1
335	следует отличать от	1	1
336	могут быть сведены	1	1
337	и в свою	1	1
338	но во всяком	1	1
339	и что в	5	1
340	у него нет	1	1
341	того чтобы сделать	2	1
342	исследования должно быть	1	1
343	мы видим таким	2	1
344	что такое понимание	1	1
345	не выдерживают критики	1	1
346	и что они	3	1
347	уже о том	1	1
348	и здесь и	1	1
349	никогда не найдем	2	1
350	тем что он	1	1
351	в этой же	1	1
352	и в сущности	1	1
353	так как они	1	1
354	деле если мы	1	1
355	еще более подчеркивает	1	1
356	того же самого	1	1
357	здесь нет места	1	1
358	было бы формулировать	1	1
359	по его мнению	4	1
360	то что ему	3	1
361	сказать что и	1	1
362	одна из них	2	1
363	под конец жизни	1	1
364	в основе своей	1	1
365	как вещь а	1	1
366	прямо сказать что	1	1
367	первой и второй	1	1
368	нам кажется что	2	1
369	приводит к тому	1	1
370	на котором она	1	1
371	влечет за собою	1	1
372	оно может быть	2	1
373	до конца и	2	1
374	и потому как	1	1
375	между языком и	1	1
376	таким образом с	1	1
377	после того как	1	1
378	мы не можем	2	1
379	но не только	1	1
