N	4gram	Vygotskiy_	VLabPisa
1	в то же время	1	5
2	и в то же	1	3
3	в том числе и	3	2
4	одном и том же	1	2
5	с одной стороны и	3	2
6	приводит к тому что	1	2
7	никогда не может быть	1	1
8	как если бы он	2	1
9	с этой точки зрения	1	1
10	и лежит в основе	1	1
11	в чем же заключается	1	1
12	и в конечном счете	1	1
13	могло бы и не	1	1
14	ни в какой мере	1	1
15	не удивительно поэтому что	5	1
16	одно и то же	2	1
17	в одном и том	1	1
18	но вместе с тем	4	1
19	той или иной мере	1	1
20	вот это представление что	1	1
21	бы и не быть	1	1
22	вот что говорит он	1	1
23	явлений и процессов в	1	1
24	сама по себе в	1	1
25	главным образом потому что	1	1
26	в той или иной	1	1
27	с другой стороны в	1	1
28	отлета фантазии от жизни	1	1
29	так же как и	4	1
30	в то время как	4	1
31	ответ на этот вопрос	3	1
32	в какой мере не	1	1
33	если можно так выразиться	1	1
