N	4gram	Bakhtin_Pr	Sovremen
1	с точки зрения своего	2	1
2	мы уже знаем что	1	1
3	и до сих пор	2	1
4	но тем не менее	1	1
5	и в новое время	2	1
6	все более и более	1	1
7	дело в том что	2	1
8	но мы уже знаем	1	1
9	подчеркнуть что дело идет	1	1
10	ничего общего не имеет	1	1
11	до сих пор в	1	1
12	одной и той же	1	1
13	и в то же	3	1
14	еще раз подчеркнуть что	1	1
15	не что иное как	1	1
16	в этом смысле можно	1	1
17	в то же время	8	1
18	общего не имеет с	1	1
19	один и тот же	1	1
20	а может быть и	1	1
21	есть не что иное	1	1
