N	3gram	Propp_Isto	PoTuStor
1	с точки зрения	1	6
2	по ту сторону	1	4
3	до сих пор	4	3
4	не может быть	5	3
5	в большинстве случаев	1	3
6	может быть это	1	3
7	во всяком случае	3	3
8	можно сказать что	1	3
9	так же как	4	2
10	и может быть	1	2
11	что не удается	1	2
12	о том что	9	2
13	в самом деле	1	2
14	друг на друга	2	2
15	нам кажется что	4	2
16	со всех сторон	1	1
17	а потом и	1	1
18	так и в	3	1
19	здесь имеем дело	1	1
20	в том что	7	1
21	друг с другом	1	1
22	то же мы	2	1
23	мы знаем что	1	1
24	что мы здесь	1	1
25	своем месте и	1	1
26	мы не можем	2	1
27	зависимости от окружающей	1	1
28	и та же	1	1
29	в этом и	2	1
30	еще не можем	1	1
31	вместе с тем	6	1
32	отношение к отцу	1	1
33	мы уже знаем	5	1
34	но вместе с	2	1
35	можно было бы	3	1
36	каждого из этих	1	1
37	есть ли у	1	1
38	в свою противоположность	1	1
39	может быть сделан	1	1
40	в данном случае	7	1
41	мы имеем в	7	1
42	мы здесь имеем	3	1
43	что между ними	1	1
44	по женской линии	1	1
45	они не будут	1	1
46	через некоторое время	1	1
47	же как и	1	1
48	уже знаем что	4	1
49	всяком случае не	1	1
50	мы можем коснуться	1	1
51	то ни было	1	1
52	а иногда и	1	1
53	но мы уже	3	1
54	этой точки зрения	3	1
55	в свое время	1	1
56	обречены на неудачу	1	1
57	мы увидим что	2	1
58	же мы видим	2	1
59	мы видим и	4	1
60	одна и та	1	1
61	на первый взгляд	5	1
62	на своем месте	1	1
63	с этой точки	3	1
64	то же самое	1	1
65	поэтому и не	1	1
66	для того чтобы	1	1
67	по его мнению	1	1
68	это вытекает из	1	1
69	мы еще не	1	1
70	совершенно так же	1	1
71	и что он	2	1
72	так как он	4	1
73	а с другой	1	1
74	и она не	1	1
75	в нем и	1	1
76	с одной стороны	11	1
77	на первый план	1	1
78	на вопрос о	1	1
79	таким образом и	3	1
80	бы то ни	1	1
81	заранее обречены на	1	1
82	имеем дело с	1	1
83	право на престол	1	1
84	же самое и	1	1
85	в связи с	1	1
86	уже не может	1	1
