N	2gram	Tiupa_Narr	Poddanst
1	не только	50	17
2	и в	22	14
3	и не	34	12
4	в области	4	11
5	в этом	23	10
6	в отношении	1	10
7	в том	20	9
8	то же	12	9
9	в качестве	27	9
10	но в	10	9
11	хотя бы	4	8
12	в пределах	2	8
13	в о	1	7
14	только в	23	7
15	же время	7	7
16	в то	9	7
17	в ней	5	6
18	xix века	1	6
19	быть может	1	6
20	было бы	2	6
21	но и	39	6
22	может быть	24	5
23	отношении к	1	5
24	с другой	6	5
25	не в	12	5
26	и о	4	5
27	в которых	1	5
28	а я	1	5
29	в русской	3	4
30	и к	7	4
31	что в	6	4
32	в котором	3	4
33	по себе	4	4
34	тех кто	1	4
35	и потому	2	4
36	но также	1	4
37	мы должны	1	4
38	не может	16	4
39	а в	19	4
40	то что	14	4
41	как бы	11	4
42	если бы	9	4
43	а также	11	4
44	первой половины	1	4
45	в своем	7	4
46	же в	6	4
47	том что	15	4
48	наряду с	2	3
49	в себе	14	3
50	что мы	2	3
51	с одной	5	3
52	мы не	5	3
53	это не	6	3
54	одной стороны	5	3
55	для того	4	3
56	между тем	5	3
57	с точки	2	3
58	хотя и	8	3
59	с тем	1	3
60	потому что	7	3
61	она есть	1	3
62	прежде всего	7	3
63	вслед за	4	3
64	сводится к	10	3
65	тем самым	9	3
66	сами по	2	3
67	но не	7	3
68	могут быть	1	3
69	и т	3	3
70	и как	4	3
71	с ними	5	3
72	столь же	6	3
73	в нем	9	3
74	и без	1	3
75	тот же	1	3
76	точки зрения	8	3
77	с этим	1	2
78	во всех	2	2
79	в перспективе	1	2
80	является в	1	2
81	в полной	1	2
82	осуществляется в	1	2
83	и мы	1	2
84	ней не	1	2
85	если в	2	2
86	более чем	2	2
87	и вот	2	2
88	в значительной	1	2
89	том числе	1	2
90	церкви и	2	2
91	еще более	1	2
92	начала и	5	2
93	по сравнению	1	2
94	хх века	1	2
95	каждый в	1	2
96	так называемые	1	2
97	в ее	4	2
98	и тем	9	2
99	того что	7	2
100	никак не	5	2
101	как раз	9	2
102	в частности	23	2
103	в его	12	2
104	не о	2	2
105	а не	27	2
106	но о	1	2
107	нужно было	1	2
108	для нас	2	2
109	все это	1	2
110	для них	2	2
111	заключает в	2	2
112	где в	3	2
113	и есть	1	2
114	стороны и	1	2
115	в виде	2	2
116	не было	3	2
117	к чему	3	2
118	и с	3	2
119	в начале	4	2
120	как на	2	2
121	в общем	1	2
122	полной мере	1	2
123	мысль о	1	2
124	в сфере	2	2
125	главным образом	1	2
126	именно в	5	2
127	должно быть	1	2
128	в жизни	9	2
129	отношения к	1	2
130	в последние	2	2
131	мы призваны	1	2
132	взгляда на	1	2
133	в силу	5	2
134	одна из	5	2
135	в мире	8	2
136	например в	2	2
137	не менее	6	2
138	не столько	2	2
139	отнюдь не	6	2
140	с с	1	2
141	со стороны	14	2
142	да и	5	2
143	точек зрения	2	2
144	по характеру	1	2
145	исключительно в	3	2
146	из них	4	2
147	тем более	2	2
148	есть в	1	2
149	в е	3	2
150	переход от	2	2
151	не к	4	2
152	бы ни	1	2
153	в xix	1	2
154	поскольку не	2	1
155	что было	1	1
156	этих двух	2	1
157	представить себе	3	1
158	это от	1	1
159	поскольку она	1	1
160	как к	3	1
161	во всяком	2	1
162	могли бы	1	1
163	к истине	1	1
164	реально и	1	1
165	о личности	2	1
166	и теперь	1	1
167	находятся в	1	1
168	и то	3	1
169	но как	3	1
170	выступает в	2	1
171	мы можем	2	1
172	средств в	1	1
173	а с	2	1
174	в данном	17	1
175	определенный момент	1	1
176	только к	3	1
177	с его	6	1
178	видения в	1	1
179	ее по	1	1
180	и более	2	1
181	вместе с	3	1
182	и здесь	3	1
183	по природе	1	1
184	в определенный	1	1
185	и на	5	1
186	как возможность	1	1
187	отличие от	6	1
188	в самом	8	1
189	вопрос о	1	1
190	не означает	1	1
191	времени эта	1	1
192	они не	3	1
193	невозможно ни	1	1
194	может не	1	1
195	в исторической	1	1
196	на территории	1	1
197	восходит к	2	1
198	что происходит	1	1
199	них в	1	1
200	на свои	1	1
