N	2gram	Savitsky_P	Problema
1	и в	14	182
2	и не	12	152
3	то что	4	144
4	не есть	1	113
5	не только	17	104
6	потому что	3	89
7	в этом	10	88
8	может быть	5	82
9	в том	9	81
10	том что	4	81
11	не просто	1	80
12	только в	7	73
13	но и	6	70
14	в виде	2	69
15	также и	1	68
16	по себе	4	64
17	не менее	2	58
18	а не	2	56
19	но в	9	55
20	для нас	2	50
21	в себе	3	48
22	отнюдь не	2	48
23	было бы	6	46
24	прежде всего	3	45
25	что в	4	44
26	в его	2	44
27	не в	5	43
28	то же	9	42
29	как раз	2	42
30	если мы	1	42
31	и что	1	40
32	и то	1	40
33	что мы	3	40
34	во всяком	1	39
35	не может	4	39
36	и тем	2	39
37	в этой	1	39
38	как бы	4	39
39	в данном	1	38
40	хотя бы	8	37
41	никак не	2	37
42	в нем	3	37
43	того что	2	37
44	точки зрения	3	36
45	есть нечто	2	36
46	еще не	1	36
47	и т	3	35
48	и с	2	34
49	как и	1	34
50	т д	1	33
51	или иной	1	33
52	в то	7	32
53	но не	3	32
54	так же	1	31
55	в своем	4	31
56	все это	2	31
57	ясно что	1	30
58	с другой	5	30
59	настоящее время	1	30
60	в настоящее	1	30
61	все же	1	29
62	мы не	3	28
63	а в	4	28
64	и о	5	28
65	и это	2	27
66	и как	3	27
67	хотя и	3	27
68	в результате	1	26
69	другой стороны	1	26
70	да и	2	26
71	вместе с	1	26
72	это не	3	26
73	мы можем	1	25
74	и на	1	25
75	тем самым	3	25
76	с точки	3	25
77	всяком случае	1	25
78	с тем	3	24
79	тем более	2	24
80	не имеет	1	24
81	на то	1	23
82	в качестве	9	23
83	и притом	1	23
84	есть не	2	23
85	и к	4	22
86	только на	1	22
87	никогда не	1	22
88	нет ничего	1	22
89	есть в	2	22
90	его в	1	22
91	и есть	2	22
92	и если	4	22
93	что и	1	22
94	в самом	1	21
95	мы должны	4	21
96	и ее	1	21
97	говорить о	2	21
98	а также	4	21
99	и без	3	21
100	и только	1	21
101	именно в	2	20
102	для того	3	20
103	но как	1	20
104	и потому	4	20
105	в них	2	19
106	в каком	1	19
107	есть знак	1	19
108	уже в	1	19
109	в отношении	10	19
110	этом смысле	1	19
111	если бы	4	19
112	в этих	1	18
113	не было	2	18
114	мы и	1	18
115	в ее	2	18
116	того чтобы	1	18
117	в ней	6	18
118	во всех	2	17
119	бесконечное количество	1	17
120	и здесь	1	17
121	гораздо более	1	17
122	же в	4	16
123	для этого	1	16
124	в одно	1	16
125	далеко не	1	16
126	казалось бы	1	15
127	с этим	2	15
128	что не	1	15
129	и более	1	15
130	в частности	2	15
131	что все	1	14
132	в котором	4	14
133	в н	1	14
134	из них	2	13
135	сами по	3	13
136	ни на	1	13
137	бы и	1	13
138	в области	11	13
139	в других	1	13
140	иной раз	1	13
141	с одной	3	12
142	в которой	1	12
143	для них	2	12
144	в начале	2	12
145	и очень	1	12
146	в смысле	6	12
147	что это	1	12
148	не будем	2	12
149	нисколько не	1	12
150	могли бы	1	11
151	нет никакого	1	11
152	тот же	3	11
153	одной стороны	3	11
154	не о	2	11
155	что его	1	11
156	заключается в	3	11
157	в истории	1	11
158	более или	1	10
159	что оно	1	10
160	все еще	1	10
161	или менее	1	10
162	только то	1	10
163	и другие	1	9
164	что если	1	9
165	с собой	1	9
166	вопрос о	1	9
167	представить себе	1	9
168	именно как	2	9
169	не очень	1	9
170	не нужно	2	9
171	тогда когда	1	9
172	в которых	5	9
173	о котором	1	9
174	она не	1	9
175	в жизни	2	9
176	не вполне	1	9
177	сравнении с	3	9
178	между прочим	2	9
179	литературы и	1	9
180	в сравнении	3	9
181	в условиях	1	9
182	идет речь	1	9
183	является в	2	8
184	только что	1	8
185	говорится о	1	8
186	он был	1	8
187	во всей	2	8
188	тем же	1	8
189	что при	1	8
190	но для	1	8
191	тот или	1	8
192	и по	1	8
193	с ее	1	8
194	к сожалению	1	8
195	и при	1	8
196	из этих	1	8
197	м а	2	8
198	бы мы	1	8
199	не все	1	8
200	еще в	1	8
201	были бы	1	8
202	если в	2	8
203	в силу	2	8
204	и особенно	1	8
205	в г	1	8
206	мы все	1	7
207	в значительной	2	7
208	она есть	3	7
209	а с	1	7
210	находятся в	1	7
211	это в	1	7
212	еще более	2	7
213	в это	1	7
214	на этой	1	7
215	значительной мере	2	7
216	по преимуществу	1	7
217	же как	1	7
218	сливаются в	1	7
219	и который	1	7
220	друг друга	1	7
221	мы возьмем	1	7
222	этой области	1	7
223	в эпоху	1	7
224	в какой	1	7
225	не как	1	6
226	в порядке	3	6
227	только как	1	6
228	что именно	1	6
229	в общем	2	6
230	в статье	2	6
231	отношения к	2	6
232	в отдельности	1	6
233	и уже	1	6
234	с которой	1	6
235	именно на	1	6
236	могут быть	3	6
237	и всегда	1	6
238	идеи и	1	6
239	особенно в	1	6
240	есть и	1	6
241	а н	5	6
242	есть прежде	1	6
243	если он	1	6
244	одновременно и	1	6
245	как оно	1	6
246	как на	2	6
247	прежде чем	1	6
248	поскольку они	1	6
249	из тех	1	6
250	в известном	1	6
251	ни к	1	6
252	с его	1	6
253	только к	1	6
254	которую мы	2	6
255	стороны и	2	6
256	та или	1	6
257	само по	1	6
258	не к	2	6
259	и пусть	2	5
260	и еще	1	5
261	на себя	1	5
262	или иная	1	5
263	по одному	1	5
264	в каждом	1	5
265	и весьма	2	5
266	одно и	1	5
267	между тем	3	5
268	iii в	2	5
269	к сфере	1	5
270	сводится к	3	5
271	тех пор	1	5
272	только один	1	5
273	и вся	1	5
274	что с	1	5
275	том виде	1	5
276	гоголя и	1	5
277	пусть не	1	5
278	которая и	1	5
279	из всех	1	5
280	этой последней	1	5
281	в собственном	1	5
282	когда в	1	5
283	во многих	1	5
284	себя в	1	5
285	должно быть	2	5
286	за то	1	5
287	от тех	1	5
288	богов и	1	5
289	одна из	2	5
290	в свете	1	5
291	чтобы понять	1	5
292	что эта	1	5
293	там где	1	5
294	есть как	1	5
295	собственном смысле	1	5
296	науки и	1	5
297	в наших	1	5
298	они не	1	5
299	том числе	2	5
300	слова но	2	5
301	говорить об	1	5
302	или что	1	5
303	в пределах	8	5
304	чем оно	1	4
305	думается что	1	4
306	и само	1	4
307	в мир	1	4
308	именно о	1	4
309	к другим	1	4
310	к ним	1	4
311	без которой	1	4
312	одно из	1	4
313	бы что	1	4
314	тем больше	1	4
315	является и	1	4
316	можно судить	1	4
317	на какие	1	4
318	в эту	2	4
319	в русской	4	4
320	тем и	1	4
321	что во	1	4
322	от нее	1	4
323	xix в	1	4
324	для каждого	1	4
325	и пр	5	4
326	но на	1	4
327	иванов в	1	4
328	на нее	1	4
329	отличие от	1	4
330	веры в	1	4
331	числе и	1	4
332	у с	1	4
333	можно говорить	1	4
334	к этой	1	4
335	по всему	1	4
336	например в	2	4
337	переходит в	1	4
338	конечно и	1	4
339	должен быть	1	4
340	наряду с	3	4
341	духа и	2	4
342	xx в	1	4
343	начала и	2	4
344	прийти к	1	4
345	xix века	6	4
346	которое в	2	4
347	но к	2	4
348	именно потому	1	4
349	с которым	1	4
350	бы оно	1	4
351	и менее	1	4
352	или его	1	4
353	он будет	1	4
354	но о	2	4
355	на путях	4	4
356	в предыдущем	1	4
357	и которая	1	4
358	что от	1	4
359	до тех	1	4
360	что из	2	4
361	они являются	1	3
362	рабочих и	1	3
363	в душе	1	3
364	выражена в	1	3
365	не столько	2	3
366	чтобы в	1	3
367	и именно	1	3
368	в некотором	1	3
369	есть та	1	3
370	и другим	1	3
371	представляет собой	1	3
372	с трудом	1	3
373	может ли	2	3
374	отдельности и	1	3
375	находится в	1	3
376	во времена	1	3
377	не будут	1	3
378	мы видим	1	3
379	и мы	2	3
380	соотношение между	1	3
381	что уже	1	3
382	есть с	1	3
383	совершенно ясно	1	3
384	только знак	1	3
385	я и	3	3
386	этот вывод	1	3
387	для тех	2	3
388	существует но	1	3
389	наше сознание	1	3
390	понимать что	1	3
391	о в	5	3
392	движение и	1	3
393	выражается в	1	3
394	связанные с	1	3
395	который не	1	3
396	сравнению с	1	3
397	виде то	1	3
398	в природе	1	3
399	мысли и	1	3
400	по сравнению	2	3
401	на основании	1	3
402	знаем что	1	3
403	каждый из	1	3
404	было и	1	3
405	в отличие	1	3
406	и самих	1	3
407	к предмету	1	3
408	но есть	1	3
409	может не	1	3
410	где он	1	3
411	этих двух	1	3
412	и других	2	3
413	эти последние	1	3
414	взывает к	1	3
415	г и	2	3
416	кто не	1	3
417	место в	1	3
418	может и	2	3
419	что было	1	3
420	борьбе с	1	3
421	что дело	1	3
422	например с	1	3
423	из нее	1	3
424	мысль о	2	3
425	всего что	1	3
426	она ни	2	3
427	смысле не	1	3
428	в европе	2	3
429	время в	2	3
430	т е	3	3
431	совершенно новое	1	3
432	к действию	1	3
433	весь мир	1	3
434	в последние	2	3
435	и м	1	3
436	известном смысле	1	3
437	друг другу	2	3
438	которая хотя	1	3
439	столь же	3	3
440	значило бы	1	3
441	должна быть	1	3
442	в россии	3	3
443	любовь и	1	3
444	оно есть	1	3
445	с ними	3	3
446	со стороны	2	3
447	что каждая	1	3
448	нужно говорить	1	3
449	мы хотим	1	3
450	и мудрости	1	3
451	каком смысле	1	3
452	последней в	1	3
453	в и	1	3
454	бы нас	1	3
455	многих других	1	3
456	но где	1	3
457	и где	1	3
458	как она	1	3
459	помнить что	2	3
460	случаях когда	1	3
461	поскольку она	1	3
462	она должна	1	3
463	в трех	1	3
464	думать что	2	3
465	эта идея	2	2
466	формы в	1	2
467	какой бы	1	2
468	в с	4	2
469	в живом	1	2
470	и такое	1	2
471	идти в	1	2
472	из двух	1	2
473	ни были	1	2
474	исходить из	1	2
475	смысл этого	1	2
476	тех кто	4	2
477	почти исключительно	1	2
478	н а	10	2
479	не исключает	1	2
480	ii в	2	2
481	в прошлом	1	2
482	и любви	1	2
483	в существе	1	2
484	накладывает на	1	2
485	отношения в	1	2
486	бы ее	1	2
487	исключает всякую	1	2
488	здесь быть	1	2
489	большинстве случаев	1	2
490	составляющих ее	1	2
491	взятые в	1	2
492	не означает	1	2
493	бы она	1	2
494	что есть	1	2
495	бы ни	2	2
496	с с	2	2
497	и чем	1	2
498	в число	1	2
499	в определенный	1	2
500	как далеко	1	2
501	везде и	1	2
502	и и	2	2
503	на основе	1	2
504	только мы	1	2
505	на плечи	1	2
506	россии в	5	2
507	вслед за	3	2
508	она может	1	2
509	бы как	1	2
510	исключительно в	2	2
511	и многие	1	2
512	в определенном	1	2
513	в настоящую	1	2
514	лиц и	1	2
515	огромной и	1	2
516	о с	2	2
517	речь но	1	2
518	история и	1	2
519	на фоне	1	2
520	и я	1	2
521	полноте и	1	2
522	действительности при	1	2
523	бы это	1	2
524	которые были	1	2
525	и эти	1	2
526	с основной	1	2
527	не с	1	2
528	человека с	1	2
529	рассматривать как	1	2
530	о и	2	2
531	ней не	2	2
532	в момент	1	2
533	за последние	1	2
534	жить и	1	2
535	что то	1	2
536	в борьбе	1	2
537	черты в	1	2
538	не дается	1	2
539	что по	1	2
540	духа в	1	2
541	притом в	1	2
542	ли не	1	2
543	относиться к	1	2
544	тем в	1	2
545	пусть в	1	2
546	монастыря в	1	2
547	без того	1	2
548	большей степени	4	2
549	чтобы это	1	2
550	никакого сомнения	1	2
551	здесь нужно	2	2
552	подчеркнуть что	1	2
553	сколько бы	2	2
554	потому в	2	2
555	или хотя	1	2
556	также в	1	2
557	и жизнь	1	2
558	у в	1	2
559	полноты и	1	2
560	и критика	1	2
561	и г	2	2
562	образом на	2	2
563	а м	1	2
564	значение если	1	2
565	с и	1	2
566	но также	4	2
567	но чтобы	1	2
568	нового не	1	2
569	судить по	1	2
570	в которые	1	2
571	возможно также	1	2
572	обстановке в	1	2
573	на каждом	1	2
574	о соотношении	1	2
575	это значение	1	2
576	отличаться от	1	2
577	и вот	2	2
578	в советском	1	2
579	обе эти	1	2
580	многие из	1	2
581	с богом	1	2
582	из числа	1	2
583	настоящую минуту	1	2
584	области и	1	2
585	на свои	1	2
586	нужно было	2	2
587	насколько можно	1	2
588	частности в	1	2
589	именно здесь	1	2
590	россии и	4	2
591	россии как	3	2
592	а я	5	2
593	был и	1	1
594	и глубины	1	1
595	вопросу о	1	1
596	отдельные черты	1	1
597	а затем	1	1
598	науке и	1	1
599	идеи даже	1	1
600	к русскому	1	1
601	по природе	1	1
602	обстоятельство это	2	1
603	эти черты	1	1
604	работы в	1	1
605	выражены в	1	1
606	и наоборот	1	1
607	некоторые ее	1	1
608	устанавливается и	1	1
609	осуществляется в	2	1
610	скажем прямо	1	1
611	и должна	1	1
612	народные массы	1	1
613	на пути	4	1
614	а имеют	1	1
615	и судьбы	1	1
616	соприкасается с	1	1
617	узости и	1	1
618	переход от	2	1
619	в реальной	1	1
620	но возможно	1	1
621	русской литературы	1	1
622	настоящий момент	3	1
623	все существующее	1	1
624	с разных	1	1
625	востока и	1	1
626	или иным	1	1
627	исчезнет и	1	1
628	мы знаем	1	1
629	по-видимому не	2	1
630	может рассчитывать	1	1
631	г а	1	1
