N	2gram	Potebnia_M	Freidism
1	таким образом	24	34
2	и не	28	34
3	точки зрения	4	31
4	не может	18	30
5	в этом	19	28
6	может быть	46	28
7	и в	48	28
8	прежде всего	6	26
9	в его	6	25
10	и его	4	22
11	мы можем	13	20
12	как бы	10	19
13	как мы	8	18
14	то что	37	17
15	вовсе не	13	16
16	с точки	3	15
17	все эти	1	15
18	так как	20	15
19	с ним	10	14
20	в своей	2	14
21	так и	17	14
22	самом деле	5	14
23	в душе	17	13
24	и все	5	13
25	как и	22	13
26	по отношению	12	13
27	но в	8	13
28	во всех	1	13
29	в самом	11	12
30	то же	35	12
31	ни в	2	12
32	что он	8	12
33	том что	28	12
34	для него	14	12
35	все это	4	12
36	и потому	9	12
37	и наконец	3	12
38	мы видели	5	12
39	только в	29	11
40	мы знаем	1	11
41	сказать что	8	11
42	отношению к	10	11
43	его в	6	11
44	все что	4	10
45	один из	7	10
46	не только	32	10
47	и с	4	10
48	но и	30	10
49	конечно не	2	10
50	что же	3	10
51	тот же	2	10
52	никогда не	2	10
53	в том	47	10
54	мы уже	5	10
55	в сознание	16	10
56	он не	4	10
57	за пределы	2	10
58	не в	24	10
59	и на	5	9
60	те же	6	9
61	уже не	11	9
62	во всяком	4	9
63	мы не	17	9
64	с его	1	9
65	к этому	3	9
66	к нему	7	9
67	в чем	6	9
68	а не	22	9
69	мы должны	6	9
70	и др	1	9
71	могут быть	6	9
72	при этом	6	8
73	все же	3	8
74	еще не	9	8
75	с этим	12	8
76	было бы	16	8
77	и вот	1	8
78	знаем что	1	8
79	а в	14	8
80	с другими	9	8
81	с бессознательным	1	8
82	в ней	11	8
83	оно и	1	8
84	душевной жизни	10	8
85	всяком случае	3	8
86	что в	30	7
87	и к	5	7
88	не могут	7	7
89	связь с	4	7
90	в жизни	1	7
91	так сказать	6	7
92	с сознанием	2	7
93	его жизни	2	7
94	хотя бы	3	7
95	в каком	8	7
96	если мы	2	7
97	что все	5	7
98	из них	11	7
99	того что	24	7
100	не является	1	7
101	но не	8	7
102	я и	3	7
103	об этом	4	7
104	чувств и	1	7
105	с самого	1	7
106	в нем	16	7
107	быть и	1	7
108	в этой	3	7
109	отношение к	2	7
110	в себе	26	7
111	жизни и	3	7
112	в то	16	7
113	и ее	1	7
