N	3gram	Trubetskoy	Sotsiolo
1	по отношению к	1	2
2	в том что	3	2
3	в конце концов	3	2
4	не в том	1	2
5	это и есть	1	1
6	и в то	1	1
7	в то же	2	1
8	а между тем	1	1
9	сказать и о	1	1
10	с одной стороны	7	1
11	в связи с	3	1
12	то же самое	2	1
13	чуть ли не	1	1
14	главным образом в	3	1
15	по крайней мере	5	1
16	о том как	1	1
17	в этой области	1	1
18	то же время	2	1
19	только то что	1	1
20	а с другой	5	1
21	во всяком случае	6	1
22	а в том	1	1
23	и в этом	2	1
24	не может не	1	1
25	в настоящее время	1	1
