N	3gram	Nazirov_Vr	Mirosoze
1	не может быть	2	28
2	в том что	2	9
3	это и есть	1	9
4	в высшей степени	1	7
5	и в этом	1	6
6	отношение достоевского к	1	6
7	о том что	1	6
8	до сих пор	1	5
9	не было бы	1	5
10	может быть и	1	5
11	его отношение к	1	4
12	в конце концов	1	4
13	и в самом	1	4
14	на то что	1	4
15	в то время	1	4
16	записках из подполья	1	3
17	и никогда не	1	3
18	это не было	1	3
19	но это не	1	3
20	так же как	1	3
21	в нем самом	1	3
22	во всяком случае	1	3
23	и достоевский в	1	3
24	и уж конечно	1	2
25	в е годы	1	2
26	и во всем	1	2
27	сам достоевский в	1	2
28	имел в виду	3	2
29	преступления и наказания	1	2
30	и не может	1	2
31	достоевский прежде всего	1	2
32	он не только	2	2
33	о достоевском и	1	2
34	тем что он	1	2
35	что в нем	1	2
36	как бы в	1	2
37	в этом отношении	1	2
38	и сам достоевский	1	1
39	он был очень	1	1
40	в этот момент	2	1
41	записки из подполья	1	1
42	преступлении и наказании	1	1
43	быть и речи	1	1
44	и это было	1	1
45	в этот период	1	1
46	что они не	1	1
47	людей уже в	2	1
48	я не знаю	1	1
49	у него в	1	1
50	достоевского в то	1	1
51	что у него	1	1
52	в письме к	2	1
53	а также в	1	1
54	что он сам	1	1
55	а между тем	1	1
56	речь идет о	1	1
57	но и от	1	1
58	преступление и наказание	1	1
59	за границей и	1	1
60	с другой стороны	1	1
61	в той же	1	1
62	но не менее	1	1
63	мыслей и чувств	1	1
64	это сама жизнь	1	1
65	в тридцать лет	1	1
66	но и это	1	1
67	не только от	1	1
68	с точки зрения	2	1
69	ней ничего не	1	1
70	его отношения к	1	1
71	уже в конце	1	1
72	а следовательно и	1	1
73	на пиру жизни	1	1
74	в ней ничего	1	1
75	творческой фантазии достоевского	1	1
76	ответ на это	1	1
77	в то же	4	1
78	отличается не только	1	1
79	то же время	4	1
80	ничего уже не	1	1
81	он сам в	1	1
82	в мировой литературе	1	1
83	для достоевского был	1	1
84	в самом достоевском	1	1
85	давно уже не	1	1
86	и все же	5	1
87	и верил в	1	1
88	в преступлении и	1	1
89	что это за	1	1
90	на большую высоту	1	1
