N	3gram	Savitsky_P	Marksizm
1	с точки зрения	3	46
2	не может быть	1	25
3	то же время	7	15
4	в то же	7	15
5	в том что	4	14
6	и не может	1	12
7	для того чтобы	1	11
8	в отличие от	1	10
9	в большинстве случаев	1	9
10	но в то	1	9
11	в настоящее время	1	8
12	в отношении к	5	8
13	с другой стороны	1	7
14	во всяком случае	1	6
15	с одной стороны	3	6
16	и пр в	1	4
17	не только в	4	3
18	в применении к	1	3
19	одной стороны и	2	3
20	хотя бы и	1	3
21	в том числе	2	3
22	более или менее	1	3
23	друг с другом	1	3
24	мы не будем	1	3
25	том числе и	1	3
26	или хотя бы	1	3
27	и в этом	1	3
28	но и в	2	3
29	не было бы	1	3
30	тех пор пока	1	2
31	– все это	1	2
32	в этом смысле	1	2
33	в собственном смысле	1	2
34	что во всех	1	2
35	само по себе	1	2
36	сами по себе	3	2
37	с ними как	1	2
38	чуть ли не	1	2
39	до тех пор	1	2
40	так же как	1	2
41	есть прежде всего	1	2
42	может быть разрешена	1	2
43	тот или иной	1	2
44	как она есть	1	1
45	в хозяйстве и	1	1
46	в пределах русского	1	1
47	как одна из	1	1
48	по сравнению с	1	1
49	сводится к следующему	1	1
50	половины xix века	1	1
51	сменяют друг друга	1	1
52	исключительно в пределах	1	1
53	в которую мы	1	1
54	в тот же	2	1
55	но также и	1	1
56	в нем в	1	1
57	одна из важнейших	1	1
58	но в этом	1	1
59	и мы должны	1	1
60	в которых совершается	1	1
61	мы все же	1	1
62	вместе с тем	1	1
63	то что его	1	1
64	в наш век	1	1
65	для них в	1	1
66	не будем касаться	1	1
67	исторического материализма и	1	1
68	и пр есть	1	1
69	в гораздо большей	4	1
70	эти последние в	1	1
71	и тем более	1	1
72	том что во	1	1
73	одно из важнейших	1	1
74	идет именно о	1	1
75	в отрыве от	1	1
76	и не менее	1	1
77	гораздо большей степени	4	1
78	дело идет именно	1	1
79	и потому в	2	1
80	если бы ее	1	1
81	ни к чему	1	1
82	бы оно ни	1	1
83	большинстве случаев только	1	1
