N	2gram	Losev_Vesc	EvropaiC
1	таким образом	16	34
2	в том	15	31
3	и в	44	24
4	том что	13	20
5	все эти	5	19
6	то что	47	18
7	не может	44	18
8	может быть	37	17
9	до сих	1	15
10	все же	18	15
11	сих пор	1	15
12	точки зрения	10	14
13	в этом	17	13
14	все это	7	13
15	самом деле	7	12
16	с этим	4	12
17	в своем	9	12
18	но и	19	11
19	культуры и	1	11
20	все что	3	10
21	мы знаем	1	10
22	не только	48	10
23	так и	4	10
24	как и	15	10
25	во всех	5	10
26	из себя	6	10
27	как бы	19	10
28	что в	11	9
29	при этом	1	9
30	в результате	9	9
31	не в	14	9
32	и все	6	9
33	и не	57	9
34	с другом	2	9
35	потому что	25	9
36	и что	22	9
37	на то	9	9
38	друг с	2	9
39	того же	5	9
40	в самом	13	8
41	с точки	6	8
42	более или	4	8
43	ясно что	10	8
44	или менее	4	8
45	к тому	3	8
46	мы говорили	2	8
47	для того	3	8
48	если бы	8	8
49	того чтобы	4	8
50	так же	4	8
51	идет речь	1	8
52	а и	13	8
53	из этих	1	8
54	так как	17	7
55	того что	16	7
56	что и	11	7
57	на самом	1	7
58	что он	7	7
59	не менее	11	7
60	о которых	2	7
61	о котором	2	7
62	из этого	3	7
63	о том	11	7
64	вместе с	4	7
65	по своей	3	7
66	в этой	4	7
67	в сознании	1	7
68	в силу	4	7
69	по существу	3	7
70	для этого	5	7
71	мы можем	4	6
72	и на	2	6
73	несмотря на	6	6
74	с ним	8	6
75	при чем	2	6
76	что с	1	6
77	только в	23	6
78	тому же	1	6
79	отличается от	8	6
80	говорили выше	1	6
81	еще не	12	6
82	и если	5	6
83	должна быть	8	6
84	так что	9	6
85	тогда как	3	6
86	в каждый	1	6
87	в общем	1	6
88	с другой	8	6
89	в то	11	6
90	у них	2	6
91	и для	13	6
92	и к	1	5
93	как к	5	5
94	а потому	2	5
95	ничем не	4	5
96	между собою	12	5
97	должно быть	8	5
98	тех кто	2	5
99	в состоянии	2	5
100	в его	5	5
101	из всех	1	5
102	что это	18	5
103	другой стороны	3	5
104	у него	3	5
105	его в	8	5
106	так или	5	5
107	в которой	5	5
108	но все	3	5
109	и с	11	5
110	или иначе	5	5
111	именно в	2	5
112	и без	4	5
113	большею частью	1	5
114	на все	2	5
115	по сравнению	8	5
116	сравнению с	7	5
117	и истории	1	5
118	быть и	5	5
119	не будет	13	5
120	между двумя	1	5
121	и их	11	5
122	далеко не	2	5
123	лишь в	1	5
124	в себе	23	5
125	и от	4	5
126	что все	2	5
127	как будто	2	5
128	к этому	2	5
129	в целом	3	5
130	из них	7	5
131	но в	8	5
132	не так	2	4
133	и то	14	4
134	социальной жизни	1	4
135	то они	1	4
136	ее и	2	4
137	та же	1	4
138	на вопрос	2	4
139	самого себя	2	4
140	которых мы	1	4
141	и культура	1	4
142	из того	3	4
143	этом случае	1	4
144	хотя и	5	4
145	тем не	11	4
146	мало того	1	4
147	совершенно не	11	4
148	из которых	3	4
149	это есть	8	4
150	в их	4	4
151	в виде	3	4
152	связи с	1	4
153	одним из	1	4
154	в конце	3	4
155	в таком	1	4
156	с тем	8	4
157	состоит из	3	4
158	в в	2	4
159	не есть	79	4
160	не могут	1	4
161	между собой	2	4
162	то ясно	2	4
163	и у	4	4
164	что та	1	4
165	а с	3	4
166	что мы	17	4
167	данный момент	1	4
168	мы уже	3	4
169	в течение	1	4
170	хотя бы	9	4
171	то ни	13	4
172	в дальнейшем	1	4
173	мы должны	5	4
174	для меня	3	4
175	что эта	2	4
176	факт что	1	4
177	признать что	2	4
178	всегда будет	1	4
179	отношение к	4	4
180	что для	5	4
181	и культуры	1	4
182	что как	1	4
183	том же	1	4
184	представление об	1	4
185	ибо в	1	4
186	он не	4	4
187	конце концов	2	4
188	если мы	12	4
189	эта культура	1	4
190	всех этих	1	4
191	мы сказали	2	4
192	в одну	2	4
193	то же	12	4
194	будет всегда	1	4
195	никогда не	5	4
196	ближе к	2	3
197	во всем	2	3
198	бы то	12	3
199	на почве	6	3
200	то очевидно	2	3
201	что оно	10	3
202	а наоборот	1	3
203	только те	2	3
204	данном случае	2	3
205	только что	2	3
206	и по	1	3
207	которые не	1	3
208	в начале	1	3
209	с одной	3	3
210	тогда когда	5	3
211	которых идет	1	3
212	за ними	2	3
213	даже в	1	3
214	ни было	12	3
215	в разных	6	3
216	и говорить	1	3
217	для нас	2	3
218	на нас	3	3
219	в с	2	3
220	прежде всего	17	3
221	у нас	9	3
222	одно из	2	3
223	же не	4	3
224	говорить что	4	3
225	в этих	1	3
226	от тех	1	3
227	в нем	6	3
228	заключается в	3	3
229	основанные на	1	3
230	представление о	1	3
231	очевидно что	2	3
232	очень много	1	3
233	в жизни	5	3
234	можно назвать	1	3
235	в связи	1	3
236	во имя	3	3
237	по одному	1	3
238	же как	3	3
239	но по	1	3
240	то из	1	3
241	в истории	3	3
242	может не	4	3
243	и это	17	3
244	ничего общего	1	3
245	что их	1	3
246	и вообще	6	3
247	тем более	3	3
248	жизнь и	2	3
249	только одно	2	3
250	и того	2	3
251	и потому	8	3
252	на этой	2	3
253	в данном	6	3
254	отличие от	1	3
255	вопрос о	6	3
256	но даже	3	3
257	но тогда	5	3
258	в ней	14	3
259	сказали что	2	3
260	двух или	1	3
261	и может	3	3
262	что если	2	3
263	если же	5	3
264	должны быть	6	3
265	с этой	6	3
266	это не	9	3
267	тем самым	2	3
268	и до	6	3
269	с в	3	3
270	конечно не	2	3
