N	2gram	Vinokur_St	Hudozhes
1	в качестве	7	31
2	то есть	2	26
3	и в	61	23
4	не только	36	20
5	в том	56	20
6	при этом	4	19
7	может быть	16	19
8	в частности	6	18
9	и не	23	16
10	тогда как	1	15
11	но и	28	14
12	а не	19	13
13	но не	5	13
14	а в	18	13
15	я в	1	13
16	в тексте	12	13
17	в себе	3	13
18	в этом	37	12
19	то же	7	12
20	такого рода	2	12
21	так и	15	12
22	и его	11	12
23	как бы	8	11
24	точки зрения	16	11
25	в его	19	11
26	по отношению	3	10
27	но в	16	10
28	отношению к	3	10
29	своего рода	7	9
30	или иной	1	9
31	том что	49	9
32	с другой	11	9
33	не в	15	9
34	не может	10	9
35	себя в	1	8
36	в области	16	8
37	в то	10	8
38	что в	41	7
39	в самом	14	7
40	только в	11	7
41	в своей	12	7
42	в основе	4	7
43	же время	5	7
44	в отличие	1	7
45	отличие от	1	7
46	не столько	6	7
47	как это	6	7
48	по своей	2	7
49	лишь в	3	7
50	отношение к	3	7
51	другой стороны	9	6
52	более или	2	6
53	уже не	1	6
54	можно сказать	2	6
55	с его	3	6
56	мы имеем	2	6
57	в ее	6	6
58	а также	4	6
59	или менее	2	6
60	в нем	9	6
61	ни в	5	5
62	в виду	6	5
63	не на	3	5
64	что он	23	5
65	не менее	8	5
66	не является	5	5
67	того чтобы	15	5
68	для того	15	5
69	со стороны	7	5
70	я с	3	5
71	иначе говоря	1	5
72	как к	3	5
73	для него	10	5
74	того что	14	5
75	прежде всего	11	5
76	в их	3	5
77	а на	4	5
78	или иначе	3	5
79	между ними	1	5
80	той или	1	5
81	тем самым	2	5
82	то что	27	5
83	могут быть	5	5
84	место в	2	5
85	во втором	5	4
86	для себя	3	4
87	без исключения	1	4
88	так или	3	4
89	по пути	1	4
90	не следует	1	4
91	например в	8	4
92	отношения к	2	4
93	в слове	5	4
94	из которого	2	4
95	еще не	4	4
96	в данном	16	4
97	входит в	1	4
98	в другом	5	4
99	говорить о	3	4
100	сказать что	9	4
101	к которому	4	4
102	в своем	8	4
103	к тому	9	4
104	или иным	3	4
105	на почве	2	4
106	и то	6	4
107	это не	8	4
108	в отношении	11	4
109	его в	4	4
110	не знает	2	4
111	и как	2	4
112	в этих	5	4
113	так в	1	4
114	а только	1	4
115	того или	4	4
116	между тем	7	4
117	он не	11	4
118	и тем	3	4
119	и что	8	4
120	в форме	2	4
121	далеко не	1	4
122	и о	4	4
123	однако в	1	4
124	художественного произведения	1	4
125	или иного	4	4
126	хотя и	4	4
127	в той	9	3
128	текста в	5	3
129	и к	5	3
130	на деле	1	3
131	и на	7	3
132	в момент	1	3
133	текст в	2	3
134	с этой	5	3
135	даже в	5	3
136	была бы	10	3
137	о чем	4	3
138	данного текста	1	3
139	если бы	11	3
140	оказывается в	2	3
141	и сам	4	3
142	есть в	2	3
143	а именно	3	3
144	в романе	4	3
145	как и	11	3
146	к его	2	3
147	их в	2	3
148	никто не	4	3
149	себя и	1	3
150	в иной	1	3
151	тем не	4	3
152	культуры в	3	3
153	следует подчеркнуть	1	3
154	но их	1	3
155	в роли	1	3
156	к нему	2	3
157	потому что	13	3
158	одной стороны	2	3
159	искусства и	1	3
160	отношении к	3	3
161	в одном	7	3
162	мог бы	1	3
163	как правило	2	3
164	во всей	1	3
165	от себя	1	3
166	из этих	7	3
167	текста как	1	3
168	и для	4	3
169	он должен	2	3
170	таким образом	16	3
171	с одной	3	3
172	том числе	3	3
173	с точки	10	3
174	как раз	10	3
175	внешнего мира	1	3
176	читателя в	1	3
177	и притом	1	3
178	связи с	3	3
179	но он	5	3
180	и позволяет	1	3
181	в таком	4	3
182	как говорит	3	3
183	по своему	2	3
184	во всех	8	3
185	в русской	4	3
186	однако если	1	3
187	в которой	13	3
188	не будет	1	3
189	одно и	1	3
190	в пределах	1	3
191	этом смысле	2	3
192	того же	4	3
193	слова в	1	3
194	в узком	1	3
195	не случайно	1	3
196	в культуре	1	3
197	в целом	5	3
198	и другие	3	2
199	однако с	1	2
200	один из	1	2
201	легкой руки	1	2
202	и который	3	2
203	из которых	1	2
204	не как	2	2
205	а затем	1	2
206	в году	3	2
207	одно из	3	2
208	знаков в	1	2
209	том и	1	2
210	по себе	3	2
211	в них	2	2
212	оно не	3	2
213	самом деле	14	2
214	заключается в	5	2
215	на свою	1	2
216	все эти	7	2
217	именно в	8	2
218	по мысли	1	2
219	значения и	1	2
220	значительной степени	3	2
221	с ними	1	2
222	в одно	1	2
223	как в	15	2
224	никем не	2	2
225	роль в	1	2
226	языка на	1	2
227	бы не	2	2
228	отличается от	2	2
229	вследствие этого	1	2
230	ни для	2	2
231	в известном	3	2
232	которая не	1	2
233	в каком	4	2
234	к другому	1	2
235	о том	30	2
236	при всем	1	2
237	это и	5	2
238	еще и	5	2
239	ни к	1	2
240	со временем	1	2
241	при условии	1	2
242	вытекает из	2	2
243	не могли	1	2
244	между собой	1	2
245	совпадает с	3	2
246	на основе	1	2
247	во мне	1	2
248	времени в	1	2
249	не всегда	2	2
250	пушкина что	3	2
251	могло быть	3	2
252	не могло	4	2
253	речь идет	6	2
254	втором случае	2	2
255	говорит что	4	2
256	и это	4	2
257	превращается в	2	2
258	времени и	4	2
259	для которого	1	2
260	не вполне	1	2
261	так же	7	2
262	и наоборот	1	2
263	в глаза	1	2
264	из перечисленных	1	2
265	об этом	9	2
266	должен быть	3	2
267	я думаю	11	2
268	с самим	1	2
269	если мы	1	2
270	в нашем	1	2
271	имеем дело	2	2
272	в текстах	1	2
273	всякий раз	2	2
274	для понимания	2	2
275	который в	1	2
276	одна из	1	2
277	этого слова	2	2
278	здесь не	1	2
279	не все	3	2
280	на котором	1	2
281	он и	1	2
282	в стилистическом	1	2
283	не просто	2	2
284	только о	1	2
285	речи а	1	2
286	никогда не	7	2
287	и по	6	2
288	истории литературы	2	2
289	начиная с	2	2
290	бы то	2	2
291	то в	3	2
292	при котором	1	2
293	но на	2	2
294	этих двух	4	2
295	одной из	4	2
296	наших глазах	2	2
297	несмотря на	4	2
298	ни было	1	2
299	которого он	1	2
300	что такое	2	2
301	ее в	2	2
302	все это	13	2
303	что и	8	2
304	или иную	1	2
