N	2gram	Losev_Vlad	Vvedenie
1	и т	3	45
2	т д	3	39
3	в том	26	38
4	в этом	30	35
5	и в	56	35
6	может быть	12	30
7	том что	22	30
8	не только	35	26
9	для того	4	23
10	того чтобы	4	22
11	таким образом	6	21
12	также и	13	20
13	не может	12	19
14	то что	30	19
15	потому что	16	18
16	только в	11	16
17	со стороны	5	16
18	о том	13	16
19	так как	11	15
20	представляет собой	1	14
21	в общем	4	14
22	что в	24	13
23	в самом	3	13
24	и не	33	13
25	в нем	7	13
26	в его	18	12
27	того что	6	12
28	в их	2	12
29	точки зрения	4	12
30	что такое	3	12
31	как на	2	12
32	то же	10	11
33	по себе	3	11
34	в данном	1	11
35	этом смысле	4	11
36	ясно что	2	11
37	как мы	17	11
38	прежде всего	5	10
39	не в	12	10
40	вопрос о	1	10
41	в той	2	10
42	уже и	4	10
43	но в	19	10
44	дело с	2	9
45	тем не	8	9
46	смысле этого	1	9
47	все же	11	9
48	из этих	5	9
49	но не	5	9
50	и как	7	9
51	не менее	9	9
52	в истории	4	9
53	это не	3	8
54	в качестве	7	8
55	как нечто	2	8
56	именно в	4	8
57	о котором	2	8
58	с другой	3	8
59	и то	13	7
60	к выводу	1	7
61	как и	7	7
62	самом деле	1	7
63	в принципиальном	1	7
64	но и	26	7
65	выводу что	1	7
66	в разных	1	7
67	было бы	7	7
68	только как	1	7
69	как бы	5	7
70	один из	4	6
71	на вопрос	2	6
72	об этом	13	6
73	этом случае	1	6
74	все это	7	6
75	не могут	2	6
76	его в	3	6
77	на этот	9	6
78	тем что	2	6
79	с тем	4	6
80	в какой	1	6
81	а именно	4	6
82	вместе с	9	6
83	в которых	1	6
84	же время	7	6
85	и это	4	6
86	так например	3	6
87	вовсе не	8	6
88	уже не	6	6
89	и даже	23	6
90	хотя бы	5	6
91	и что	11	6
92	как он	4	6
93	как например	1	6
94	сказать что	14	6
95	том чтобы	4	6
96	но если	1	6
97	и его	12	6
98	в то	15	6
99	а в	20	6
100	иное как	2	6
101	связь между	1	5
102	на почве	1	5
103	уже в	9	5
104	внимание на	1	5
105	с этой	4	5
106	хотя и	9	5
107	что и	6	5
108	другой стороны	3	5
109	в них	5	5
110	в г	2	5
111	но с	1	5
112	одним из	3	5
113	дело в	7	5
114	что не	3	5
115	имеет дело	1	5
116	не есть	4	5
117	что он	22	5
118	что иное	2	5
119	одно из	1	5
120	по своему	5	5
121	во всяком	8	5
122	в течение	13	5
123	как уже	2	5
124	так что	13	5
125	и тем	2	5
126	а не	5	5
127	говорить о	1	5
128	есть и	1	5
129	дело не	3	5
130	в различных	1	5
131	на основании	3	5
132	не что	2	5
133	т п	1	5
134	быть в	1	5
135	а как	1	5
136	независимо от	1	5
137	она есть	1	5
138	не просто	1	5
139	в целом	3	5
140	как это	11	5
141	есть не	1	5
142	всяком случае	8	5
143	в особенности	4	4
144	ответ на	2	4
145	в более	3	4
146	только что	2	4
147	здесь нет	1	4
148	с одной	1	4
149	тогда когда	1	4
150	любовь к	1	4
151	этом отношении	2	4
152	о чем	6	4
153	как раз	7	4
154	в результате	6	4
155	в виде	4	4
156	в себе	5	4
157	должен был	3	4
158	так или	3	4
159	особого рода	2	4
160	но все	3	4
161	или иначе	3	4
162	в одном	2	4
163	в котором	10	4
164	заключается в	1	4
165	от истории	1	4
166	в своей	7	4
167	да и	6	4
168	в чем	4	4
169	к тому	5	4
170	по крайней	1	4
171	еще не	2	4
172	не имеет	2	4
173	времени и	1	4
174	в каждом	1	4
175	еще и	10	4
176	как о	1	4
177	даже и	12	4
178	одной стороны	1	4
179	е в	7	4
180	в чисто	1	4
181	по отношению	1	4
182	мы имеем	2	4
183	не вполне	3	4
184	действительность в	1	4
185	в и	1	4
186	истории и	1	4
187	крайней мере	1	4
188	можно сказать	10	4
189	той же	6	4
190	одной из	2	4
191	в области	3	4
192	все более	1	4
193	только с	1	4
194	и для	4	4
195	само по	1	4
196	из них	3	4
197	своего рода	1	3
198	и к	10	3
199	в свое	6	3
200	с этим	3	3
201	невозможно но	1	3
202	что с	3	3
203	можно говорить	2	3
204	и здесь	3	3
205	и на	7	3
206	этой области	2	3
207	того как	2	3
208	и вот	5	3
209	на том	1	3
210	такого рода	4	3
211	при этом	5	3
212	что это	2	3
213	в сущности	2	3
214	говорит о	1	3
215	из которых	1	3
216	не как	1	3
217	в с	7	3
218	знания в	2	3
219	но что	5	3
220	в отношении	5	3
221	в этих	5	3
222	знания и	3	3
223	чем в	2	3
224	связи с	7	3
225	с чисто	1	3
226	если бы	2	3
227	и сам	7	3
228	а также	12	3
229	в силу	1	3
230	в очень	5	3
231	во внимание	1	3
232	том виде	1	3
233	за собой	1	3
234	история и	3	3
235	нет надобности	1	3
236	в конце	22	3
237	в в	4	3
238	здесь все	1	3
239	принципиальном отношении	1	3
240	одновременно и	1	3
241	как в	6	3
242	нисколько не	4	3
243	между ними	2	3
244	в каком	3	3
245	есть еще	1	3
246	он мог	1	3
247	свое время	7	3
248	и того	1	3
249	бы и	1	3
250	и других	2	3
251	все эти	6	3
252	то это	4	3
253	и есть	2	3
254	что даже	2	3
255	язык и	1	3
256	на этом	3	3
257	до нас	1	3
258	духовной жизни	1	3
259	что же	11	3
260	в значительной	1	3
261	совсем не	7	3
262	в ней	5	3
263	вот почему	1	3
264	времени в	2	3
265	и тогда	1	3
266	которых не	1	3
267	и уже	1	3
268	во второй	3	3
269	в частности	4	3
270	уже после	2	3
271	об отношении	1	3
272	со всей	1	3
273	только на	3	3
274	в изучении	1	3
275	не с	1	3
276	в этой	4	3
277	же самое	1	3
278	в начале	7	3
279	но дело	2	3
280	не следует	1	3
281	того же	11	3
282	от того	2	3
283	так же	4	3
284	при помощи	1	3
285	или как	1	3
286	этому поводу	2	3
287	было сказано	2	3
288	отчет в	1	3
289	и той	1	3
290	работы в	1	3
291	отношение к	7	3
292	вообще и	1	3
293	наряду с	1	3
294	ответа на	1	3
295	на нее	1	3
296	что может	1	3
297	до конца	8	3
298	в своем	10	3
299	по этому	3	3
300	на историю	1	3
301	и вообще	12	3
302	что она	2	3
303	в германии	1	3
304	одна из	1	3
305	как будто	2	3
306	здесь не	6	3
307	он сам	3	3
308	к этому	11	3
309	для которых	1	3
310	что уже	1	3
311	в известной	1	3
312	раньше чем	1	3
313	мы видели	1	3
314	гораздо более	1	3
315	к нему	6	3
316	никогда не	15	3
317	при жизни	4	2
318	с которыми	2	2
319	во всем	4	2
320	государства и	1	2
321	и историк	1	2
322	так и	11	2
323	и другие	2	2
324	что они	4	2
325	философии и	14	2
326	этой книги	3	2
327	этому времени	3	2
328	на языке	1	2
329	нами не	1	2
330	говоря уже	3	2
331	на протяжении	1	2
332	после того	2	2
333	науке но	1	2
334	ни с	6	2
335	и сейчас	2	2
336	второй половине	3	2
337	в печати	2	2
338	познания и	1	2
339	мы не	2	2
340	время в	4	2
341	обратить внимание	2	2
342	и должно	1	2
343	смысле в	1	2
344	научной работой	1	2
345	не нужно	1	2
346	и далее	1	2
347	несмотря на	7	2
348	вопросу о	1	2
349	ни к	2	2
350	учение о	2	2
351	о них	1	2
352	это уже	1	2
353	и был	6	2
354	он и	8	2
355	и из	5	2
356	мысли и	5	2
357	сам по	1	2
358	после этого	2	2
359	истории в	2	2
360	что несмотря	1	2
361	о которой	3	2
362	и сама	2	2
363	время не	1	2
364	иначе но	2	2
365	него в	4	2
366	для объяснения	1	2
367	себя в	6	2
368	для них	2	2
369	не столько	4	2
370	у нас	11	2
371	в формах	1	2
372	в следующем	3	2
373	все равно	1	2
374	такого же	1	2
375	в таких	1	2
376	в своих	7	2
377	не было	12	2
378	что нет	1	2
379	этого не	2	2
380	что к	3	2
381	и с	27	2
382	с ней	3	2
383	то о	2	2
384	эта наука	1	2
385	будто бы	2	2
386	виде в	2	2
387	языков и	1	2
388	по существу	4	2
389	с теми	2	2
390	с конца	1	2
391	и всего	1	2
392	жизни и	8	2
393	например в	1	2
394	до наших	1	2
395	тому что	1	2
