N	3gram	Bakhtin_KF	VrazhdaK
1	и все же	1	5
2	то же время	2	4
3	в то же	2	4
4	в том что	2	2
5	в этот момент	1	2
6	не может быть	11	2
7	но в то	1	2
8	с точки зрения	10	2
9	не было бы	3	1
10	в котором он	3	1
11	в свою очередь	1	1
12	можно говорить об	1	1
13	и в котором	1	1
14	равно как и	1	1
15	но это не	1	1
16	на то что	1	1
17	и в то	1	1
18	в соответствии с	2	1
19	не только от	1	1
20	в этом смысле	3	1
21	и то что	1	1
22	но и от	1	1
23	до сих пор	1	1
24	но в этом	1	1
25	в том же	1	1
26	во всяком случае	1	1
27	а следовательно и	1	1
28	тем не менее	2	1
29	то что я	2	1
30	в известном смысле	1	1
31	а с точки	1	1
32	ее и в	1	1
33	это и есть	1	1
34	независимо от того	1	1
35	между прочим и	1	1
36	и в этом	3	1
37	может быть и	1	1
