N	4gram	Vygotskiy_	Tvorches
1	в том что в	1	3
2	заключается в том что	8	2
3	том и другом случае	1	1
4	не что иное как	1	1
5	в том смысле что	1	1
6	мы все время видим	1	1
7	сами по себе и	1	1
8	в таком случае это	1	1
9	все более и более	4	1
10	не странно ли что	1	1
11	одна и та же	2	1
12	мы уже говорили о	1	1
13	всего романа в целом	1	1
14	все время видим что	1	1
15	одного и того же	1	1
16	это означало бы что	1	1
17	и в самом деле	14	1
18	в полном согласии с	1	1
19	это имеет место в	2	1
20	или во всяком случае	2	1
21	мы уже говорили что	1	1
22	в том и другом	1	1
23	это объясняется тем что	1	1
24	ответ на этот вопрос	1	1
25	как это имеет место	1	1
26	как мы узнаем в	1	1
27	том смысле что это	1	1
28	в целом ряде случаев	1	1
29	то это означало бы	1	1
30	т д все это	1	1
31	и т д все	1	1
32	так же как и	1	1
33	где он говорит о	1	1
34	и та же самая	1	1
35	и в свою очередь	1	1
