N	3gram	Nazirov_Tv	VeschiIm
1	и т д	10	38
2	это значит что	1	25
3	не может быть	2	24
4	бы то ни	1	12
5	не что иное	1	12
6	то ни было	1	12
7	что иное как	1	12
8	т д и	1	11
9	тем не менее	2	11
10	по крайней мере	4	10
11	д и т	1	10
12	в том что	8	9
13	в самом деле	2	7
14	то и другое	1	6
15	в свою очередь	2	5
16	и тем не	1	5
17	в чем же	1	5
18	в то же	19	5
19	не только в	2	5
20	равно как и	1	4
21	о том как	1	4
22	дело в том	4	4
23	о том что	6	4
24	это и есть	1	4
25	то же время	18	4
26	вместе с тем	1	3
27	заключается в том	1	3
28	ту или иную	1	3
29	можно сказать что	2	3
30	все же не	1	3
31	сами по себе	2	3
32	в отрыве от	1	3
33	можно было бы	1	3
34	и в то	3	3
35	не может не	1	3
36	только то что	1	3
37	с одной стороны	1	3
38	с другой стороны	2	3
39	так же как	1	2
40	потому что я	1	2
41	я не буду	1	2
42	в применении к	1	2
43	в данном случае	2	2
44	том или другом	1	2
45	то что не	1	2
46	а не то	1	2
47	я и не	1	2
48	не может и	1	2
49	хотя бы и	1	2
50	в отношении к	1	2
51	в конце концов	1	2
52	нужно сказать что	1	2
53	в связи с	2	2
54	не только я	1	2
55	к тому что	1	2
56	во всяком случае	2	2
57	и в этом	1	2
58	что же касается	1	2
59	что он не	1	1
60	что у нас	1	1
61	и как раз	1	1
62	он говорит об	1	1
63	и как бы	1	1
64	это не значит	2	1
65	т д все	1	1
66	и потому что	1	1
67	себя с ним	1	1
68	же самое время	1	1
69	но тот же	1	1
70	и должно быть	1	1
71	и прежде всего	1	1
72	по себе а	1	1
73	прежде всего на	1	1
74	в дальнейшем но	1	1
75	лишь одна из	1	1
76	ту же самую	1	1
77	ничего не говорит	1	1
78	в чем он	1	1
79	что оно не	1	1
80	в xix веке	3	1
81	то или иное	1	1
82	т д в	1	1
83	и в самом	1	1
84	дело не в	1	1
85	от ее носителя	2	1
86	то что в	1	1
87	что все это	3	1
88	этой связи очень	1	1
89	не значит что	2	1
90	себя самого в	1	1
91	у него и	1	1
92	в самом последнем	1	1
93	да и в	1	1
94	мы но и	1	1
95	одна из многих	1	1
96	что у него	2	1
97	и того что	1	1
98	до сих пор	1	1
99	именно потому что	1	1
100	одного и того	1	1
101	каких бы то	1	1
102	это одна из	1	1
103	таким образом и	1	1
104	души и т	1	1
105	один из самых	1	1
106	можно только в	1	1
107	только потому что	1	1
108	это уже не	2	1
109	не только потому	1	1
110	и того же	1	1
111	нет не только	1	1
112	том что я	1	1
113	но в то	5	1
114	все же это	1	1
115	что как бы	1	1
116	этот вопрос не	1	1
117	а если мы	1	1
118	не предмет а	1	1
119	на то чтобы	1	1
120	то же самое	1	1
121	мы видим как	1	1
122	и все же	3	1
123	самом же деле	1	1
124	что может быть	1	1
125	я не могу	1	1
126	на самом же	1	1
127	он говорит о	1	1
128	в этой связи	2	1
129	таким образом чтобы	1	1
130	является одним из	3	1
131	не то что	1	1
132	д все это	1	1
133	это я делаю	1	1
134	с большим трудом	1	1
135	еще ничего не	1	1
136	и не может	2	1
137	по смыслу а	1	1
