N	4gram	Berdyaev_M	Myslijsy
1	одной и той же	2	7
2	в том смысле в	1	6
3	том смысле в каком	1	6
4	в то время как	2	4
5	в том смысле что	1	4
6	не что иное как	4	4
7	все более и более	1	4
8	в том что он	1	3
9	что в то время	1	3
10	в том случае если	1	2
11	и во многих других	1	2
12	от одного к другому	1	2
13	одна и та же	2	2
14	и по отношению к	1	2
15	той мере в какой	1	1
16	в той мере в	1	1
17	друг к другу и	2	1
18	как и во многих	1	1
19	но это не значит	1	1
20	в том что это	1	1
21	а может быть и	1	1
22	любви к ближнему и	1	1
23	и вместе с тем	4	1
24	никогда не достигает того	1	1
25	для него как для	1	1
26	для того чтобы сделать	1	1
27	думать что человек может	1	1
28	а не в том	1	1
29	до сих пор не	1	1
30	не от того что	1	1
31	и в самом деле	1	1
32	потому что она ведет	1	1
33	когда мы говорим что	1	1
34	не сам по себе	1	1
35	друг друга потому что	1	1
36	а от того что	1	1
37	и не может быть	1	1
38	во втором случае человек	1	1
39	что иное как отрицание	1	1
40	с психологической точки зрения	1	1
41	бы он ни был	1	1
42	в такой степени как	1	1
43	и в том случае	1	1
44	по отношению к нему	1	1
45	одну и ту же	1	1
46	за жизнь и счастье	1	1
47	лишь один из моментов	1	1
48	так же как и	1	1
49	подобно тому как в	1	1
50	на том основании что	2	1
51	есть не что иное	3	1
