N	3gram	Berdyaev_V	Mirosoze
1	о великом инквизиторе	4	13
2	добра и зла	2	10
3	в том что	2	9
4	образ и подобие	1	9
5	в легенде о	1	8
6	легенде о великом	1	8
7	любовь к человеку	1	7
8	и в этом	1	6
9	вместе с тем	1	6
10	есть прежде всего	1	6
11	во имя счастья	2	6
12	и вместе с	1	5
13	на этом пути	1	5
14	но и в	2	5
15	но в нем	1	5
16	если нет бога	1	5
17	после того как	1	5
18	поступил как бы	2	4
19	в конце концов	1	4
20	в нем нет	2	4
21	не в силах	2	4
22	никогда не было	1	4
23	во имя свободы	3	4
24	взял все что	1	4
25	хлеба земного и	4	4
26	свободной любви человека	1	3
27	великого инквизитора в	3	3
28	любви к людям	1	3
29	для него не	1	3
30	том что он	2	3
31	и никогда не	1	3
32	это не было	1	3
33	как песок морской	2	3
34	в смысл мира	2	3
35	к тому что	3	3
36	не любя их	1	3
37	в мире и	1	3
38	возжелал свободной любви	1	3
39	и не было	1	3
40	по сравнению с	1	3
41	все будут счастливы	1	3
42	все что было	1	3
43	как и в	1	3
44	и уж конечно	1	2
45	земного и отверг	1	2
46	ивана карамазова и	1	2
47	абсолютное знамя которое	1	2
48	веры а не	1	2
49	бы и не	2	2
50	человек на земле	1	2
51	во имя этого	1	2
52	в свободные от	1	2
53	свободы и любви	1	2
54	тебе чтобы заставить	1	2
55	которое предлагалось тебе	1	2
56	потому поступил как	1	2
57	не рабских восторгов	1	2
58	тысячи миллионов счастливых	1	2
59	хотя бы и	1	2
60	жаждал свободной любви	1	2
61	и хлеба небесного	2	2
62	отверг во имя	1	2
63	знамя которое предлагалось	1	2
64	миллионов счастливых младенцев	2	2
65	а с ним	2	2
66	мы дадим им	1	2
67	мы давно уже	1	2
68	какими они и	1	2
69	а не рабских	1	2
70	не было еще	2	2
71	ты отверг единственное	1	2
72	работать но в	1	2
73	познания добра и	2	2
74	сошел с креста	1	2
75	имя счастья людей	1	2
76	перед могуществом раз	1	2
77	великих и сильных	2	2
78	дух великого инквизитора	13	2
79	слабы и бессильны	1	2
80	в человеке и	1	2
81	детскими песнями хором	1	2
82	мира сего и	2	2
83	имя свободы и	1	2
84	неверие в смысл	1	2
85	свободной любви а	1	2
86	счастье слабосильных существ	1	2
87	вера в бога	1	2
88	мы разрешим им	1	2
89	свободы и хлеба	1	2
90	было не по	1	2
91	знамя хлеба земного	1	2
92	не по силам	1	2
93	с детскими песнями	1	2
94	часы мы устроим	1	2
95	и великий инквизитор	1	2
96	что было не	1	2
97	игру с детскими	1	2
98	в этих словах	1	2
99	им и грех	1	2
100	невольника перед могуществом	1	2
101	гадательного и неопределенного	2	2
102	и во всяком	1	2
103	есть один из	1	2
104	а потому поступил	1	2
105	и в социализме	1	2
106	песок морской слабых	2	2
107	и менее всего	1	2
108	необычайного гадательного и	3	2
109	предлагалось тебе чтобы	1	2
110	мы убедим их	1	2
111	и отверг во	1	2
112	превращением камней в	1	2
113	они и созданы	1	2
114	плясками о мы	1	2
115	не было для	1	2
116	мы заставим их	1	2
117	слабосильных существ какими	1	2
118	не будет уже	2	2
119	станут свободными когда	1	2
120	заставить всех преклониться	1	2
121	чтобы заставить всех	1	2
122	легенда о великом	2	2
123	заставим их работать	1	2
124	во имя своей	1	2
125	они слабы и	1	2
126	бога во имя	1	2
127	существ какими они	1	2
128	в xx веке	1	2
129	рабских восторгов невольника	1	2
130	жизнь как детскую	1	2
131	как детскую игру	1	2
132	любви а не	1	2
133	отверг единственное абсолютное	1	2
134	детскую игру с	1	2
