N	4gram	Bakhtin_Pr	VeschiIm
1	бы то ни было	2	12
2	с этой точки зрения	1	4
3	дело в том что	1	4
4	в то же время	10	4
5	в то время как	2	4
6	не потому что они	1	3
7	и в то же	3	3
8	заключается в том что	1	2
9	в том что он	4	2
10	тут не может быть	1	2
11	и не потому что	2	1
12	все новые и новые	1	1
13	какой бы то ни	1	1
14	до самого последнего времени	1	1
15	есть все то что	1	1
16	что у него нет	1	1
17	в самом деле в	1	1
18	и не подозревает о	1	1
19	и есть то что	1	1
20	одного и того же	1	1
21	с самим собою в	1	1
22	само по себе но	1	1
23	иначе и быть не	1	1
24	сам он и не	1	1
25	а в том что	1	1
26	и быть не может	1	1
27	но в то же	5	1
28	а не только их	1	1
29	заключается в том чтобы	1	1
30	подобно тому как в	2	1
31	и в этом отношении	2	1
32	в том что это	1	1
33	даже и не подозревает	1	1
34	не только в смысле	1	1
35	что бы то ни	1	1
