N	4gram	Medvedev_V	Formalny
1	в то же время	5	20
2	и не может быть	2	7
3	и в то же	3	6
4	с одной стороны и	2	5
5	не может быть и	1	4
6	нет и не может	1	4
7	в том числе и	2	3
8	но в то же	1	3
9	может быть и речи	1	3
10	с этой точки зрения	1	2
11	в том смысле что	1	2
12	иметь в виду что	1	2
13	не говоря уже о	1	2
14	не в том что	2	2
15	в том или ином	1	2
16	в этом отношении очень	1	2
17	в зависимости от различных	1	1
18	материала в зависимости от	1	1
19	является не чем иным	1	1
20	в том случае если	1	1
21	одно и то же	1	1
22	большей или меньшей степени	2	1
23	этих и подобных им	3	1
24	и в искусстве и	1	1
25	как это происходит в	1	1
26	хотя бы в основных	1	1
27	отнюдь не в том	1	1
28	в большей или меньшей	2	1
29	и т п все	1	1
30	же в таком случае	1	1
31	в том отношении что	2	1
32	только в том случае	1	1
33	же время никогда не	1	1
34	не только в искусстве	1	1
35	том отношении что они	1	1
36	с другой стороны в	1	1
37	не могло бы быть	1	1
38	никак между собой не	1	1
39	только в этом случае	1	1
40	том числе и художественное	1	1
41	то же время никогда	1	1
42	не чем иным как	1	1
43	в искусстве и в	1	1
44	и так или иначе	1	1
45	и по отношению к	1	1
46	искусстве но даже в	1	1
47	как мы знаем не	1	1
48	не может быть никакого	1	1
49	но вместе с тем	1	1
50	дело не в том	1	1
51	художественной структуры в единстве	1	1
52	говорит о том что	1	1
53	в светлое поле сознания	1	1
54	в искусстве но даже	1	1
55	только в искусстве но	1	1
56	следует однако отметить что	1	1
