N	2gram	Propp_Isto	OGranits
1	и в	43	13
2	и его	10	12
3	прежде всего	3	9
4	может быть	22	8
5	и не	16	8
6	не может	8	8
7	и пр	19	7
8	в его	7	7
9	и их	4	7
10	точки зрения	3	7
11	таким образом	15	6
12	не только	28	6
13	мы должны	9	6
14	только в	8	6
15	то что	20	6
16	как бы	5	6
17	хотя бы	3	5
18	с точки	1	5
19	все же	13	5
20	и эта	1	5
21	и наконец	1	5
22	мы можем	10	4
23	мы не	3	4
24	то же	11	4
25	было бы	5	4
26	все это	4	4
27	в своей	4	4
28	на фоне	1	4
29	тех пор	1	4
30	но мы	1	4
31	но в	15	4
32	с этим	13	3
33	что в	29	3
34	к одному	1	3
35	и то	4	3
36	только путем	1	3
37	связана с	4	3
38	ни один	2	3
39	и уже	2	3
40	так и	6	3
41	не как	1	3
42	говорить о	1	3
43	в одном	9	3
44	не столько	1	3
45	отношению к	2	3
46	по отношению	2	3
47	превращается в	10	3
48	поставить вопрос	2	3
49	в пределах	5	3
50	в ее	1	3
51	здесь мы	6	3
52	самом деле	1	3
53	не в	9	3
54	в которой	1	3
55	что же	2	3
56	и все	4	3
57	общего с	1	3
58	но для	2	3
59	тела и	1	3
60	в себе	2	3
61	так как	13	3
62	вряд ли	1	3
63	да и	2	3
64	но и	24	3
65	и для	3	3
66	как и	9	3
67	ничего общего	1	3
68	никогда не	9	3
69	в области	1	2
70	к сожалению	1	2
71	своего рода	1	2
72	в самом	1	2
73	во всем	3	2
74	нет ничего	3	2
75	и к	4	2
76	что они	14	2
77	функцию в	1	2
78	из тела	2	2
79	мы видим	15	2
80	иное как	6	2
81	в данном	7	2
82	мы уже	9	2
83	и этот	2	2
84	и наиболее	1	2
85	а как	2	2
86	в своих	1	2
87	в этом	25	2
88	что иное	6	2
89	данном случае	6	2
90	героя и	1	2
91	в языке	1	2
92	с одной	2	2
93	в течение	6	2
94	которое может	1	2
95	о социальной	1	2
96	входит в	1	2
97	и при	2	2
98	одной стороны	2	2
99	и должно	1	2
100	роль в	2	2
101	в другом	11	2
102	мы считаем	1	2
103	при этом	4	2
104	несмотря на	1	2
105	между тем	2	2
106	в этот	6	2
107	и тем	2	2
108	в руках	1	2
109	с помощью	1	2
110	и может	1	2
111	те же	2	2
112	ее в	3	2
113	не исчерпывается	1	2
114	в том	13	2
115	с этой	3	2
116	что эта	2	2
117	мы получим	1	2
118	и является	1	2
119	в тех	3	2
120	но такое	1	2
121	чем же	1	2
122	другой стороны	10	2
123	не что	6	2
124	не на	2	2
125	от этого	1	2
126	так же	16	2
127	в них	6	2
128	самого начала	1	2
129	а в	13	2
130	связанных с	4	2
131	если бы	7	2
132	мы понимаем	1	2
133	себе что	1	2
134	от всех	1	2
135	и делают	1	2
136	от своего	3	2
137	а также	5	2
138	в книге	1	2
139	соответствии с	1	2
140	в ней	3	2
141	с самого	1	2
142	тем что	8	2
143	она является	1	2
144	и др	4	2
145	могут быть	9	2
146	вовсе не	3	2
147	его на	6	2
148	в связи	5	2
149	в зависимости	1	2
150	с ними	5	2
151	материал в	1	2
152	может стать	1	2
153	все эти	8	2
154	с другой	10	2
155	как в	6	2
156	не менее	6	2
157	не имеет	3	2
158	там где	8	2
159	том что	12	2
160	в нем	11	2
161	уже в	1	2
162	и следовательно	1	2
163	зависимости от	1	2
164	не мог	2	2
165	а не	13	2
166	всей своей	1	2
167	в чем	4	2
168	в целом	4	2
169	и ее	3	2
170	тот же	2	2
171	к тому	9	2
172	есть не	2	2
173	эта динамика	1	2
174	этот материал	3	2
175	бы в	1	2
176	в дальнейшем	8	1
177	в особенности	3	1
178	его к	5	1
179	в некоторых	9	1
180	только одно	1	1
181	себе в	2	1
182	как к	2	1
183	к которому	6	1
184	и наоборот	2	1
185	свою историческую	1	1
186	обычно в	1	1
187	находятся в	1	1
188	то он	1	1
189	не нашел	1	1
