N	2gram	Tiupa_Teor	UchenyiS
1	и в	24	14
2	не только	24	10
3	а не	14	10
4	и не	17	8
5	прежде всего	3	8
6	то что	6	7
7	в этом	12	7
8	не может	8	7
9	может быть	22	6
10	эстетического объекта	3	6
11	в искусстве	9	6
12	то же	12	5
13	художественного творчества	5	5
14	в художественном	5	5
15	и только	1	5
16	все это	2	5
17	художественное произведение	3	5
18	в конечном	6	4
19	с другой	9	4
20	в этой	3	4
21	конечном счете	6	4
22	что такое	2	4
23	но и	14	4
24	в их	4	4
25	бы то	2	3
26	было бы	1	3
27	и то	3	3
28	и формы	1	3
29	только к	1	3
30	или точнее	1	3
31	истории литературы	2	3
32	как такового	1	3
33	и т.д	4	3
34	для этого	1	3
35	произведения искусства	4	3
36	это не	4	3
37	как и	6	3
38	то ни	2	3
39	для него	5	3
40	в своей	8	3
41	все же	1	3
42	ни было	2	3
43	в области	7	3
44	в частности	23	3
45	в то	9	3
46	не как	1	3
47	у нас	2	3
48	пришлось бы	1	3
49	другой стороны	6	3
50	не следует	4	3
51	но в	12	3
52	же время	8	3
53	этого термина	1	2
54	все они	1	2
55	художественной формы	1	2
56	таким образом	3	2
57	в самом	7	2
58	если не	1	2
59	в противном	2	2
60	могли бы	2	2
61	если бы	3	2
62	самом деле	2	2
63	могут быть	5	2
64	является в	1	2
65	не в	9	2
66	ни от	1	2
67	это было	2	2
68	для всех	2	2
69	же самое	1	2
70	одним из	3	2
71	крайней мере	1	2
72	но не	13	2
73	по существу	1	2
74	тем что	1	2
75	более чем	1	2
76	в себе	14	2
77	в его	12	2
78	искусства как	2	2
79	в конце	2	2
80	материала и	1	2
81	говоря иначе	2	2
82	между тем	5	2
83	что она	2	2
84	не есть	1	2
85	художественного произведения	5	2
86	что он	4	2
87	на каждом	1	2
88	в широком	1	2
89	при таком	1	2
90	противном случае	2	2
91	о чем	3	2
92	художественном произведении	1	2
93	как раз	3	2
94	тех или	3	2
95	не могут	2	2
96	сводится к	12	2
97	в том	20	2
98	это уже	1	2
99	том что	11	2
100	и через	1	2
101	или иных	3	2
102	художественного задания	1	2
103	художественных произведений	1	2
104	этом смысле	3	2
105	а о	1	2
106	и для	3	2
107	в системе	2	2
108	в итоге	3	2
109	и является	2	2
110	что и	2	2
111	к области	3	2
112	в сторону	3	2
113	не столько	7	2
114	не случайно	5	2
115	а между	1	2
116	с его	6	2
117	превращается в	2	2
118	на первый	1	2
119	по крайней	1	2
120	только в	9	2
121	по себе	2	2
122	что все	1	2
123	не все	3	2
124	еще один	1	1
125	как основной	1	1
126	первый взгляд	1	1
127	и некоторыми	1	1
128	в той	2	1
129	и исторически	1	1
130	было и	1	1
131	что в	10	1
132	ряда и	1	1
133	героя не	1	1
134	с которыми	1	1
135	иначе говоря	5	1
136	художественного восприятия	4	1
137	не было	1	1
138	эстетический объект	4	1
139	остается в	1	1
140	так или	5	1
141	и даже	2	1
142	содержания в	1	1
143	более или	6	1
144	эстетической реальности	2	1
145	всего что	1	1
146	первую очередь	1	1
147	и потому	3	1
148	частности все	1	1
149	но он	4	1
150	отказаться от	1	1
151	эстетического восприятия	1	1
152	этом случае	1	1
153	единицы и	1	1
154	в свое	1	1
155	в которой	3	1
156	автор видит	1	1
157	все и	1	1
158	имеем в	3	1
159	можно сказать	5	1
160	своим единственным	1	1
161	и возможностей	1	1
162	литературного произведения	11	1
163	как таковыми	1	1
164	иначе в	1	1
165	бы послужить	1	1
166	же автор	1	1
167	или иначе	6	1
168	в данном	9	1
169	исторической поэтики	1	1
170	он уже	1	1
171	а для	2	1
172	себе еще	1	1
173	данного произведения	1	1
174	он в	1	1
175	объекта и	3	1
176	анализу и	1	1
177	к изучению	1	1
178	такое искусство?	1	1
179	же как	1	1
180	к простому	1	1
181	сказать что	4	1
182	представляется не	1	1
183	в сфере	1	1
184	произведения как	1	1
185	данном случае	5	1
186	некоторыми другими	1	1
187	же художественное	2	1
188	его как	1	1
189	него не	1	1
190	поэтики в	1	1
191	то есть	22	1
192	сфере искусства	1	1
193	и служит	1	1
194	заданность и	1	1
195	свое место	1	1
196	научному анализу	1	1
197	и др	3	1
198	в совокупности	1	1
199	нас самих	2	1
200	ее как	1	1
201	ролью в	1	1
202	и действительно	1	1
203	очень часто	1	1
204	на материал	1	1
205	в эстетический	3	1
206	в таком	3	1
207	придется отказаться	1	1
208	но прежде	1	1
209	тех кто	1	1
210	то и	1	1
211	сводятся к	3	1
212	перестают быть	1	1
213	она не	1	1
214	степени и	1	1
215	в произведении	3	1
216	но именно	1	1
217	до конца	1	1
218	свой опыт	1	1
219	таком понимании	1	1
220	в своем	7	1
221	с тем	1	1
222	в значительной	2	1
223	входит в	4	1
224	для себя	3	1
225	стороны в	1	1
226	тем в	2	1
227	в последние	1	1
228	только при	1	1
229	одной стороны	3	1
230	широком и	1	1
231	именно к	1	1
232	мы имеем	7	1
233	на роль	1	1
234	для читателя	4	1
235	эстетической функции	1	1
236	композиции лирических	1	1
237	во мне	2	1
238	так он	1	1
239	начала и	1	1
240	об искусстве	2	1
241	в отдельности	1	1
242	искусства и	3	1
243	что по	1	1
244	их в	3	1
245	же в	1	1
246	является специфическая	1	1
247	не для	1	1
248	с самим	1	1
249	но по	1	1
250	или даже	4	1
251	впервые в	1	1
252	частности с	1	1
253	художественное впечатление	3	1
254	в порядке	3	1
255	всего только	1	1
256	отдельности и	1	1
257	и прежде	2	1
258	что основной	1	1
259	оно является	1	1
260	идет не	1	1
261	не вполне	2	1
262	на то	1	1
263	он и	2	1
264	природе и	1	1
265	полагая что	1	1
