N	2gram	Berdyaev_O	KulturaY
1	т е	4	102
2	и в	19	84
3	в том	5	74
4	потому что	9	68
5	не только	11	60
6	в этом	12	57
7	было бы	3	53
8	и не	13	52
9	может быть	11	47
10	что в	4	44
11	том что	2	44
12	того чтобы	4	44
13	в самом	5	41
14	для того	3	41
15	у нас	1	38
16	хотя бы	3	37
17	самом деле	1	37
18	так как	2	36
19	а не	11	33
20	если бы	1	32
21	можно было	1	32
22	не в	11	30
23	и пр	1	30
24	в его	7	30
25	прежде всего	9	30
26	все же	2	29
27	того что	3	28
28	все эти	4	28
29	уже не	1	26
30	в силу	1	26
31	то что	5	25
32	вовсе не	1	25
33	не может	4	25
34	вопрос о	10	24
35	еще не	3	24
36	так и	2	23
37	по себе	2	20
38	во всяком	1	20
39	и что	1	20
40	но и	13	20
41	тем что	2	19
42	о том	3	19
43	что он	3	19
44	что же	2	19
45	всяком случае	1	19
46	но в	2	19
47	и с	2	18
48	с тем	2	18
49	в сущности	1	18
50	как бы	3	18
51	все это	6	18
52	как это	1	17
53	что это	1	17
54	это не	3	17
55	в виду	1	16
56	что и	2	16
57	что не	4	16
58	ничего не	2	16
59	в русском	1	16
60	но не	1	16
61	не было	9	15
62	один из	1	15
63	ни к	1	15
64	того как	1	15
65	а в	5	15
66	лишь в	7	15
67	должно быть	2	15
68	в них	1	14
69	и на	2	14
70	сказать что	2	14
71	хотя и	2	14
72	в ней	1	14
73	также и	1	14
74	что она	1	13
75	в этой	5	13
76	не случайно	1	13
77	не могут	3	13
78	и его	4	13
79	могут быть	3	12
80	как в	1	12
81	этого слова	1	12
82	в своем	2	11
83	речи и	1	11
84	он не	7	11
85	в нем	10	11
86	и здесь	1	11
87	должна быть	1	11
88	и то	2	11
89	совершенно не	1	11
90	этом отношении	1	11
91	уже в	2	11
92	как и	6	10
93	к этому	2	10
94	бы в	1	10
95	ту же	1	10
96	после того	1	10
97	со стороны	1	10
98	бы и	1	10
99	от того	1	10
100	в своей	2	9
101	что все	2	9
102	в которой	2	9
103	и есть	3	9
104	не имеет	2	9
105	не потому	1	9
106	но это	1	9
107	и для	2	9
108	и вот	3	9
109	на то	1	9
110	в этих	3	8
111	может служить	1	8
112	что они	2	8
113	не есть	2	8
114	в своих	3	8
115	а потому	1	8
116	был бы	1	8
117	заключается в	1	8
118	да и	1	8
119	с его	4	8
120	на самом	1	8
121	и как	1	8
122	в частности	1	8
123	и о	2	8
124	само по	1	8
125	же и	1	7
126	например в	1	7
127	а именно	1	7
128	в котором	1	7
129	в одном	1	7
130	была бы	1	7
131	указать на	1	7
132	учение о	2	7
133	а с	1	7
134	в процессе	1	7
135	с ним	3	7
136	есть лишь	4	7
137	с ними	1	7
138	и более	1	7
139	в истории	2	7
140	как например	1	7
141	до конца	7	7
142	на этот	1	7
143	в самой	9	7
144	смысле этого	1	7
145	лишь с	1	7
146	нисколько не	1	7
147	не все	2	7
148	и потому	2	7
149	том случае	1	7
150	она не	1	7
151	когда он	3	7
152	в корне	1	6
153	отличается от	1	6
154	можно ли	2	6
155	вообще и	1	6
156	что как	1	6
157	в ее	2	6
158	от этого	1	6
159	тем же	1	6
160	в свое	1	6
161	в себе	3	6
162	мы не	1	6
163	как будто	1	6
164	это конечно	1	6
165	не с	1	6
166	чтобы не	1	6
167	как к	2	6
168	нуждается в	1	6
169	же это	2	6
170	и к	2	5
171	еще более	1	5
172	и даже	1	5
173	даже и	2	5
174	в другом	2	5
175	отметить что	1	5
176	вопросу о	1	5
177	никогда не	9	5
178	и он	8	5
179	чем в	2	5
180	в конце	1	5
181	у него	22	5
182	в форме	1	5
183	в иных	1	5
184	так что	2	5
185	не так	1	5
186	смысле слова	1	5
187	интерес к	1	5
188	в отношении	1	5
189	к его	1	5
190	то он	1	5
191	быть не	1	5
192	и тогда	1	5
193	на примере	1	5
194	а это	1	5
195	о нем	1	5
196	и от	3	5
197	это так	1	5
198	отношение к	5	5
199	вопросом о	2	5
200	есть не	1	5
201	науки о	1	4
202	о чем	1	4
203	одно из	2	4
204	эта не	1	4
205	к этой	2	4
206	этой речи	1	4
207	из них	1	4
208	к нему	3	4
209	всего в	2	4
210	но еще	1	4
211	иных случаях	1	4
212	его в	2	4
213	но он	7	4
214	будто бы	1	4
215	это есть	1	4
216	характер и	1	4
217	себе и	1	4
218	и это	1	4
219	в каждом	1	4
220	что для	2	4
221	и все	10	4
222	то в	1	4
223	сам по	1	4
224	я имею	1	4
225	отношения к	1	4
226	я хочу	1	4
227	не имеют	1	4
228	по сравнению	1	4
229	имею в	1	4
230	подойти к	2	4
231	различие между	3	4
232	и без	1	4
233	сразу же	2	4
234	к одному	1	4
235	в науке	1	4
236	все что	3	3
237	можно и	1	3
238	мысли и	3	3
239	не хочет	1	3
240	вопрос об	1	3
241	из самых	1	3
242	из всего	2	3
243	в одно	1	3
244	в это	1	3
245	и дело	1	3
246	совершенно ином	1	3
247	больше всего	1	3
248	за собой	1	3
249	всего что	1	3
250	все время	1	3
251	который в	1	3
252	на своем	1	3
253	одно только	1	3
254	дело что	1	3
255	под влиянием	1	3
256	в других	2	3
257	в том-то	1	3
258	на нем	1	3
