N	2gram	Bakhtin_sl	SlovoVZh
1	не может	27	16
2	может быть	40	14
3	точки зрения	24	14
4	как бы	16	13
5	и его	45	13
6	таким образом	16	12
7	и в	69	12
8	отношению к	2	11
9	по отношению	2	11
10	в нашем	1	11
11	и не	32	10
12	так как	7	9
13	если бы	1	9
14	прежде всего	14	8
15	для нас	7	7
16	сказать что	4	7
17	художественного произведения	1	7
18	все время	4	6
19	в ней	7	6
20	слова и	21	6
21	с помощью	5	6
22	в том	7	6
23	в процессе	14	6
24	только в	9	6
25	в нем	44	6
26	при этом	12	6
27	и др	17	5
28	можно сказать	2	5
29	что мы	1	5
30	героя и	5	5
31	хотя бы	6	5
32	должна быть	3	5
33	то же	17	5
34	поэтическое произведение	1	5
35	к предмету	4	5
36	а не	29	5
37	в виду	2	5
38	то что	2	5
39	в жизни	1	5
40	как и	8	5
41	как в	18	5
42	отнюдь не	1	5
43	том что	6	5
44	и следовательно	8	5
45	но в	13	5
46	никогда не	9	5
47	в самом	6	4
48	и к	9	4
49	к автору	2	4
50	высказывания как	2	4
51	в литературе	1	4
52	и на	17	4
53	свое выражение	3	4
54	не только	37	4
55	ни было	2	4
56	на самом	2	4
57	за пределы	6	4
58	от того	1	4
59	его в	7	4
60	мы все	2	4
61	с другой	8	4
62	не в	14	4
63	дело в	2	4
64	отношение к	8	4
65	что не	1	4
66	так и	22	4
67	уже не	5	4
68	жизни и	5	4
69	в этом	21	4
70	все же	10	4
71	зависимости от	4	4
72	к нему	7	4
73	поэтического произведения	1	3
74	бы то	1	3
75	как к	5	3
76	и с	10	3
77	находит свое	1	3
78	до сих	4	3
79	и более	3	3
80	в котором	2	3
81	автору и	1	3
82	и по	3	3
83	в поэзии	4	3
84	мы не	4	3
85	то ни	1	3
86	между тем	5	3
87	для него	8	3
88	отношении к	9	3
89	с ним	12	3
90	того что	4	3
91	быть и	6	3
92	и уже	1	3
93	тем не	2	3
94	в некоторых	3	3
95	все это	14	3
96	он должен	1	3
97	ни в	4	3
98	в пределах	27	3
99	сколько бы	1	3
100	конечно не	7	3
101	по себе	4	3
102	так же	2	3
103	в них	11	3
104	из общего	1	3
105	в каком	1	3
106	этой точки	1	3
107	только на	3	3
108	в себе	3	3
109	слово в	18	3
110	произведения и	2	3
111	все эти	15	3
112	о том	5	3
113	социальной группы	2	3
114	в своей	8	3
115	и герой	1	3
116	здесь не	6	3
117	не менее	4	3
118	из этого	3	3
119	и проч	4	3
120	нуждается в	3	3
121	да и	2	3
122	слово непосредственно	1	3
123	но и	37	3
124	бы мы	1	3
125	ведь и	1	3
126	и для	7	3
127	точек зрения	8	3
128	точка зрения	10	3
129	на границе	1	3
130	и ее	3	3
131	и наконец	9	3
132	сих пор	4	3
133	и вообще	2	3
134	формы и	3	3
135	не к	1	3
136	внутренней речи	3	3
137	еще не	9	3
138	в особенности	10	2
139	что в	3	2
140	все они	9	2
141	самое слово	2	2
142	к говорящему	1	2
143	истории литературы	1	2
144	нет ничего	1	2
145	перестает быть	2	2
146	слова так	2	2
147	но это	3	2
148	и потому	9	2
149	вместе со	2	2
150	и другие	3	2
151	смысл и	3	2
152	высказывание как	1	2
153	какой степени	1	2
154	и то	2	2
155	выражение в	4	2
156	социальной жизни	1	2
157	ясность и	1	2
158	мы можем	1	2
159	влияние на	3	2
160	и самое	3	2
161	в данном	5	2
162	в душе	1	2
163	произведение и	1	2
164	в то	17	2
165	еще раз	3	2
166	и поэтическое	3	2
167	не сможем	1	2
168	сливается с	6	2
169	к слову	2	2
170	разрыв между	1	2
171	на один	2	2
172	данном случае	3	2
173	высказывания с	1	2
174	со всех	1	2
175	нас и	1	2
176	в основном	7	2
177	с одной	7	2
178	уже в	2	2
179	высказывания и	3	2
180	там где	10	2
181	в его	19	2
182	с этой	3	2
183	она не	8	2
184	это не	8	2
185	идеологического творчества	3	2
186	одной стороны	7	2
187	автора и	6	2
188	как уже	2	2
189	довлеет себе	1	2
190	дело с	4	2
191	с точки	11	2
192	мы имеем	1	2
193	и дает	1	2
194	остаются вне	1	2
195	словом и	9	2
196	вещи и	1	2
197	нашего сознания	2	2
198	на него	1	2
199	тем как	1	2
200	всех моментов	1	2
201	кроме того	6	2
202	тогда когда	2	2
203	в себя	3	2
204	автором и	3	2
205	от всех	1	2
206	в формах	1	2
207	и слово	4	2
208	как это	3	2
209	те же	3	2
210	форму в	1	2
211	но все	2	2
212	от этой	3	2
213	и вражды	1	2
214	если же	1	2
215	одно и	3	2
216	из него	4	2
217	и что	2	2
218	что и	2	2
219	в отношении	9	2
220	в форме	3	2
221	и значение	1	2
222	почти исключительно	1	2
223	конечно в	2	2
224	другой стороны	5	2
225	слушателя как	1	2
226	но что	1	2
227	что поэт	1	2
228	и те	3	2
229	как не	1	2
230	в этих	8	2
231	есть уже	1	2
232	связь с	2	2
233	оно не	12	2
234	и притом	1	2
235	ко всем	1	2
236	но этот	1	2
237	на это	1	2
238	контекста в	2	2
239	имеем в	1	2
240	в материале	1	2
241	к ним	2	2
242	выходят за	1	2
243	и здесь	5	2
244	но конечно	1	2
245	как на	1	2
246	слова но	2	2
247	и все	9	2
248	кругозора и	1	2
249	но не	7	2
250	форму и	1	2
251	быть только	3	2
252	речи в	5	2
253	его как	3	2
254	не есть	2	2
255	могут быть	25	2
256	и оценки	2	2
257	героев и	2	2
258	с другими	8	2
259	в самое	1	2
260	до конца	25	2
261	не остается	2	2
262	стороны и	3	2
263	в своем	9	2
264	за его	2	2
265	в корне	1	2
266	в какой	2	2
267	вместе с	3	2
268	между ними	2	2
269	место в	2	2
270	в зависимости	4	2
271	к его	1	2
272	может стать	3	2
