N	3gram	Ircho_Kome	Vvedenie
1	и т д	4	39
2	для того чтобы	3	22
3	в том что	13	15
4	о том что	6	13
5	в этом смысле	2	10
6	тем не менее	2	9
7	до сих пор	3	7
8	мере в какой	1	6
9	в применении к	1	6
10	до н э	3	6
11	к выводу что	1	6
12	в то же	5	6
13	то же время	5	6
14	и т п	7	5
15	не что иное	1	5
16	что иное как	1	5
17	с другой стороны	6	5
18	во всяком случае	4	5
19	и в том	1	4
20	по отношению к	5	4
21	по сравнению с	1	4
22	так или иначе	4	4
23	само по себе	1	4
24	можно было бы	3	4
25	не только в	1	4
26	в данном случае	1	4
27	в отличие от	3	4
28	т е в	2	4
29	но все же	1	4
30	с одной стороны	5	4
31	в этом отношении	3	4
32	той или иной	1	3
33	большей или меньшей	1	3
34	вместе с тем	4	3
35	в чем же	1	3
36	и в самом	1	3
37	как мы видели	1	3
38	в зависимости от	1	3
39	можно говорить о	1	3
40	то же самое	2	3
41	в целом ряде	1	2
42	как будто бы	1	2
43	мы уже знаем	1	2
44	в до н	1	2
45	этой точки зрения	1	2
46	до наших дней	1	2
47	еще при жизни	1	2
48	что же касается	1	2
49	с этой точки	1	2
50	может быть в	1	2
51	только в том	1	2
52	как мы уже	1	2
53	состоит в том	1	2
54	не говоря уже	4	2
55	сам по себе	1	2
56	т д все	1	2
57	а между тем	1	2
58	смысле этого слова	1	2
59	в первом случае	1	2
60	в конце концов	4	2
61	по меньшей мере	2	2
62	точно так же	1	2
63	в соответствии с	2	2
64	iv в до	1	2
65	что в нем	1	2
66	подобно тому как	1	2
67	в связи с	3	2
68	во второй половине	3	2
69	на основании которого	1	2
70	к этому времени	3	2
71	после того как	3	2
72	обычно мы имеем	1	1
73	в действительности дело	1	1
74	дошедшие до нас	1	1
75	в и в	1	1
76	за ее пределами	1	1
77	соответствии с этим	1	1
78	в том же	1	1
79	с этим и	1	1
80	того обстоятельства что	1	1
81	на основании сохранившихся	1	1
82	вв до н	1	1
83	но и в	2	1
84	концу iv в	1	1
85	одной из этих	1	1
86	из дошедших до	1	1
87	как мы знаем	1	1
88	в их истории	1	1
89	как это было	1	1
90	не мог не	1	1
91	одного из наиболее	1	1
92	в принципе для	1	1
93	имеется в виду	1	1
94	и в дальнейшем	1	1
95	легко представить себе	1	1
96	о том каким	1	1
97	наряду с этим	1	1
98	в далеком прошлом	1	1
99	все же это	1	1
100	во всех отношениях	1	1
101	а в другом	1	1
102	и за ее	1	1
103	как один из	1	1
104	как видно из	2	1
105	в том числе	4	1
106	меньшей мере две	1	1
107	связи с этим	1	1
108	у него в	1	1
109	более или менее	1	1
110	во-вторых и это	1	1
111	в качестве примера	1	1
112	до тех пор	1	1
113	того или иного	1	1
114	в первой половине	2	1
115	в частности в	2	1
116	если бы и	1	1
117	в одном случае	1	1
118	как мы помним	1	1
119	возможность судить о	1	1
120	говоря уже о	4	1
121	потому что и	1	1
122	именно в отношении	1	1
123	именно в этой	1	1
124	это особенно важно	1	1
125	такого же рода	1	1
126	и в конце	1	1
127	этой целью он	1	1
128	о том насколько	2	1
129	именно потому что	2	1
130	но уже в	1	1
131	половине iv в	1	1
132	в достаточной степени	1	1
133	в обоих случаях	3	1
134	это было у	1	1
135	по поводу того	1	1
136	сомневаться в том	2	1
137	чтобы убедиться в	1	1
138	ближе всего к	1	1
139	точки зрения должен	1	1
140	так же как	1	1
141	следует что в	1	1
142	случаях имеется в	1	1
143	зрения должен был	1	1
144	только потому что	2	1
145	и прежде всего	1	1
146	античного мира в	1	1
147	том что в	1	1
148	только в начале	1	1
149	с самого начала	2	1
150	в нем не	1	1
151	ему надо было	1	1
152	том что он	4	1
153	дошедших до нас	4	1
154	одно из двух	1	1
155	то ни было	4	1
156	представление о том	2	1
157	то что у	1	1
158	к одной из	1	1
159	к тому что	3	1
160	и это особенно	1	1
161	в разной мере	1	1
162	в предисловии к	1	1
163	н э и	1	1
164	бы то ни	4	1
165	не последнее место	1	1
166	идет речь в	1	1
167	с этой целью	2	1
168	сплошь да рядом	2	1
169	в значительной степени	1	1
170	то что в	1	1
171	к концу iv	1	1
172	имеем дело с	1	1
173	по содержанию и	1	1
174	то в этот	1	1
175	в разной степени	1	1
176	потому что они	1	1
177	мы имеем дело	1	1
