N	2gram	Bakhtin_sl	Dialekti
1	не есть	2	181
2	и не	32	120
3	и т	56	82
4	по себе	4	79
5	а не	29	78
6	и в	69	77
7	т д	7	75
8	точки зрения	24	72
9	может быть	40	71
10	не только	37	66
11	то что	2	59
12	и есть	2	55
13	ничего не	5	54
14	не может	27	53
15	и даже	11	47
16	с точки	11	46
17	так как	7	46
18	потому что	2	45
19	не просто	2	44
20	как бы	16	43
21	и что	2	42
22	ни в	4	42
23	вовсе не	16	41
24	в том	7	40
25	в этом	21	39
26	то же	17	39
27	что такое	1	39
28	что она	1	38
29	в себе	3	38
30	что он	2	37
31	том что	6	37
32	прежде всего	14	37
33	так что	2	36
34	это не	8	36
35	что в	3	34
36	в нем	44	34
37	и все	9	33
38	того что	4	33
39	но и	37	32
40	все это	14	31
41	сказать что	4	30
42	отнюдь не	1	30
43	и как	3	30
44	было бы	3	29
45	так и	22	29
46	как и	8	28
47	никогда не	9	27
48	в виду	2	26
49	крайней мере	1	26
50	не в	14	26
51	по крайней	1	26
52	сама по	2	26
53	есть и	1	26
54	говорить о	2	25
55	и то	2	25
56	есть только	1	25
57	есть не	2	25
58	но это	3	24
59	если бы	1	24
60	таким образом	16	23
61	в то	17	23
62	это и	1	23
63	что оно	4	23
64	но что	1	22
65	что не	1	21
66	в чем	2	21
67	личности и	1	21
68	должна быть	3	21
69	она не	8	21
70	и с	10	20
71	о том	5	20
72	что и	2	20
73	что все	2	20
74	в таком	5	20
75	только в	9	20
76	в каком	1	20
77	совершенно не	2	20
78	уже не	5	20
79	как раз	3	20
80	и вообще	2	20
81	в самом	6	19
82	не менее	4	19
83	в своем	9	19
84	и притом	1	19
85	и это	1	19
86	как это	3	19
87	тогда когда	2	19
88	что мы	1	19
89	и его	45	19
90	же время	15	18
91	хотя бы	6	18
92	с другой	8	18
93	жизни и	5	18
94	в особенности	10	17
95	можно сказать	2	17
96	в сущности	18	17
97	той или	13	17
98	должно быть	3	17
99	в основе	8	17
100	но если	1	17
101	кроме того	6	16
102	одно и	3	16
103	к нему	7	16
104	только не	2	16
105	тем не	2	16
106	в своей	8	16
107	да и	2	16
108	нет ничего	1	16
109	конечно не	7	16
110	мы не	4	16
111	об этом	1	16
112	же и	4	15
113	все же	10	15
114	так же	2	15
115	то в	2	15
116	несмотря на	2	15
117	мы уже	4	15
118	но только	1	15
119	как таковой	1	15
120	не мешает	1	15
121	хотя и	4	15
122	сознания и	1	15
123	в виде	4	15
124	также и	5	15
125	быть и	6	15
126	и о	3	15
127	на то	2	15
128	или нет	1	14
129	а именно	2	14
130	даже и	4	14
131	с ним	12	14
132	не было	4	14
133	и ее	3	14
134	ни с	1	14
135	жизнь и	1	14
136	и потому	9	14
137	и только	2	14
138	и к	9	13
139	говорит о	1	13
140	другой стороны	5	13
141	отличается от	3	13
142	что они	2	13
143	время как	2	13
144	и следовательно	8	13
145	в смысле	7	13
146	он не	5	13
147	с ее	6	13
148	ни о	2	13
149	но в	13	13
150	в ней	7	13
151	именно в	5	12
152	и нет	3	12
153	с этим	5	12
154	но как	2	12
155	но не	7	12
156	даже не	1	12
157	могут быть	25	12
158	не могут	7	12
159	перед нами	7	12
160	еще не	9	12
161	и если	1	12
162	все равно	1	12
163	всегда есть	1	12
164	все эти	15	12
165	тем более	1	12
166	и ни	1	12
167	и может	4	12
168	а в	10	12
169	в них	11	11
170	как только	4	11
171	в данном	5	11
172	только на	3	11
173	быть в	1	11
174	не о	1	11
175	и тем	3	11
176	из них	3	11
177	тех или	1	11
178	не значит	2	11
179	та же	1	11
180	мы говорим	1	11
181	от того	1	11
182	ничем не	1	11
183	мы имеем	1	11
184	или в	10	11
185	есть в	1	11
186	нисколько не	3	11
187	его не	4	11
188	во всем	3	10
189	в душе	1	10
190	с этой	3	10
191	одно из	1	10
192	в результате	4	10
193	в жизни	1	10
194	к тому	3	10
195	во всяком	9	10
196	только как	2	10
197	для того	2	10
198	на себе	2	10
199	в меру	1	10
200	мы видим	2	10
201	то или	1	10
202	в ее	2	10
203	от этого	2	10
204	и для	7	10
205	если же	1	10
206	или иное	1	10
207	что для	1	10
208	чтобы не	1	10
209	за пределы	6	10
210	оно не	12	10
211	то и	1	10
212	нет никакой	2	10
213	если мы	2	10
214	только о	2	10
215	в его	19	10
216	возможно только	1	10
217	в их	6	10
218	поэтический образ	1	10
219	это было	2	10
220	в частности	3	10
221	как мы	15	10
222	может и	1	10
223	и уже	1	10
224	мир как	1	9
225	при этом	12	9
226	тому что	2	9
227	случае не	2	9
228	не как	4	9
229	в этих	8	9
230	и на	17	9
231	мир и	1	9
232	в котором	2	9
233	в одном	4	9
234	точка зрения	10	9
235	и он	1	9
236	мы можем	1	9
237	же как	2	9
238	бы в	1	9
239	на этом	4	9
240	иметь в	1	9
241	и по	3	9
242	утверждать что	1	9
243	с ними	8	9
244	то время	2	9
245	как о	2	9
246	и более	3	9
247	той же	3	9
248	всех этих	8	9
249	и от	5	9
250	или иной	13	9
251	смысл и	3	9
252	выйти за	1	9
253	как он	2	9
254	лишь как	3	9
255	в истории	6	9
256	от него	5	8
257	она всегда	1	8
258	даже в	4	8
259	вещи и	1	8
260	в разных	3	8
261	и говорить	1	8
262	в отношении	9	8
263	вопрос об	1	8
264	но все	2	8
265	при условии	1	8
266	чего не	1	8
267	всегда и	1	8
268	нет и	1	8
269	все время	4	8
270	себя в	14	8
271	с одной	7	8
272	как миф	1	8
273	и чисто	5	8
274	в этой	1	8
275	или иначе	2	8
276	в одной	2	8
277	один из	9	8
278	не на	6	8
279	как не	1	8
280	в сфере	2	8
281	в поэзии	4	8
282	у нас	2	8
283	на самом	2	8
284	бы и	6	8
285	не суть	1	8
286	как таковая	1	8
287	и без	1	8
288	только и	3	8
289	того или	2	8
290	бы только	2	8
291	но она	2	8
292	если она	2	8
293	все что	1	7
294	мы и	2	7
295	есть именно	1	7
296	тем что	1	7
297	зависимости от	4	7
298	но он	4	7
299	мира и	4	7
300	на первый	1	7
301	и образ	2	7
302	не всегда	1	7
303	как на	1	7
304	он сам	1	7
305	что уже	1	7
306	связи с	4	7
307	не знает	3	7
308	в конце	1	7
309	в связи	2	7
310	в мире	1	7
311	а только	1	7
312	то ни	1	7
313	с какой	1	7
314	его как	3	7
315	и ничего	1	7
316	его с	1	7
317	и при	2	7
318	становление и	1	7
319	так или	1	7
320	сами по	1	7
321	заключается в	1	7
322	отношения к	3	7
323	как в	18	7
324	со стороны	1	7
325	ничего нет	1	7
326	только одно	1	7
327	и об	1	7
328	без всякого	2	7
329	с его	8	7
330	он должен	1	7
331	и где	1	7
332	эти две	1	7
333	и их	6	7
334	из этих	3	7
335	нуждается в	3	7
336	эти два	1	7
337	о чем	1	6
338	у пушкина	1	6
339	более или	5	6
340	уже в	2	6
341	одной стороны	7	6
342	в другом	4	6
343	в себя	3	6
344	когда она	2	6
345	если нет	1	6
346	образ и	1	6
347	сущности и	2	6
348	в зависимости	4	6
349	одна из	6	6
350	во всех	25	6
351	она в	1	6
352	для своего	1	6
353	по своей	2	6
354	в которой	4	6
355	быть только	3	6
356	себя как	2	6
357	именно как	3	6
358	от самого	1	6
359	можно было	2	6
360	смысла и	6	6
361	друг другу	2	6
362	от всякого	2	6
363	с полной	1	6
364	и они	1	6
365	вместе с	3	6
366	себя и	2	6
367	может не	9	6
368	о котором	1	6
369	того чтобы	1	6
370	на основании	1	6
371	разную степень	1	6
372	мог бы	1	6
373	всяком случае	7	6
374	для него	8	6
375	о нем	6	6
376	они не	3	6
377	того как	2	6
378	того и	1	6
379	то мы	1	6
380	с их	1	6
381	знания и	1	6
382	но с	1	6
383	по существу	3	6
384	вообще не	4	6
385	чтобы быть	1	6
386	может только	1	6
387	по своему	2	6
388	его в	7	6
389	или менее	5	6
390	как все	1	6
391	бы ни	3	6
392	может иметь	3	6
393	и почти	3	6
394	только так	1	6
395	дело не	2	6
396	не с	5	6
397	стороны и	3	6
398	и времени	1	6
399	на всю	3	6
400	при всем	3	6
401	и часто	7	6
402	этой точки	1	6
403	в один	2	6
404	отношение к	8	6
405	и прежде	1	6
406	для этого	4	6
407	и совершенно	1	6
408	в той	13	5
409	до сих	4	5
410	их не	1	5
411	или на	2	5
412	если он	1	5
413	например в	6	5
414	что по	1	5
415	в одно	2	5
416	тем или	1	5
417	в это	1	5
418	речь идет	1	5
419	но мы	2	5
420	или только	1	5
421	но даже	1	5
422	от личности	1	5
423	и той	2	5
424	одной и	1	5
425	не обязательно	1	5
426	как таковую	1	5
427	и еще	1	5
428	смысле не	1	5
429	можем сказать	1	5
430	к этому	3	5
431	и становится	2	5
432	гораздо более	1	5
433	все его	4	5
434	души и	1	5
435	в качестве	4	5
436	есть еще	1	5
437	что его	1	5
438	что под	1	5
439	и она	2	5
440	в свете	3	5
441	есть своя	1	5
442	и у	2	5
443	сих пор	4	5
444	действительности и	1	5
445	оно и	4	5
446	на нем	2	5
447	также не	1	5
448	своей и	1	5
449	чаще всего	1	5
450	же мы	1	5
451	независимо от	1	5
452	в него	9	5
453	одного и	1	5
454	даны в	1	5
455	и так	1	5
456	состоит из	1	5
457	которая не	3	5
458	это может	2	5
459	не является	3	5
460	в течение	1	5
461	сознание и	4	5
462	явления и	2	5
463	только один	1	5
