N	3gram	Tiupa_Hudo	PoTuStor
1	с точки зрения	5	6
2	на самом деле	1	4
3	с самого начала	1	4
4	до сих пор	3	3
5	не может быть	5	3
6	в чем не	1	3
7	в этом смысле	1	3
8	во всяком случае	1	3
9	можно сказать что	1	3
10	ни в чем	1	3
11	в конечном счете	4	2
12	так же как	2	2
13	о том что	14	2
14	в самом деле	5	2
15	не нуждается в	1	2
16	и в этом	3	2
17	одних и тех	2	1
18	так и в	1	1
19	в том что	15	1
20	друг с другом	1	1
21	мы знаем что	1	1
22	для него уже	1	1
23	к отцу и	1	1
24	и быть не	1	1
25	и та же	1	1
26	в этом и	2	1
27	не чем иным	1	1
28	дело в том	1	1
29	мы узнаем о	1	1
30	а в конце	1	1
31	той или иной	1	1
32	в этой плоскости	1	1
33	мы уже знаем	2	1
34	подобно тому как	4	1
35	можно было бы	5	1
36	прежде всего на	1	1
37	все что угодно	1	1
38	только для того	1	1
39	в данном случае	3	1
40	как мы знаем	1	1
41	в этот момент	1	1
42	в том смысле	1	1
43	что на этом	2	1
44	в себя и	1	1
45	самом деле в	2	1
46	чем иным как	1	1
47	же как и	2	1
48	уже знаем что	1	1
49	этой точки зрения	1	1
50	в высшей степени	1	1
51	в свое время	1	1
52	одна и та	1	1
53	на первый взгляд	1	1
54	с этой точки	1	1
55	то же самое	3	1
56	нет и быть	1	1
57	для того чтобы	2	1
58	а с другой	1	1
59	и она не	1	1
60	с одной стороны	4	1
61	то что я	2	1
62	на этом пути	1	1
63	именно то что	1	1
64	говорили что на	1	1
65	в этом отношении	4	1
66	нет ничего удивительного	1	1
67	ни в ком	1	1
68	связи с этим	2	1
69	и тех же	2	1
70	на наших глазах	1	1
71	сих пор еще	1	1
72	бы то ни	1	1
73	имеем дело с	1	1
74	в связи с	3	1
75	уже не может	1	1
76	может быть только	1	1
