N	2gram	Medvedev_I	Dialekti
1	и не	2	120
2	и в	1	77
3	ничего не	2	54
4	стало быть	1	44
5	в этом	2	39
6	что в	2	34
7	того что	1	33
8	все это	1	31
9	так и	1	29
10	никогда не	1	27
11	говорить о	1	25
12	есть только	1	25
13	если бы	1	24
14	я не	1	22
15	и с	3	20
16	с другой	1	18
17	жизни и	1	18
18	в основе	1	17
19	только что	1	15
20	и о	1	15
21	же это	1	14
22	другой стороны	1	13
23	он не	2	13
24	и та	1	13
25	все эти	1	12
26	а в	1	12
27	в них	1	11
28	как только	1	11
29	нисколько не	1	11
30	для того	1	10
31	от этого	1	10
32	что для	1	10
33	то и	1	10
34	это было	1	10
35	бы в	1	9
36	как о	1	9
37	а если	1	9
38	так то	1	8
39	себя в	1	8
40	и без	1	8
41	тем что	1	7
42	и ничего	1	7
43	того чтобы	1	6
44	для него	1	6
45	по существу	1	6
46	и еще	1	5
47	от нее	1	5
48	без этого	1	5
49	вплоть до	1	5
50	и очень	1	4
51	факты и	1	4
52	только для	1	4
53	о ней	1	4
54	со всеми	1	4
55	очевидно что	1	3
56	бы все	1	3
57	в первую	1	3
58	то она	1	3
59	понятий и	1	3
60	нечто и	1	3
61	а с	1	3
62	не дает	1	3
63	не так	1	3
64	утверждает что	1	3
65	следовательно в	1	3
66	странное и	1	3
67	тех же	1	3
68	ибо и	1	3
69	должен быть	2	3
70	данной личности	1	3
71	он с	1	3
72	и сам	1	2
73	на котором	1	2
74	бы что	2	2
75	к отцу	1	2
76	не остается	1	2
77	а для	1	2
78	оба они	2	2
79	и др	1	2
80	его личности	1	2
81	и многое	1	2
82	бы его	1	2
83	но когда	1	2
84	цель и	1	2
85	нее и	1	2
86	во многом	1	2
87	в целом	1	2
88	творчества пушкина	1	1
89	самого себя	2	1
90	что последний	1	1
91	и творчества	1	1
92	другое дело	1	1
93	ясно а	1	1
94	доказать что	1	1
95	его цель	1	1
96	стали бы	1	1
97	следующим образом	1	1
98	видит в	1	1
99	этим и	1	1
100	с жизнью	1	1
101	слишком много	1	1
102	в эту	1	1
103	только общее	1	1
104	не смерть	1	1
105	мы стали	1	1
106	в половом	1	1
107	того же	1	1
108	них не	1	1
109	пушкина и	1	1
110	первую очередь	1	1
111	хорошо знать	1	1
112	и имеется	1	1
113	и тот	1	1
114	нам в	1	1
115	все четыре	1	1
116	к нам	1	1
117	ничего в	1	1
118	увидел бы	1	1
119	введение в	1	1
120	и идей	1	1
121	остается как	1	1
122	гипотеза и	1	1
123	у всех	1	1
124	а также	1	1
125	о жизни	1	1
126	а по	1	1
127	она ничего	1	1
