N	4gram	Bakhtin_Pr	DiskursI
1	в то же время	8	8
2	состоит в том что	1	7
3	дело в том что	2	5
4	в том числе и	13	3
5	одно и то же	1	3
6	и не может быть	5	2
7	одной и той же	1	2
8	и в то же	3	2
9	одним и тем же	1	2
10	и не могло быть	1	1
11	всегда сохраняются неумирающие элементы	1	1
12	жанре всегда сохраняются неумирающие	1	1
13	подняться к его истокам	1	1
14	не было и не	1	1
15	сохраняется в нем только	1	1
16	не что иное как	1	1
17	в целом и в	1	1
18	и диалогические отношения говорящего	1	1
19	благодаря постоянному ее обновлению	1	1
20	большей или меньшей степени	5	1
21	а также и в	1	1
22	памяти в процессе литературного	1	1
23	с самим собою в	1	1
24	но в большинстве случаев	1	1
25	в той или иной	1	1
26	в большей или меньшей	5	1
27	в каждом индивидуальном произведении	1	1
28	говорящего к собственному слову	1	1
29	в процессе литературного развития	1	1
30	числе и диалогические отношения	1	1
31	отношения в том числе	1	1
32	диалогические отношения в том	1	1
33	нет и не может	3	1
34	том числе и диалогические	1	1
35	можно даже сказать что	1	1
36	сохраняются неумирающие элементы архаики	1	1
37	в нем только благодаря	1	1
38	к одному и тому	2	1
39	или во всяком случае	1	1
40	творческой памяти в процессе	1	1
41	было и не могло	1	1
42	с большей или меньшей	1	1
43	диалогические отношения говорящего к	1	1
44	только благодаря постоянному ее	1	1
45	по мере того как	1	1
46	но в таком случае	1	1
47	дистанцию по отношению к	1	1
48	мы имеем дело с	1	1
49	для правильного понимания жанра	1	1
50	отношения говорящего к собственному	1	1
51	в жанре всегда сохраняются	1	1
52	необходимо подняться к его	1	1
53	в строгом смысле а	1	1
54	нем только благодаря постоянному	1	1
55	одному и тому же	2	1
56	здесь как и в	1	1
57	о том что было	1	1
58	в особое отношение к	1	1
59	есть не что иное	1	1
