N	2gram	Vinokur_Ku	StatiiOP
1	и в	44	103
2	в том	47	89
3	том что	30	77
4	в этом	31	76
5	что в	25	74
6	не только	29	60
7	и т	62	51
8	о том	10	47
9	но и	13	46
10	то что	14	44
11	что он	7	42
12	в его	16	42
13	и не	23	41
14	может быть	25	38
15	т е	54	33
16	было бы	28	32
17	т д	21	32
18	в этой	8	31
19	вовсе не	18	31
20	тем что	9	29
21	все это	10	29
22	таким образом	17	28
23	в г	3	28
24	а в	7	27
25	а не	17	27
26	но в	11	26
27	что это	11	25
28	так и	10	25
29	пушкина как	1	24
30	этом отношении	8	24
31	и его	8	24
32	в академическом	1	23
33	все же	17	23
34	точки зрения	25	23
35	не в	18	23
36	так что	5	23
37	потому что	40	23
38	пушкин в	1	22
39	для того	23	22
40	в которой	7	22
41	как в	6	22
42	того что	11	22
43	прежде всего	14	22
44	у нас	19	22
45	в области	15	22
46	и пр	23	21
47	того чтобы	25	21
48	до сих	5	20
49	это не	13	20
50	в своей	4	19
51	сих пор	5	19
52	т п	39	19
53	в то	4	19
54	только в	15	19
55	в котором	4	18
56	с другой	14	18
57	пушкина на	1	18
58	он не	4	18
59	но также	6	18
60	пушкин и	2	18
61	об этом	4	18
62	не может	13	18
63	в самом	20	17
64	в году	3	17
65	как на	4	17
66	между прочим	4	17
67	самом деле	17	17
68	в россии	1	17
69	пушкина но	1	17
70	как бы	11	17
71	в данном	8	17
72	в этих	5	16
73	с этим	6	16
74	сказать что	5	16
75	можно было	14	16
76	в статье	3	16
77	если бы	21	16
78	в ней	6	16
79	г и	1	16
80	другой стороны	12	15
81	с тем	5	15
82	как и	3	15
83	по поводу	2	15
84	из этих	5	15
85	у него	3	15
86	я не	5	15
87	и на	8	15
88	например в	5	15
89	в отношении	2	15
90	как раз	10	15
91	для него	2	15
92	также и	7	15
93	то же	12	14
94	но все	5	14
95	так например	3	14
96	к тому	8	14
97	я думаю	1	14
98	с точки	16	14
99	между тем	11	14
100	и что	11	14
101	была бы	5	14
102	в той	6	13
103	именно в	7	13
104	во всяком	8	13
105	в своем	4	13
106	из них	4	13
107	в качестве	12	13
108	а с	3	13
109	в конце	5	13
110	в нем	7	13
111	в языке	16	13
112	вместе с	8	13
113	со стороны	8	13
114	всяком случае	8	13
115	но это	4	13
116	дело в	2	13
117	что касается	4	13
118	жизни и	1	13
119	тому что	3	13
120	в своих	2	12
121	не менее	12	12
122	хотя бы	19	12
123	что у	3	12
124	обстоятельство что	15	12
125	ни в	3	12
126	как например	3	12
127	так как	16	12
128	что они	5	12
129	в них	10	11
130	в другом	2	11
131	никогда не	2	11
132	не было	6	11
133	ясно что	7	11
134	и с	11	11
135	и по	4	11
136	своего рода	4	11
137	из его	1	11
138	того как	6	11
139	вопрос о	11	11
140	все эти	17	11
141	это было	2	11
142	то обстоятельство	15	11
143	на то	6	11
144	думаю что	4	10
145	кроме того	2	10
146	не столько	2	10
147	в виду	7	10
148	связь с	1	10
149	речь идет	4	10
150	так же	8	10
151	отметить что	1	10
152	в целом	5	10
153	что такое	8	10
154	что и	5	10
155	xix века	5	10
156	это слово	7	10
157	но он	2	10
158	во всех	1	10
159	а как	1	10
160	в каком	6	10
161	в истории	3	10
162	же время	4	10
163	ничего не	6	10
164	ответ на	2	10
165	на самом	3	10
166	по словам	1	10
167	но не	11	10
168	во второй	1	10
169	в частности	6	10
170	в начале	1	10
171	и к	1	9
172	с этой	4	9
173	говорит о	1	9
174	мне кажется	2	9
175	интересно что	2	9
176	можно сказать	6	9
177	он был	1	9
178	в одном	4	9
179	говорит что	1	9
180	внимание на	5	9
181	несмотря на	6	9
182	письме к	2	9
183	и это	3	9
184	в чем	2	9
185	в каждом	3	9
186	ср в	2	9
187	и тем	7	9
188	что эта	1	9
189	вряд ли	5	9
190	не является	2	9
191	такого рода	1	9
192	сам пушкин	1	9
