N	4gram	Voloshinov	Marksizm
1	в то же время	1	15
2	бы то ни было	3	12
3	но в то же	1	9
4	на самом же деле	1	5
5	и не может быть	1	5
6	так как если бы	4	4
7	каких бы то ни	1	4
8	не может быть и	2	4
9	с одной стороны и	2	3
10	все более и более	1	3
11	один и тот же	1	3
12	одно и то же	2	3
13	одним и тем же	1	3
14	какой бы то ни	1	3
15	от каких бы то	1	2
16	ни в коем случае	1	2
17	одна и та же	1	2
18	же самое справедливо и	2	2
19	так же как и	1	2
20	находит свое выражение в	1	2
21	самое справедливо и относительно	1	2
22	то же самое справедливо	2	2
23	но тем не менее	2	1
24	справедливо и относительно всех	1	1
25	в коем случае нельзя	1	1
26	как мы уже сказали	1	1
27	внутренней и внешней речи	1	1
28	до сих пор мы	1	1
29	дело в том что	4	1
30	социальной группы к которой	1	1
31	по себе в своей	1	1
32	и по отношению к	3	1
33	ни в какой степени	1	1
34	бы оно ни было	1	1
35	по отношению к ним	1	1
36	бы они ни были	1	1
37	группы к которой принадлежит	1	1
38	в процессе социального взаимодействия	1	1
39	более или менее широким	1	1
40	не может быть понято	1	1
41	сами по себе в	1	1
42	в самом деле в	1	1
43	следовательно только в процессе	1	1
44	ни на один миг	1	1
45	в том что все	1	1
46	является в настоящее время	1	1
47	до сих пор не	1	1
48	в какой степени не	1	1
49	той социальной группы к	1	1
