N	4gram	Vinokur_Ku	slovoVRo
1	в то же время	4	18
2	и т п в	2	8
3	и в то же	1	6
4	большей или меньшей степени	2	4
5	в большей или меньшей	2	4
6	в каждый данный момент	1	4
7	и т п все	2	3
8	одно и то же	1	3
9	с этой точки зрения	3	2
10	в том и в	1	2
11	том и в другом	1	2
12	и в том и	1	2
13	и т п и	2	2
14	не для того чтобы	1	2
15	и то же слово	1	2
16	и с другой стороны	1	2
17	и в другом случае	1	2
18	и т п но	1	2
19	мы имеем в виду	1	1
20	в том случае если	3	1
21	в том что она	1	1
22	слова не только в	1	1
23	не укладывается в прокрустово	1	1
24	все же и здесь	1	1
25	и т п наконец	1	1
26	все дело в том	1	1
27	и т п например	1	1
28	дело в том что	1	1
29	а в том что	2	1
30	лишь тогда когда он	1	1
31	и т п так	2	1
32	одной и той же	1	1
33	в своей книге о	1	1
34	с точки зрения стилистики	1	1
35	в русском языке но	1	1
36	но во всяком случае	1	1
37	хотя бы и не	1	1
38	в том что оно	2	1
39	или меньшей степени все	1	1
40	имеем в виду не	1	1
41	в том что он	3	1
42	но с другой стороны	1	1
43	все более и более	1	1
44	бы то ни было	1	1
45	но все же и	1	1
46	к началу xix века	1	1
47	и с точки зрения	1	1
48	в узком смысле слова	1	1
49	на том же языке	1	1
50	во всех этих случаях	1	1
51	даже и там где	1	1
52	укладывается в прокрустово ложе	1	1
53	в одно и то	1	1
54	находит свое выражение в	1	1
