N	4gram	Bakhtin_Fr	Tvorches
1	в то же время	13	24
2	и в то же	2	6
3	но в то же	7	6
4	дело в том что	2	4
5	и не может быть	1	3
6	нет и не может	1	2
7	в том числе и	3	2
8	в том же году	1	2
9	то же время он	1	2
10	и в литературе в	1	1
11	о войне и мире	1	1
12	на самом же деле	1	1
13	не что иное как	1	1
14	и в другом месте	1	1
15	только то что может	1	1
16	все более и более	1	1
17	на мир и на	1	1
18	да и в других	1	1
19	то что может быть	1	1
20	одного и того же	1	1
21	или во всяком случае	1	1
22	мы уже говорили что	1	1
23	на протяжении всего романа	1	1
24	мы имеем в виду	2	1
25	до сих пор еще	2	1
26	начала и до конца	7	1
27	бы то ни было	1	1
28	так и в литературе	1	1
29	то же время они	1	1
30	можно было бы перевести	1	1
