N	3gram	Losev_Vesc	Myslijsy
1	в том что	9	47
2	не может быть	22	19
3	тем не менее	11	18
4	только тогда когда	2	17
5	по крайней мере	10	17
6	и т д	36	15
7	сам по себе	4	14
8	само по себе	4	14
9	в свою очередь	5	14
10	не в том	1	13
11	то же время	4	13
12	от того что	4	13
13	в том смысле	1	13
14	в то же	5	13
15	более или менее	4	12
16	смысле этого слова	1	12
17	с другой стороны	3	12
18	и в этом	2	12
19	до сих пор	1	12
20	только в том	1	12
21	во всяком случае	2	12
22	для того чтобы	2	11
23	сами по себе	3	11
24	а в том	1	11
25	подобно тому как	5	11
26	в то время	4	10
27	с одной стороны	3	10
28	то что я	2	10
29	одного и того	1	9
30	и того же	1	9
31	то и другое	6	9
32	на то что	7	9
33	но и в	1	9
34	о том что	4	9
35	мы не можем	3	9
36	что и в	1	9
37	вместе с тем	3	8
38	только потому что	1	8
39	как бы ни	2	8
40	в этом случае	1	8
41	с тем что	1	8
42	в этом смысле	2	7
43	и то же	5	7
44	не только не	4	7
45	сама по себе	7	7
46	с точки зрения	6	7
47	можно сказать что	3	7
48	не в состоянии	1	7
49	одно и то	5	7
50	не только в	5	7
51	и как бы	1	6
52	есть для меня	1	6
53	может быть только	6	6
54	то же самое	1	6
55	то что мы	3	6
56	и может быть	1	6
57	не было бы	1	6
58	по себе а	1	5
59	таким образом что	1	5
60	и таким образом	2	5
61	к тому что	2	5
62	не то что	1	5
63	с этим последним	1	5
64	в одно целое	1	5
65	то что в	1	5
66	в ряду других	1	5
67	и то что	5	5
68	мы видели что	3	4
69	мы не знаем	1	4
70	и тот же	1	4
71	все то что	2	4
72	том смысле что	1	4
73	в собственном смысле	3	4
74	с этой точки	3	4
75	что только в	2	4
76	не могла бы	1	4
77	в данном случае	2	4
78	быть не может	1	4
79	или по крайней	2	4
80	в том чтобы	2	4
81	один и тот	1	4
82	и в самом	1	4
83	что не только	1	4
84	не что иное	12	4
85	дело в том	4	4
86	далеко не все	1	4
87	так что в	3	4
88	и то и	1	4
89	не есть ни	12	4
90	что иное как	12	4
91	в этом отношении	2	4
92	вопрос о том	2	4
93	то время как	4	4
94	это было бы	1	4
95	что он не	1	3
96	как и во	1	3
97	одной стороны и	1	3
98	в одном и	2	3
99	в применении к	2	3
100	между собою так	1	3
101	зрения и слуха	1	3
102	потому что оно	1	3
103	та и другая	1	3
104	я и не	2	3
105	хотя бы и	2	3
106	это не значит	1	3
107	так или иначе	5	3
108	том что он	2	3
109	не есть еще	2	3
110	в первом случае	2	3
111	с этой стороны	1	3
112	и том же	1	3
113	а потому что	1	3
114	и та и	1	3
115	по себе и	1	3
116	а не в	2	3
117	в связи с	1	3
118	бы то ни	12	3
119	одном и том	1	3
120	но так как	1	3
121	и это есть	1	3
122	между собою и	3	3
123	равно как и	4	3
124	представим себе что	1	3
125	заключается в том	3	3
126	того что мы	1	3
127	не есть только	5	3
128	что то же	2	3
129	внутренняя форма слова	1	3
130	когда мы говорим	1	3
131	из того что	3	3
132	не вдаваясь в	1	3
133	потому что он	1	3
134	можно было бы	3	3
135	есть то что	4	3
136	этой точки зрения	3	3
137	а так как	2	3
138	это потому что	1	3
139	и звук и	1	3
140	потому что я	2	2
141	то и в	1	2
142	а можно только	1	2
143	что у нас	1	2
144	том что это	1	2
145	в себе в	4	2
146	о том как	4	2
147	что в ней	3	2
148	что оно не	1	2
149	у нас в	2	2
150	и во всех	1	2
151	на этом основании	1	2
152	можем потому что	1	2
153	было бы мало	1	2
154	того что в	1	2
155	потому что только	1	2
156	хотя бы даже	2	2
157	что как бы	1	2
158	есть прежде всего	4	2
159	не иначе как	1	2
160	только один из	2	2
161	даже и в	1	2
162	быть не только	2	2
163	то или другое	2	2
164	в действительности не	1	2
165	имеет дело с	1	2
166	нельзя сказать что	2	2
167	и говорить о	1	2
168	из самого себя	1	2
169	но все же	2	2
170	только то что	3	2
171	то ни было	12	2
172	это значит что	25	2
173	с ними в	1	2
174	можем ли мы	1	2
175	и не может	1	2
176	мы имеем дело	2	2
177	в себе или	2	2
178	того что она	2	2
179	в себе никаких	1	2
180	в ней самой	1	2
181	так что мы	1	2
182	но и для	1	2
183	т д то	1	2
184	и потому что	1	2
185	вбирает в себя	3	2
186	не можем потому	1	2
187	мы говорим что	3	2
188	не есть нечто	1	2
189	того что они	1	2
190	и здесь как	1	2
191	не нуждается в	1	2
192	здесь как и	1	2
193	в свое время	2	2
194	не потому что	5	2
195	это не будет	1	2
196	и не в	3	2
197	не только к	2	2
198	а следовательно и	2	2
199	что есть в	2	2
