N	2gram	Tiupa_Vved	Freidism
1	таким образом	6	34
2	и не	24	34
3	точки зрения	1	31
4	не может	14	30
5	в этом	27	28
6	может быть	25	28
7	и в	23	28
8	прежде всего	11	26
9	в его	9	25
10	и его	9	22
11	с помощью	1	20
12	мы можем	2	20
13	как бы	8	19
14	как мы	5	18
15	то что	9	17
16	вовсе не	1	16
17	точка зрения	3	15
18	все эти	1	15
19	с ним	3	14
20	в своей	10	14
21	так и	14	14
22	самом деле	6	14
23	и все	8	13
24	как и	21	13
25	по отношению	11	13
26	но в	14	13
27	во всех	2	13
28	в самом	6	12
29	то же	8	12
30	что он	2	12
31	том что	16	12
32	точку зрения	2	12
33	для него	5	12
34	все это	3	12
35	и потому	2	12
36	и наконец	2	12
37	мы видели	3	12
38	только в	9	11
39	сказать что	1	11
40	отношению к	11	11
41	его в	1	11
42	все что	3	10
43	один из	3	10
44	не только	32	10
45	и с	2	10
46	но и	31	10
47	что же	6	10
48	тот же	1	10
49	никогда не	6	10
50	в том	21	10
51	он не	6	10
52	не в	12	10
53	и на	5	9
54	те же	2	9
55	уже не	7	9
56	во всяком	3	9
57	совершенно не	2	9
58	мы не	6	9
59	с его	1	9
60	к этому	3	9
61	к нему	2	9
62	в чем	2	9
63	а не	31	9
64	мы должны	1	9
65	и др	2	9
66	могут быть	5	9
67	при этом	43	8
68	все же	10	8
69	еще не	8	8
70	было бы	4	8
71	и вот	3	8
72	а в	15	8
73	с другими	1	8
74	на этом	1	8
75	в ней	5	8
76	оно и	1	8
77	всяком случае	3	8
78	что в	6	7
79	и к	2	7
80	не могут	1	7
81	связь с	1	7
82	в жизни	7	7
83	роль в	2	7
84	так сказать	2	7
85	его жизни	1	7
86	хотя бы	2	7
87	если мы	1	7
88	до конца	5	7
89	что все	1	7
90	и для	8	7
91	из них	1	7
92	на протяжении	2	7
93	сознания с	1	7
94	того что	7	7
95	не является	7	7
96	но не	9	7
97	об этом	5	7
98	и у	2	7
99	с самого	1	7
100	в нем	9	7
101	быть и	2	7
102	к смерти	1	7
103	в этой	2	7
