N	3gram	Nazirov_Vr	Tragedij
1	то же время	4	5
2	в то же	4	5
3	в том что	2	2
4	отцы и дети	2	2
5	но в то	2	2
6	в году в	2	2
7	точно так же	1	2
8	по сей день	1	2
9	преступлении и наказании	1	2
10	о том что	1	2
11	из мертвого дома	1	2
12	и в самом	1	2
13	достоевский в бесах	2	2
14	в преступлении и	1	2
15	мертвого дома и	1	1
16	именно в связи	1	1
17	а между тем	1	1
18	составляет самую суть	1	1
19	петра верховенского с	1	1
20	на ранней стадии	1	1
21	в конце концов	1	1
22	я очень хорошо	1	1
23	в это же	1	1
24	петра верховенского в	1	1
25	в той же	1	1
26	в период создания	1	1
27	что в ней	1	1
28	не может быть	2	1
29	в году и	2	1
30	по нашему мнению	1	1
31	записках из подполья	1	1
32	в декабре года	1	1
33	но при этом	1	1
34	же время с	1	1
35	но как в	1	1
36	сравняться с ним	1	1
37	романа отцы и	1	1
38	и то что	1	1
39	не только не	1	1
40	уже в году	1	1
41	в высшей степени	1	1
42	отцов и детей	4	1
43	то что достоевский	1	1
44	в связи с	3	1
45	и все же	5	1
46	во всяком случае	1	1
47	это не просто	1	1
48	тем не менее	1	1
49	в романе бесы	2	1
50	он сказал что	1	1
51	и даже некоторые	1	1
52	в третий раз	1	1
53	и стал смотреть	1	1
54	у себя на	1	1
55	это и есть	1	1
56	все же не	1	1
57	это же время	1	1
58	роман достоевского и	1	1
59	ему в лицо	1	1
60	роману отцы и	1	1
61	и не может	1	1
62	и в этом	1	1
