N	2gram	Losev_Vlad	Otkroven
1	о человеке	1	29
2	у него	28	22
3	человеческой природы	1	20
4	у достоевского	2	19
5	и в	56	19
6	и не	33	13
7	но и	26	13
8	в этом	30	12
9	человека в	1	11
10	а не	5	11
11	не только	35	11
12	не в	12	11
13	может быть	12	11
14	вопрос о	1	10
15	и все	8	10
16	в нем	7	10
17	потому что	16	9
18	прежде всего	5	9
19	не было	12	9
20	в самой	1	9
21	никогда не	15	9
22	и он	7	8
23	он был	20	8
24	нет ничего	1	7
25	от него	3	7
26	ни с	6	7
27	в его	18	7
28	он всегда	2	7
29	он не	13	7
30	но он	7	7
31	лишь в	3	7
32	до конца	8	7
33	человек не	1	7
34	все это	7	6
35	как и	7	6
36	в самом	3	5
37	в том	26	5
38	человеке и	1	5
39	для него	16	5
40	него в	4	5
41	в этой	4	5
42	а в	20	5
43	отношение к	7	5
44	в россии	7	5
45	о его	7	5
46	то что	30	5
47	все в	1	4
48	что в	24	4
49	и мысли	1	4
50	того чтобы	4	4
51	не может	12	4
52	него и	2	4
53	что не	3	4
54	в самую	1	4
55	человек и	1	4
56	все эти	6	4
57	на земле	2	4
58	и его	12	4
59	он сам	3	4
60	о боге	1	4
61	с его	15	4
62	только одно	4	3
63	в русской	1	3
64	и от	6	3
65	жизни все	2	3
66	все что	2	3
67	что человек	1	3
68	и вот	5	3
69	хотя бы	5	3
70	это за	1	3
71	это не	3	3
72	для того	4	3
73	с ним	10	3
74	мысли и	5	3
75	когда он	6	3
76	в бесах	1	3
77	быть может	1	3
78	в этих	5	3
79	не могут	2	3
80	в своих	7	3
81	как бы	5	3
82	было бы	7	3
83	в себе	5	3
84	и есть	2	3
85	во имя	1	3
86	что он	22	3
87	никто не	1	3
88	человеческого духа	1	3
89	это было	9	3
90	кроме человека	1	3
91	о том	13	3
92	того что	6	3
93	к нему	6	3
94	еще не	2	3
95	только бога	1	2
96	свобода и	1	2
97	и к	10	2
98	как к	4	2
99	и потому	8	2
100	так и	11	2
101	что они	4	2
102	и то	13	2
103	и против	1	2
104	в душе	1	2
105	всего и	1	2
106	все же	11	2
107	что у	4	2
108	не могли	2	2
109	так как	11	2
110	и очень	5	2
111	должно быть	1	2
112	к этой	4	2
113	раз уже	1	2
114	даже и	12	2
115	к ней	7	2
116	его не	2	2
117	и ни	2	2
118	уже в	9	2
119	любовь к	1	2
120	совсем не	7	2
121	личности и	2	2
122	ничего кроме	1	2
123	так что	13	2
124	в своем	10	2
125	в этот	5	2
126	выше всего	1	2
127	с тем	4	2
128	и из	5	2
129	с которой	2	2
130	в которой	8	2
131	ее в	1	2
132	о которой	3	2
133	одно из	1	2
134	что и	6	2
135	с богом	3	2
136	которую он	6	2
137	в истории	4	2
138	ума и	2	2
139	рационализма и	2	2
140	его в	3	2
141	должен был	3	2
142	чем в	2	2
143	мысль о	1	2
144	человеческой любви	1	2
145	не очень	6	2
146	и с	27	2
147	что же	11	2
148	частью в	1	2
149	он в	4	2
150	было для	3	2
151	и о	6	2
152	природы и	2	2
153	сказать что	14	2
154	что для	5	2
155	тем что	2	2
156	него не	4	2
157	и много	1	2
158	из всего	1	2
159	и на	7	2
160	в других	1	2
161	учение о	2	2
162	что все	2	2
163	ничего не	4	2
164	хотя и	9	2
165	не есть	4	2
166	в своей	7	2
167	все еще	1	2
168	жизни в	3	2
169	по себе	3	2
170	достоевского но	2	2
171	не имеет	2	2
172	к этому	11	2
173	ни у	1	2
174	сразу же	1	2
175	и никогда	2	2
176	же это	1	2
177	том что	22	2
178	в глубину	1	2
179	и для	4	2
180	было всего	2	2
181	своей жизни	5	2
182	человек всегда	1	2
183	в положительной	1	2
184	но в	19	2
185	человека а	1	2
186	вопросом о	1	2
187	было у	1	1
188	всего творчества	1	1
189	уже с	1	1
190	русскую идею	1	1
191	у л	1	1
192	и мир	1	1
193	он впоследствии	1	1
194	во всем	4	1
195	к одному	1	1
196	в каждом	1	1
197	и весь	2	1
198	во всяком	8	1
199	не так	1	1
200	человек может	1	1
201	ко всему	4	1
202	лет назад	1	1
203	ни к	2	1
204	его и	2	1
205	попал в	1	1
206	у вл	21	1
207	сказать про	1	1
208	совершенно не	2	1
209	нужно отметить	1	1
210	то он	7	1
211	к счастью	1	1
212	которой все	1	1
213	всему этому	2	1
214	для его	2	1
215	а с	5	1
216	это конечно	4	1
217	не существует	1	1
218	и человека	1	1
219	и других	2	1
220	один из	4	1
221	которым он	1	1
222	в котором	10	1
223	и здесь	3	1
224	та же	1	1
225	после этого	2	1
226	после которого	1	1
227	характер его	1	1
228	он ни	1	1
229	бога но	1	1
230	обычном смысле	1	1
231	вот о	1	1
232	же и	1	1
233	ней не	2	1
234	и лишь	1	1
235	после того	2	1
236	человека он	1	1
237	я имею	1	1
238	не имеют	1	1
239	был даже	2	1
240	н страхов	6	1
241	можно и	1	1
242	он выступает	1	1
243	того как	2	1
244	жизни а	1	1
245	бог и	2	1
246	и пр	1	1
247	его целиком	1	1
248	в первый	2	1
249	она не	3	1
250	том как	1	1
251	мы не	2	1
252	не могу	2	1
253	бы даже	1	1
254	больше всего	3	1
255	притом не	1	1
256	ли так	1	1
257	против католичества	1	1
258	жила в	1	1
259	противоположность его	1	1
260	любил он	2	1
261	еще более	3	1
262	жизнь а	1	1
263	в петербург	8	1
264	также и	13	1
265	ту же	1	1
266	но не	5	1
267	это все	1	1
268	из жизни	1	1
269	вопросу о	1	1
270	людей но	1	1
271	не по	2	1
272	представляет собой	1	1
273	с какой	2	1
274	быть не	1	1
275	сделал для	1	1
276	оба они	3	1
277	бог у	1	1
278	достоевского можно	1	1
279	в ней	5	1
280	это часто	1	1
281	и своим	2	1
282	на два	1	1
283	человека как	3	1
284	что это	2	1
285	в отношениях	1	1
286	а ведь	1	1
287	и тогда	1	1
288	а это	3	1
289	н к	3	1
290	этом отношении	2	1
291	для тех	2	1
292	и был	6	1
293	всяком случае	8	1
294	на этих	2	1
295	он и	8	1
296	с трудом	1	1
297	о чем	6	1
298	погружении в	1	1
299	их жизни	1	1
300	в свое	6	1
301	в сущности	2	1
302	с достоевским	1	1
303	кажется что	3	1
304	сам по	1	1
305	у его	2	1
306	указал на	1	1
307	но тем	1	1
308	в частности	4	1
309	говорит о	1	1
310	как это	11	1
311	о нем	9	1
312	между двумя	1	1
313	народа и	2	1
314	и больше	3	1
315	чтобы иметь	1	1
316	чем у	2	1
317	что только	1	1
318	чего не	1	1
319	на нем	1	1
320	и тут	2	1
321	со всей	1	1
322	как у	3	1
323	что сам	3	1
324	со стороны	5	1
325	и через	3	1
326	в которую	2	1
327	в науке	3	1
328	видеть в	1	1
329	и метафизика	1	1
330	не с	1	1
331	отношении к	2	1
332	с до	1	1
333	личной судьбы	1	1
334	за собой	1	1
335	не хочет	1	1
336	всего его	1	1
337	ты не	1	1
338	и случайное	1	1
