N	2gram	Trubetskoy	slovoVRo
1	и в	26	92
2	то есть	4	64
3	может быть	10	59
4	и его	1	59
5	в нем	4	59
6	и не	8	51
7	не только	10	44
8	не может	4	41
9	но и	9	39
10	в этом	15	36
11	а не	5	34
12	во всех	2	32
13	точки зрения	13	30
14	так и	6	30
15	могут быть	1	29
16	в его	5	27
17	все это	6	25
18	как бы	12	24
19	то же	4	23
20	и на	2	22
21	в сущности	1	21
22	как в	1	21
23	не в	2	21
24	в процессе	2	20
25	в то	4	20
26	прежде всего	2	19
27	с ним	1	18
28	как и	1	18
29	же время	2	18
30	себя в	1	18
31	или иной	2	18
32	таким образом	22	17
33	и даже	3	17
34	все же	6	17
35	все эти	6	17
36	при этом	3	16
37	в них	2	16
38	отличие от	1	16
39	но в	7	16
40	в той	1	15
41	и с	10	15
42	с точки	6	15
43	той или	2	15
44	там где	1	15
45	только в	4	14
46	в отличие	1	14
47	так сказать	1	14
48	в слове	1	13
49	это не	1	13
50	с другой	8	13
51	с его	2	13
52	и следовательно	1	13
53	и для	5	13
54	и к	5	12
55	в отношении	6	12
56	еще не	2	12
57	во всяком	6	12
58	никогда не	5	12
59	и потому	6	12
60	а в	4	12
61	отношение к	5	12
62	и наконец	2	12
63	один из	2	11
64	в этих	4	11
65	с ними	1	11
66	для него	3	11
67	с одной	7	11
68	языка как	1	11
69	всех его	1	11
70	язык в	1	11
71	на его	1	11
72	одной стороны	7	11
73	и их	1	10
74	и все	2	10
75	уже не	3	10
76	все они	1	10
77	лишь в	5	10
78	в своем	3	10
79	может не	1	10
80	в том	11	10
81	с другими	4	10
82	языку и	1	10
83	в себе	6	10
84	далеко не	4	10
85	всех этих	1	10
86	более или	5	9
87	в своей	1	9
88	конечно не	2	9
89	сказать что	2	9
90	на почве	1	9
91	так как	9	9
92	его в	1	9
93	в их	1	9
94	в смысле	4	9
95	или менее	5	9
96	и других	1	9
97	и мир	2	9
98	он не	4	9
99	быть и	2	9
100	одним из	2	9
101	и от	4	9
102	но не	8	9
103	с ее	1	9
104	к нему	7	9
105	в самом	4	8
106	не могут	2	8
107	в значительной	3	8
108	с этим	1	8
109	человека в	1	8
110	всяком случае	6	8
111	входит в	1	8
112	в одной	1	8
113	человека и	1	8
114	в ней	1	8
115	кроме того	1	7
116	но все	7	7
117	смысла и	1	7
118	связанные с	7	7
119	том что	7	7
120	известной степени	1	7
121	но именно	1	7
122	здесь не	1	7
123	друг друга	1	7
124	того же	6	7
125	у него	1	7
126	не было	2	7
127	связи с	9	7
128	в таком	3	7
129	мы уже	1	7
130	его не	2	7
131	жизни и	2	7
132	что в	9	6
133	и здесь	2	6
134	дело с	1	6
135	даже в	1	6
136	в одном	3	6
137	ни в	1	6
138	другой стороны	1	6
139	по себе	1	6
140	именно в	2	6
141	одновременно и	2	6
142	роль в	1	6
143	можно сказать	3	6
144	по своим	2	6
145	в свою	2	6
146	наконец в	2	6
147	как к	1	6
148	связан с	2	6
149	в качестве	3	6
150	бы и	1	6
151	лежит в	1	6
152	а также	2	6
153	мира и	1	6
154	на этом	1	6
155	хотя бы	3	6
156	между тем	2	6
157	он в	2	6
158	которые в	2	6
159	ничего не	1	6
160	и при	3	5
161	не как	2	5
162	в результате	3	5
163	к его	2	5
164	они не	1	5
165	по отношению	1	5
166	вместе с	15	5
167	не менее	3	5
168	о том	6	5
169	не является	1	5
170	в данном	1	5
171	и более	1	5
