N	2gram	Tiupa_Teor	Komedia
1	и в	24	77
2	в комедии	1	58
3	и не	17	47
4	в том	20	44
5	том что	11	42
6	о том	2	33
7	едва ли	1	32
8	но и	14	32
9	может быть	22	30
10	из них	1	29
11	таким образом	3	29
12	в то	9	28
13	и его	11	28
14	в этом	12	27
15	потому что	3	27
16	что он	4	26
17	к тому	4	26
18	тому же	1	25
19	не только	24	25
20	вместе с	2	25
21	так как	1	24
22	как и	6	23
23	ни в	5	23
24	что в	10	23
25	в самом	7	22
26	что и	2	22
27	если бы	3	22
28	то же	12	21
29	в конце	2	21
30	так и	14	21
31	а в	15	21
32	в его	12	20
33	со стороны	6	19
34	в этой	3	18
35	тем что	1	17
36	же время	8	17
37	в нем	7	17
38	и здесь	2	17
39	еще не	6	17
40	при этом	20	16
41	все же	1	16
42	не менее	6	16
43	у него	2	16
44	до нас	1	16
45	он не	5	16
46	действующих лиц	1	16
47	и сам	4	16
48	тот же	1	16
49	не в	9	15
50	в своем	7	15
51	точки зрения	11	15
52	его в	4	15
53	в которой	3	15
54	на себя	2	15
55	между тем	5	15
56	один из	2	15
57	и на	2	15
58	было бы	1	15
59	прежде всего	3	15
60	столь же	3	14
61	к нему	2	14
62	в свою	4	14
63	все это	2	14
64	ли не	1	14
65	об этом	2	14
66	самом деле	2	13
67	о чем	3	13
68	в них	2	13
69	в одном	3	13
70	что она	2	13
71	того же	4	13
72	как раз	3	13
73	в двух	1	13
74	так что	1	13
75	то что	6	13
76	того чтобы	5	13
77	но в	12	13
78	в котором	1	12
79	для того	5	12
80	так же	2	12
81	с другой	9	12
82	на сцене	1	12
83	несмотря на	2	12
84	хотя и	4	12
85	в качестве	33	12
86	как это	10	12
87	из которых	2	12
88	как в	5	12
89	в истории	1	12
90	не по	1	12
91	нового времени	3	12
92	не может	8	12
93	но не	13	12
94	и даже	2	11
95	с тем	1	11
96	по отношению	10	11
97	что его	1	11
98	с ним	1	11
99	то время	1	11
100	речь идет	2	11
101	как мы	1	11
102	и для	3	11
103	в их	4	11
104	в частности	23	11
105	одного из	1	11
106	с этим	1	10
107	свою очередь	3	10
108	с одной	3	10
109	в чем	2	10
110	как бы	8	10
111	и что	4	10
112	в отношении	4	10
113	более чем	1	10
114	на основании	1	10
115	одной из	2	10
116	с его	6	10
117	на его	1	10
118	тем более	2	10
119	что касается	1	10
120	отношение к	7	10
121	же в	1	10
122	в целом	4	10
123	все что	1	9
124	в своей	8	9
125	одной стороны	3	9
126	говорить о	4	9
127	тому что	2	9
128	только в	9	9
129	друг друга	1	9
130	о его	2	9
131	и по	3	9
132	независимо от	1	9
133	из его	1	9
134	однако в	7	9
135	а также	7	9
136	вовсе не	3	9
137	отличие от	7	9
138	и особенно	2	9
139	отношению к	10	9
140	с этой	3	8
141	а затем	2	8
142	другой стороны	6	8
143	по поводу	1	8
144	такого рода	13	8
145	не было	1	8
146	не знает	4	8
147	бы в	1	8
148	во всех	3	8
149	то ни	2	8
150	можно было	1	8
151	что для	1	8
152	первую очередь	1	8
153	если не	1	8
154	да и	1	8
155	связи с	3	8
156	по своему	4	8
157	войны и	1	8
158	при всем	2	8
159	идет о	2	8
160	и ее	4	8
161	место в	7	8
162	и к	3	7
163	дело с	1	7
164	в результате	1	7
165	в этих	4	7
166	если в	2	7
167	обращает на	1	7
168	в первую	1	7
169	вопрос о	1	7
170	в другом	4	7
171	по которым	1	7
172	бы то	2	7
173	что они	2	7
174	ни было	2	7
175	в связи	3	7
176	и это	2	7
177	так или	5	7
178	себя внимание	1	7
179	перед лицом	2	7
180	в себе	14	7
181	к его	3	7
182	не имеет	1	7
183	со временем	2	7
184	не является	5	7
185	из этих	3	7
186	и поэтому	1	7
187	целый ряд	1	7
188	до конца	1	7
189	но если	1	7
190	и вот	3	7
191	для нас	1	7
192	должен был	1	7
193	или иначе	6	7
194	отнюдь не	3	7
195	тех же	1	7
196	и о	5	7
197	даже в	3	6
198	в виду	5	6
199	с собой	1	6
200	в своих	1	6
201	представляет собой	13	6
202	как правило	5	6
203	после того	1	6
204	с точки	3	6
205	как видно	1	6
206	что не	1	6
207	на этом	2	6
208	не дает	1	6
209	и тем	5	6
210	могут быть	5	6
211	в силу	4	6
212	на ее	1	6
213	в сущности	1	6
214	в другой	1	6
215	тому назад	1	6
