N	4gram	Vygotskiy_	Mirosoze
1	в то время как	4	4
2	одной и той же	2	3
3	в том что он	1	3
4	так же как и	4	3
5	она не может быть	1	2
6	никогда не может быть	1	2
7	друг к другу и	1	2
8	все более и более	3	2
9	о том что в	1	2
10	мы имеем в виду	1	1
11	не может быть выражена	1	1
12	смысле этого слова как	1	1
13	еще в высшей степени	1	1
14	и в самом деле	1	1
15	не сама по себе	1	1
16	указывает на то что	3	1
17	в то же время	1	1
18	с психологической точки зрения	1	1
19	указывают на то что	1	1
20	после того как в	1	1
21	в строгом смысле слова	1	1
22	в зависимости от этого	3	1
23	в тех случаях когда	1	1
24	он не может быть	1	1
25	для того чтобы сделать	1	1
26	идея о том что	1	1
