N	4gram	Tiupa_Vved	KulturaY
1	той мере в какой	2	7
2	в той мере в	2	7
3	в то же время	4	6
4	состоит в том что	1	4
5	одного и того же	1	4
6	не в том что	2	3
7	в том смысле что	1	2
8	в той или иной	1	2
9	не что иное как	1	2
10	одной и той же	1	2
11	и в то же	1	2
12	одних и тех же	1	2
13	один и тот же	1	2
14	в самом деле не	1	2
15	в первом случае мы	1	2
16	в том что на	1	2
17	мы тем не менее	1	2
18	в конечном счете к	1	2
19	как мы видели в	1	1
20	никогда не может быть	1	1
21	и не претендует на	1	1
22	и в этом случае	1	1
23	в том что и	1	1
24	и то же слово	1	1
25	одно и то же	1	1
26	ничего не говорит нам	1	1
27	дело в том что	1	1
28	и не может быть	1	1
29	с другой стороны эта	1	1
30	совсем не в том	1	1
31	той степени в какой	1	1
32	с другой стороны в	1	1
33	в войне и мире	2	1
34	в рамках одного и	1	1
35	свидетельствует о том что	1	1
36	той или иной степени	1	1
37	и в другом случае	1	1
38	в том или ином	1	1
39	если бы она была	1	1
40	можно было бы выделить	1	1
41	рамках одного и того	1	1
42	во всяком случае в	1	1
43	если бы не было	1	1
44	зависит не только от	1	1
45	в той степени в	1	1
