N	2gram	Medvedev_F	VLabPisa
1	таким образом	28	32
2	в этом	39	29
3	не только	14	26
4	и в	54	26
5	и т	22	25
6	может быть	30	23
7	и не	34	20
8	хотя бы	10	20
9	художественного творчества	1	19
10	т е	50	18
11	не может	26	17
12	в процессе	17	17
13	т д	11	16
14	в его	30	15
15	в том	17	15
16	этом отношении	7	14
17	в силу	1	14
18	все это	11	13
19	прежде всего	34	13
20	в качестве	2	12
21	в частности	4	12
22	как это	8	12
23	что в	10	11
24	с другой	8	11
25	из них	5	11
26	то же	16	10
27	не могут	8	10
28	в художественном	5	10
29	о том	1	10
30	но и	18	10
31	реальной действительности	1	10
32	по этому	2	10
33	и др	8	10
34	для него	9	9
35	он пишет	2	9
36	т п	11	9
37	к этому	3	9
38	могут быть	7	8
39	творчества в	1	8
40	другой стороны	5	8
41	только в	6	8
42	художника и	1	8
43	все эти	12	8
44	вместе с	8	8
45	том что	3	8
46	ни один	1	8
47	было бы	10	8
48	не следует	5	8
49	творчество во	1	8
50	в своем	12	8
51	произведения и	9	7
52	в основном	3	7
53	это не	4	7
54	говорит о	1	7
55	в году	2	7
56	не было	7	7
57	по отношению	4	7
58	очевидно что	2	7
59	тому что	3	7
60	как и	18	7
61	их в	2	7
62	действительности и	3	7
63	во всех	9	7
64	а не	11	7
65	этому поводу	1	7
66	то что	14	7
67	произведения в	9	7
68	художественное произведение	8	7
69	главным образом	5	7
70	отношению к	4	7
71	же в	4	7
72	в нем	25	7
73	из этих	4	7
74	один из	4	6
75	произведения как	3	6
76	у него	1	6
77	более или	7	6
78	в порядке	1	6
79	все же	8	6
80	приводит к	4	6
81	это и	7	6
82	бы и	1	6
83	в искусстве	6	6
84	не в	16	6
85	между тем	4	6
86	художественном творчестве	1	6
87	так и	24	6
88	художественного произведения	27	6
89	в себе	4	6
90	или менее	7	6
91	в зависимости	4	6
92	и его	27	6
93	в то	14	6
94	даже в	2	5
95	в результате	8	5
96	в их	16	5
97	в них	4	5
98	связи с	12	5
99	одним из	1	5
100	зависимости от	5	5
101	к тому	6	5
102	перед нами	3	5
103	не является	3	5
104	на основе	6	5
105	вот почему	1	5
106	в одном	2	5
107	в пределах	13	5
108	же время	13	5
109	как бы	10	5
110	в целом	7	5
111	сказать что	3	5
112	и есть	1	5
113	никогда не	6	5
114	подобных им	1	4
115	в самом	17	4
116	основных чертах	1	4
117	ее в	3	4
118	только что	1	4
119	познания и	4	4
120	творчества как	1	4
121	вот как	3	4
122	в ее	10	4
123	как раз	8	4
124	можно сказать	2	4
125	что для	3	4
126	в этой	10	4
127	он работал	1	4
128	в единстве	8	4
129	следующим образом	1	4
130	что он	8	4
131	равно как	2	4
132	в виду	2	4
133	по существу	8	4
134	с тем	11	4
135	с ними	1	4
136	художественном произведении	4	4
137	в своей	16	4
138	является не	1	4
139	роль в	2	4
140	должен быть	5	4
141	с его	12	4
142	чем же	3	4
143	в связи	11	4
144	когда он	3	4
145	в сознании	1	4
146	его элементах	1	4
147	из его	2	4
148	одна из	2	4
149	и подобных	1	4
150	можно утверждать	1	4
151	по поводу	1	4
152	отнюдь не	13	4
153	и ее	15	4
154	познания в	1	4
155	в статье	5	4
156	и к	7	3
157	что они	4	3
158	данного произведения	2	3
159	что оно	4	3
160	что у	1	3
161	этой области	1	3
162	этот процесс	1	3
163	мы знаем	3	3
164	мы имеем	1	3
165	своем содержании	4	3
166	естественно что	1	3
167	того что	7	3
168	но как	2	3
169	процессе художественного	1	3
170	что и	10	3
171	у нас	6	3
172	творчество как	1	3
173	сводится к	6	3
174	его в	5	3
175	в форме	2	3
176	творчества и	2	3
177	а белый	1	3
178	если бы	8	3
179	или в	2	3
180	говорит в	3	3
181	сил и	1	3
182	в другую	1	3
183	именно в	12	3
184	в конце	2	3
185	или иная	1	3
186	например в	1	3
187	у тургенева	2	3
188	момент в	1	3
189	между ними	3	3
190	и как	6	3
191	в слове	4	3
192	же и	2	3
193	и отдельных	1	3
194	большей или	1	3
195	том как	1	3
196	мира и	1	3
197	своем творчестве	1	3
198	вовсе не	18	3
199	бы в	6	3
200	с этим	6	3
201	а в	11	3
202	процесса как	1	3
203	что не	4	3
204	как о	8	3
205	в котором	2	3
206	в основных	1	3
207	даже и	5	3
208	она не	8	3
209	говорить не	2	3
210	в значительной	3	3
211	его не	2	3
212	но даже	2	3
213	того чтобы	4	3
214	в работе	2	3
215	для того	3	3
216	идей и	1	3
217	познания действительности	1	3
218	п в	2	3
219	и их	13	3
220	как он	2	3
221	вслед за	1	3
222	далеко не	2	3
223	этот вопрос	2	3
224	так же	5	3
225	при помощи	2	3
226	а порою	1	3
227	при всем	1	3
228	образом не	3	3
229	или меньшей	1	3
230	как на	5	3
231	нет и	2	3
232	та или	1	3
233	образом в	1	3
234	и от	9	3
235	точки зрения	21	3
236	жизни и	10	3
237	что без	1	3
238	этих и	1	3
239	что говорит	1	3
240	и по	3	3
241	к работе	1	3
242	как целого	1	3
243	всех этих	6	3
244	моментов в	1	3
245	а н	3	3
246	мы видели	5	3
247	художественной деятельности	1	2
248	мы наблюдаем	1	2
249	в особенности	7	2
250	к сожалению	2	2
251	отметить что	2	2
252	представить себе	1	2
253	им как	1	2
254	отличия от	1	2
255	только не	2	2
256	этого замысла	1	2
257	как особый	2	2
258	том чтобы	3	2
259	и этот	2	2
260	из которых	1	2
261	они и	2	2
262	от его	3	2
263	они не	7	2
264	эта теория	1	2
265	если в	3	2
266	также что	1	2
267	на язык	5	2
268	должно быть	13	2
269	эта не	1	2
270	зависит от	2	2
271	ее как	2	2
272	с одной	5	2
273	том числе	1	2
274	должна быть	11	2
275	реакции на	1	2
276	смысле слова	1	2
277	идеологического творчества	9	2
278	из основных	1	2
279	с нею	1	2
280	само собою	2	2
281	говорить о	4	2
282	да и	1	2
283	следует что	3	2
284	хотя и	3	2
285	связанное с	1	2
286	многие из	1	2
287	что при	1	2
288	в большей	1	2
289	не приходится	4	2
290	можно определить	1	2
291	в науке	2	2
292	что такое	2	2
293	как у	1	2
294	и через	2	2
295	и достоевский	1	2
296	не отрицает	2	2
297	для них	4	2
298	не столько	5	2
299	с другими	11	2
300	его от	5	2
301	по себе	10	2
302	об образе	1	2
303	художник не	1	2
304	в своих	3	2
305	и даже	7	2
306	и непосредственно	4	2
307	сюжета и	2	2
308	этой точки	1	2
309	мышления в	1	2
310	и наконец	7	2
311	в которой	5	2
312	не о	7	2
313	и некоторые	1	2
314	а о	4	2
315	ни одна	2	2
316	что его	1	2
317	народных песен	1	2
318	том отношении	1	2
319	как об	1	2
320	но не	5	2
321	в ней	15	2
322	задача эта	1	2
323	точном смысле	1	2
324	в материальной	1	2
325	в жизни	3	2
326	органической связи	1	2
327	представляют собою	1	2
328	эти явления	2	2
329	в последнем	2	2
330	начинается с	1	2
331	к его	3	2
332	не подлежит	1	2
333	же как	3	2
334	на эти	1	2
335	между прочим	1	2
336	и просто	1	2
337	на этом	2	2
338	не вполне	1	2
339	противном случае	2	2
340	именно этого	1	2
341	живет не	1	2
342	не менее	12	2
343	так сказать	6	2
344	историческая жизнь	1	2
345	ли не	1	2
346	бы не	1	2
347	может не	1	2
348	отличается от	4	2
349	на то	2	2
350	в точном	1	2
351	произведения а	4	2
352	которая не	1	2
353	в чем	2	2
354	числе и	1	2
355	так например	3	2
356	могло бы	2	2
357	основные тенденции	2	2
358	сих пор	7	2
359	справедливо говорит	1	2
360	от различных	2	2
361	а для	1	2
362	не прав	2	2
363	от них	2	2
364	еще не	6	2
365	с реальной	2	2
366	все они	1	2
367	иметь в	1	2
368	в каждом	3	2
369	во всяком	6	2
370	и потому	9	2
371	понятно что	1	2
372	того или	6	2
373	до сих	7	2
374	восприятия и	4	2
375	этого положения	1	2
376	а к	2	2
377	в конкретной	2	2
378	было в	3	2
379	а как	5	2
380	фактический материал	1	2
381	внутренняя логика	1	2
382	значит что	1	2
383	в целях	2	2
384	художественной структуры	7	2
385	от характера	1	2
386	у художника	1	2
387	то это	1	2
388	и заключается	2	2
389	и социальной	1	2
390	всяком случае	6	2
391	одной стороны	5	2
392	также и	1	2
393	ту же	1	2
394	в другом	2	2
395	не по	4	2
396	искусства и	5	2
397	с а	1	2
398	по крайней	1	2
399	оно является	1	2
400	из себя	1	2
401	формы и	7	2
402	е в	2	2
403	и может	6	2
404	лишь в	15	2
405	каждой из	3	2
406	в системе	3	2
407	должны быть	6	2
408	не с	2	2
409	не об	1	2
410	отмечает и	1	2
411	что многие	1	2
412	в различных	2	2
413	можно было	1	2
414	даже не	2	2
415	стороны и	4	2
416	и сам	1	2
417	только то	1	2
418	от того	2	2
419	знаем что	2	2
420	действительности на	2	2
421	этому вопросу	1	2
422	никаких оснований	1	2
423	как известно	1	2
424	ни одного	2	2
425	он и	3	2
426	в книге	1	2
427	он в	3	2
428	заключается в	1	2
429	которые в	1	2
430	они должны	2	2
431	о его	1	2
432	в известной	2	2
433	произведения не	3	2
434	одной из	2	2
435	в образе	1	2
436	на него	3	2
437	эти вопросы	2	2
438	трудностей и	1	2
439	как от	2	2
440	он не	8	2
441	во всей	4	2
442	или иной	1	2
443	в общем	8	2
444	он может	1	2
445	отношении что	1	2
446	который в	1	2
447	если они	1	2
448	порою и	1	2
449	основываясь на	1	2
450	этом процессе	2	2
451	в области	6	2
452	в противном	2	2
453	искусство как	2	2
454	для которых	1	2
455	только с	1	2
456	у них	3	2
457	к этим	2	2
458	конце концов	2	2
459	форма произведения	1	2
460	меньшей степени	1	2
461	чтобы не	2	2
462	и для	5	2
463	но для	4	2
464	только о	1	2
465	крайней мере	1	2
466	но в	9	2
467	можно указать	1	2
468	чуть ли	1	2
469	искусства не	2	2
470	самих художников	1	2
471	столь резко	1	2
472	отдельные элементы	1	1
473	в той	3	1
474	для самого	1	1
475	то в	3	1
476	на почве	20	1
477	отношении очень	2	1
478	краеугольным камнем	1	1
479	события и	1	1
480	самое понятие	4	1
481	от него	2	1
482	степень его	1	1
483	однако и	3	1
484	к действительности	3	1
485	включая сюда	2	1
486	и другие	3	1
487	этом случае	1	1
488	романа с	1	1
489	является в	2	1
490	в шкловский	8	1
491	понятий и	4	1
492	сводить к	1	1
493	и то	1	1
494	форм и	7	1
495	элементов его	2	1
496	поэтому что	1	1
497	ее и	3	1
498	ни в	3	1
499	следует отметить	2	1
500	мы видим	1	1
501	еще одну	1	1
502	в более	2	1
503	что если	2	1
504	и многие	2	1
505	можно говорить	2	1
506	связано с	1	1
507	содержания а	1	1
508	реалистического искусства	1	1
509	и детализации	1	1
510	для определения	2	1
511	мы и	1	1
512	религии и	1	1
513	говоря уже	1	1
514	объективной данности	1	1
515	этого в	1	1
516	художественный замысел	1	1
517	ее основных	1	1
518	мышления и	2	1
519	смысле что	2	1
520	является краеугольным	1	1
521	опирается на	1	1
522	а наоборот	3	1
523	отражение в	2	1
524	со всем	4	1
525	ней не	1	1
526	типа как	1	1
