N	4gram	Losev_Dial	Myshleni
1	заключается в том что	1	43
2	в то время как	6	20
3	с этой точки зрения	4	16
4	так же как и	1	16
5	одной и той же	4	15
6	одно и то же	2	12
7	в такой же мере	1	10
8	с одной стороны и	1	10
9	в том что в	1	8
10	по самой своей природе	1	6
11	не что иное как	6	6
12	то время как в	1	5
13	в том смысле что	1	5
14	что с точки зрения	2	4
15	в том что они	1	4
16	в самом деле если	1	4
17	если принять во внимание	1	4
18	есть не что иное	3	4
19	вопрос о том как	1	3
20	в связи с этим	1	3
21	мы имеем в виду	1	3
22	не содержит в себе	1	3
23	внимание на то что	1	3
24	и во всяком случае	1	3
25	не чем иным как	1	3
26	бы то ни было	1	3
27	одна и та же	3	3
28	от частного к общему	1	3
29	только на то что	2	2
30	уже по одному тому	2	2
31	в то же время	3	2
32	на самом же деле	1	2
33	по одному тому что	3	2
34	же как и в	1	2
35	что в данном случае	1	2
36	когда мы говорим что	1	2
37	с точки зрения самого	1	2
38	и в этом заключается	1	2
39	отличаются друг от друга	1	2
40	даже если бы мы	1	2
41	что в основе их	1	2
42	это значит что он	4	2
43	есть одно и то	1	1
44	и в том что	1	1
45	ни в каком случае	2	1
46	ясно что с точки	1	1
47	в том отношении что	1	1
48	есть не более как	1	1
49	необходимо иметь в виду	1	1
50	с той или иной	1	1
51	быть выражено бесконечным количеством	1	1
52	исключительно с точки зрения	1	1
53	то время как для	1	1
54	заключается вовсе не в	1	1
55	сами по себе совершенно	1	1
56	не сама по себе	1	1
57	в коем случае не	4	1
58	уже сама по себе	1	1
59	как и все прочие	1	1
60	говорить не только о	1	1
61	то что с точки	1	1
62	столько же сколько и	1	1
63	что одна и та	1	1
64	друг от друга и	1	1
65	может и должен быть	1	1
66	в этом отношении с	1	1
67	это не значит что	1	1
68	или по крайней мере	4	1
69	со своей точки зрения	1	1
70	это потому что в	1	1
71	в самом деле что	2	1
72	же мы находим в	1	1
73	мы говорим об отношении	1	1
74	только в силу этого	1	1
75	он исходит из того	1	1
76	ничего не может сказать	1	1
77	стать на точку зрения	1	1
78	и вместе с ним	1	1
79	прежде всего от того	1	1
80	все равно будет ли	1	1
81	с точки зрения законов	1	1
82	зависит прежде всего от	1	1
83	не может выйти из	1	1
84	и не только не	1	1
85	ни в коем случае	4	1
86	как переход от одного	1	1
87	есть только одна из	1	1
88	ничем не отличается от	4	1
89	это привело нас к	1	1
90	если это так то	1	1
91	и в то же	2	1
92	обратном в том что	1	1
93	можно прямо сказать что	1	1
94	и в этом смысле	1	1
95	он не может быть	1	1
96	и то и другое	1	1
97	обратил внимание на то	1	1
98	до тех пор пока	1	1
99	и в зависимости от	1	1
100	ни в чем не	1	1
101	что мы не можем	1	1
102	это значит что мы	3	1
103	не состоит из отдельных	1	1
104	не говоря уже о	6	1
105	с научной точки зрения	2	1
106	с точки зрения истории	1	1
107	нас в данном случае	1	1
108	в меру того что	1	1
109	может быть выражено бесконечным	1	1
110	на то что с	1	1
111	мы до сих пор	1	1
112	это как мы уже	1	1
113	это значит что в	1	1
114	и та же вещь	1	1
115	в силу этого и	1	1
116	в обратном в том	1	1
117	одних и тех же	2	1
118	ничем не отличаются от	1	1
119	легко заметить что это	1	1
120	указывает только на то	1	1
121	в чем именно заключается	1	1
122	которые сами по себе	1	1
123	исходит из того что	1	1
124	и пр и пр	1	1
125	тем не менее эта	1	1
